Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
79,116,Au,0, ,3/2+, ,186.01,6,d,16071264,5184,EC,100, , , , , , , , , , , , ,
79,116,Au,61.434,0.024,1/2+, ,3.0,2,ns,0.000000003,0.0000000002, , , , , , , , , , , , , , ,
79,116,Au,241.55,0.04,3/2+,LT,30, ,ps,0.00000000003, , , , , , , , , , , , , , , ,
79,116,Au,261.79,0.03,5/2+, ,54,10,ps,0.000000000054,0.00000000001, , , , , , , , , , , , , , ,
79,116,Au,318.58,0.04,11/2-, ,30.5,2,s,30.5,0.2,IT,100, , , , , , , , , , , , ,
79,116,Au,439.53,0.09,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,525.64,0.05,7/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,549.38,0.09,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,706.48,0.06,15/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,778.22,0.19, , , , , , , , , , , , , , , , , , , , , ,
79,116,Au,818.52,0.19,(9/2+), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,841,4,1/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,841.23,0.04,3/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,878.85,0.05,13/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,894.15,0.05,9/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,946.82,0.16, , , , , , , , , , , , , , , , , , , , , ,
79,116,Au,955.08,0.15,(9/2+), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1068,0.11,9/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1082.95,0.06,3/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1106,4,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1110.76,0.07,3/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1172.44,0.06,3/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1250.96,0.1,(3/2+) (5/2)+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1280.51,0.07,11/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1324.64,0.2,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1335,4,1/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1346.19,0.06,11/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1353.61,0.24,3/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1365.8,0.7,(17/2-), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1394,4,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1396.63,0.14,(11/2+), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1404.6,0.06,13/2- 15/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1406.17,0.15,9/2- 11/2 13/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1424.8,0.6,19/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1433,0.3,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1443.17,0.25,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1487,0.12,9/2- 11/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1490.2,0.7,(13/2+), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1503,4,1/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1559.59,0.06,13/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1585,4,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1605.57,0.14,11/2- 13/2- 15/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1781,4,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,1813.1,0.5,21/2+, ,8.04,28,ns,0.00000000804,0.00000000028, , , , , , , , , , , , , , ,
79,116,Au,1979.49,0.2,25/2+, ,3.5,8,ns,0.0000000035,0.0000000008, , , , , , , , , , , , , , ,
79,116,Au,1983,4,9/2- 11/2-, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2021.5,0.6,(25/2+), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2126.2,0.6,(27/2+), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2240.5,0.5,(29/2+), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2244.4,0.6,(23/2-), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2294.6,1.1, , , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2347.5,0.8, , , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2350,4,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2418.2,0.5,(29/2+),AP,69, ,ns,0.000000069, , , , , , , , , , , , , , , ,
79,116,Au,2461.3,0.5,29/2+, , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2460.84, ,31/2(-), ,12.89,21,us,0.00001289,0.00000021, , , , , , , , , , , , , , ,
79,116,Au,2526.6,0.6,(27/2-), , , , , , , , , , , , , , , , , , , , ,
79,116,Au,2792,0.7,(33/2+), , , , , , , , , , , , , , , , , , , , ,

