Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
78,117,Pt,0, ,1/2-, ,STABLE, , , , , , , , , , , , , , ,0.60952, , , ,
78,117,Pt,98.88,0.002,3/2-, ,0.170,19,ns,0.00000000017,0.000000000019, , , , , , , , , , ,-0.62, , , ,
78,117,Pt,129.772,0.003,5/2-, ,0.67,3,ns,0.00000000067,0.00000000003, , , , , , , , , , ,0.9, , , ,
78,117,Pt,199.532,0.002,3/2-, ,0.66,14,ns,0.00000000066,0.00000000014, , , , , , , , , , , , , , ,
78,117,Pt,211.406,0.002,3/2-, ,49,8,ps,0.000000000049,0.000000000008, , , , , , , , , , ,0.16, , , ,
78,117,Pt,222.23,0.004,1/2-, , , , , , , , , , , , , , , , , , , , ,
78,117,Pt,239.264,0.004,5/2-, ,70,9,ps,0.00000000007,0.000000000009, , , , , , , , , , , , , , ,
78,117,Pt,259.077,0.023,13/2+, ,4.010,5,d,346464,432,IT,100, , , , , , , , ,-0.606, ,1.4, ,
78,117,Pt,389.132,0.004,5/2-, ,9,4,ps,0.000000000009,0.000000000004, , , , , , , , , , , , , , ,
78,117,Pt,419.702,0.003,3/2-, ,54,8,ps,0.000000000054,0.000000000008, , , , , , , , , , , , , , ,
78,117,Pt,431.98,0.02,9/2+, , , , , , , , , , , , , , , , , , , , ,
78,117,Pt,432, ,(17/2+), , , , , , , , , , , , , , , , , , , , ,
78,117,Pt,449.65,0.05,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
78,117,Pt,455.272,0.007,5/2-,GT,10.5, ,ps,0.0000000000105, , , , , , , , , , , , , , , ,
78,117,Pt,507.917,0.006,5/2- 7/2-, ,9.5,22,ps,0.0000000000095,0.0000000000022, , , , , , , , , , , , , , ,
78,117,Pt,524.846,0.003,3/2-, , , , , , , , , , , , , , , , , , , , ,
