Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
82,122,Pb,0, ,0+,GE,1.4E+17, ,Y,4.41796963644288e24, ,A, , , , , , , , , , , , , ,
82,122,Pb,899.165,0.025,2+, ,2.88,3,ps,0.00000000000288,0.00000000000003, , , , , , , , , , ,0.02, ,0.23, ,
82,122,Pb,1274.13,0.05,4+, ,265,6,ns,0.000000265,0.000000006, , , , , , , , , , ,0.224, ,0.44, ,
82,122,Pb,1351.23,0.04,2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1563.42,0.06,4+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1582.7,0.7,0+, ,65,20,ps,0.000000000065,0.00000000002, , , , , , , , , , , , , , ,
82,122,Pb,1582.78,0.05,2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1604.82,0.07,3+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1665.27,0.07,2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1681.19,0.08,1(+), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1712.25,0.06,(3+), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1729.99,0.12,0+,LT,20, ,ps,0.00000000002, , , , , , , , , , , , , , , ,
82,122,Pb,1761.1,0.06,2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1817.54,0.05,4+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1872.11,0.1,1, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1933.29,0.08,1, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1948.34,0.06,3+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,1960.39,0.07,(2)+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2065.33,0.07,5+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2105.5,0.06,2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2158.02,0.08,(4+), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2185.88,0.08,9-, ,66.93,10,m,4015.8,6,IT,100, , , , , , , , , , , , ,
82,122,Pb,2201.93,0.11,(2 3 4+), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2238.47,0.16,5 6, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2258.15,0.05,5-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2264.42,0.06,7-, ,0.45,+10-3,us,0.00000045, , , , , , , , , , , , , , , ,
82,122,Pb,2269.01,0.1,1 2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2303.92,0.07,3+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2311.6,0.6,1, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2316.29,0.06,2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2338.44,0.06,(4)-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2386.19,0.09,5+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2400.34,0.07,1+ 2+ 3+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2405.27,0.07,7-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2408.97,0.11,3, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2432.99,0.13,0+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2434.24,0.06,6-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2475.37,0.11,1 2 3 4+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2480.43,0.07,6-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2491.25,0.07,3+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2507.16,0.06,5-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2513.75,0.16,(4), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2524.9,0.08,(1 2 3), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2546.97,0.11, , , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2549.76,0.08,2+ 3, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2591.5,0.08,1 2 3, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2620.6,0.08,3-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2627.47,0.1,(5+), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2654.67,0.11,1 2+ 3, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2666.2,0.08,2+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2696.71,0.1,7-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2719.33,0.09,5+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2731.92,0.18,5- 6- 7-, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2732.03,0.11,1 2 3, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2766.94,0.11,(2+ 3 4), , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2808,3,6+, , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2829,3, , , , , , , , , , , , , , , , , , , , , ,
82,122,Pb,2861.63,0.18,(5- 6 7), , , , , , , , , , , , , , , , , , , , ,
