Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
83,128,Bi,0, ,9/2-, ,2.14,2,m,128.4,1.2,A,99.724,0.004,B-,0.276,0.004, , , , ,3.79, , , ,
83,128,Bi,404.866,0.009,7/2-, ,0.317,11,ns,0.000000000317,0.000000000011, , , , , , , , , , ,4.5, , , ,
83,128,Bi,766.539,0.016,(9/2 11/2)-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,793,10,-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,828.13,0.04,(13/2)-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,831.96,0.012,9/2-,LT,90, ,ps,0.00000000009, , , , , , , , , , , , , , , ,
83,128,Bi,950.9,0.7, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,987,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1014.4,0.04,7/2- 9/2- 11/2-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1050,10,(-), , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1080.15,0.05,-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1103.52,0.2, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1109.485,0.023,9/2-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1118,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1129.81,0.05,(17/2)-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1136,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1149.71,0.11,(15/2)-, , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1196.33,0.05, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1227.2,0.3,(21/2-), ,70,5,ns,0.00000007,0.000000005, , , , , , , , , , , , , , ,
83,128,Bi,1234.3,0.4, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1242,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1257,10,(25/2-), ,1.4,3,us,0.0000014,0.0000003,IT,100, , , , , , , , , , , , ,
83,128,Bi,1270.72,0.06,(7/2 9/2 11/2), , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1304.4,0.6, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1307,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1354,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1369,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1389,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1398,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1420,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1442,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1472,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1489,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1553,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1579,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1589,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1614,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1630,10,(+), , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1666,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1686,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1713,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1825,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1872,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1978,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,1992,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2015,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2050,10,(+), , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2059,1, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2069,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2102,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2316,1.5, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2409,15, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2615,10, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,2782,1.7, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,3138,1.7, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,3603,2, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,4836,2.2,(41/2+), , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,4979,2.4, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,5257,2.4, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,5334,2.4, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,5445,2.4, , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,5945, , , , , , , , , , , , , , , , , , , , , , ,
83,128,Bi,6191, , , , , , , , , , , , , , , , , , , , , , ,

