Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
84,130,Po,0, ,0+, ,164.3,20,us,0.0001643,0.000002,A,100, , , , , , , , , , , , ,
84,130,Po,609.316,0.004,2+, , , , , , ,IT,100, ,A,0.00026, , , , , , , , , ,
84,130,Po,1015.039,0.02,(4+), , , , , , , , , , , , , , , , , , , , ,
84,130,Po,1274.766,0.009,(3)-, , , , , , ,IT,100, ,A,0.0015, , , , , , , , , ,
84,130,Po,1377.678,0.005,2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,1415.495,0.01,0+, ,99,3,ps,0.000000000099,0.000000000003, , , , , , , , , , , , , , ,
84,130,Po,1543.372,0.007,2+, , , , , , ,IT,100, ,A,0.0017, , , , , , , , , ,
84,130,Po,1661.279,0.013,2+, , , , , , ,IT,100, ,A,0.0034, , , , , , , , , ,
84,130,Po,1712.97,0.07,(3)+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,1729.609,0.006,2+, , , , , , ,IT,100, ,A,0.00011, , , , , , , , , ,
84,130,Po,1742.98,0.03,0+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,1764.515,0.007,1+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,1847.443,0.007,2+, , , , , , ,IT,100, ,A,0.0012, , , , , , , , , ,
84,130,Po,1890.306,0.011,2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,1994.64,0.012,(2)-, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2010.83,0.012,2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2017.309,0.012,0+, , , , , , ,IT,100, ,A,0.0014, , , , , , , , , ,
84,130,Po,2088.44,0.05,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2118.533,0.009,1+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2147.83,0.04,1(-) 2+, , , , , , ,IT,99.98, ,A,0.02, , , , , , , , , ,
84,130,Po,2192.537,0.015,2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2204.089,0.017,1+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2208.69,0.03,(2 3), , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2266.41,0.04,1(-) 2+, , , , , , ,IT,99.97, ,A,0.033, , , , , , , , , ,
84,130,Po,2293.358,0.017,1(+) 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2348.3,0.7,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2360.57,0.09,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2423.23,0.06,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2447.702,0.017,1-, , , , , , ,IT,100, ,A,0.005, , , , , , , , , ,
84,130,Po,2482.468,0.016,(2)+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2505.37,0.07,1(-) 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2508.17,0.07, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2544.96,0.11, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2553,0.5, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2562.4,0.5, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2604.68,0.06,(2+), , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2630.86,0.08,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2662.31,0.07,(2+), , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2694.62,0.04,1(-) 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2698.76,0.06,1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2719.27,0.04,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2728.609,0.022,1 2, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2769.94,0.1,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2785.96,0.08,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2794.1,0.6, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2802.53,0.19, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2826.98,0.13,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2860.89,0.12,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2869.6,0.12, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2880.36,0.12,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2893.58,0.09,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2896.98,0.23, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2919.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2921.9,0.09,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2928.56,0.21,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2934.54,0.17,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2940.67,0.09,1(-) 2+ 2-, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2962.8,0.7, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2967.6,0.5, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2978.93,0.09,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,2986.24,0.1,(1-) 2+ 2-, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3000,0.11,1(-) 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3003.4,1, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3005.8,0.6, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3014.11,0.13,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3022.3,0.3, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3030.3,0.6, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3039.3,0.6, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3053.93,0.14,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3068.3,0.8, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3078.7,0.6, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3081.8,0.15,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3094.01,0.24,1(-) 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3139,0.8, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3142.58,0.22,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3149.2,0.5,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3160.3,0.4,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3164.4,0.8, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3173.3,0.6, , , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3183.65,0.23,1+ 1- 2+, , , , , , , , , , , , , , , , , , , , ,
84,130,Po,3262.4,0.8, , , , , , , , , , , , , , , , , , , , , ,

