Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
89,134,Ac,0, ,(5/2-), ,2.10,5,m,126,3,A,99, ,EC,1, , , , , , , , , ,
89,134,Ac,12.5,0.2,(3/2-), , , , , , , , , , , , , , , , , , , , ,
89,134,Ac,42.4,0.1,(7/2-),LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,
89,134,Ac,50.7,0.1,(5/2-),LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,
89,134,Ac,64.62,0.04,(5/2+),LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,
89,134,Ac,90.7,0.1,(9/2-),LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,
89,134,Ac,107.2,0.2,(7/2-),LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,
89,134,Ac,110.06,0.04,(7/2+),LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,
89,134,Ac,130.7,0.1,(7/2+), , , , , , , , , , , , , , , , , , , , ,
89,134,Ac,141,5,(11/2-), , , , , , , , , , , , , , , , , , , , ,
89,134,Ac,167.5,0.1,(9/2+),LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , ,

