Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
88,138,Ra,0, ,0+, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, ,14C,0.0000000032,0.0000000016, , , , , , , , ,
88,138,Ra,67.67,0.01,2+, ,0.63,2,ns,0.00000000063,0.00000000002, , , , , , , , , , , , , , ,
88,138,Ra,211.54,0.02,4+,AP,0.17, ,ns,0.00000000017, , , , , , , , , , , , , , , ,
88,138,Ra,253.73,0.01,1-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,321.54,0.06,3-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,416.5,0.3,6+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,446.3,0.2,5-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,626.7,0.2,7-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,650, ,(0+), , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,669.4,0.3,8+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,824.6,0.1,0+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,857.6,0.3,9-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,873.7,0.1,2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,959.9,0.3,10+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1048.8,0.1,1-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1070.5,0.2,(2-), , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1077.2,0.2,1- 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1107,3,2+ 3-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1122.4,0.3,(2+), , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1133.1,0.3,11-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1140, , , , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1156.2,0.1,2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1220, , , , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1238.9,0.5,(2), , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1280.5,0.4,12+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1330, , , , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1390,0.1,2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1420, , , , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1422.5,1,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1437.8,0.7,1- 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1446, ,13-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1540, , , , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1587.3,0.5,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1621.3,0.5,1- 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1625, ,14+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1723.4,0.3,2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1738.5,1,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1756.2,1,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1767.1,1,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1778.4,1,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1786.1,1,1- 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1793, ,15-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1865,1,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1882.3,0.7,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1888.4,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1897.4,1,1- 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1907.8,1,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1945.6,1,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1951,1,1- 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1970.8,0.5,1- 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1982.7,1,0+ 1, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,1993, ,16+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2006.7,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2015.2,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2056.8,0.5,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2086.1,1,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2170, ,17-, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2182.3,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2189.4,1,2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2269.7,1,1 2+, , , , , , , , , , , , , , , , , , , , ,
88,138,Ra,2382, ,18+, , , , , , , , , , , , , , , , , , , , ,

