Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
90,138,Th,0, ,0+, ,1.9116,16,Y,60324219.69303007,50491.0815593472,A,100, , , , , , , , , , , , ,
90,138,Th,57.773,0.003,2+, ,0.406,7,ns,0.000000000406,0.000000000007, , , , , , , , , , , , , , ,
90,138,Th,186.838,0.003,4+, ,0.164,4,ns,0.000000000164,0.000000000004, , , , , , , , , , , , , , ,
90,138,Th,328.019,0.003,1-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,378.195,0.012,6+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,396.094,0.004,3-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,519.208,0.005,5-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,622.5,0.3,8+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,695.45,0.15,7-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,831.842,0.01,0+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,874.535,0.016,2+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,911.8,0.3,(10+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,920.77,0.22,9-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,938.61,0.07,0+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,944.205,0.012,1-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,968.381,0.022,2-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,968.451,0.024,4+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,968.984,0.004,2+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,979.522,0.013,2+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1016.386,0.016,3-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1022.542,0.006,(3)+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1059.928,0.022,4-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1074.8,0.06,4+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1091.048,0.011,4+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1105.38,0.15,6+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1119.7,1,0+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1122.959,0.005,2-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1143.16,0.1,5-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1153.487,0.009,2+, ,0.29,2,ns,0.00000000029,0.00000000002, , , , , , , , , , , , , , ,
90,138,Th,1160,5, , , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1168.389,0.006,3-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1174.515,0.018,(5+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1175.41,0.04,2+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1189.8,0.3,11-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1200.6,0.03,3(+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1226.58,0.007,4-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1239.3,0.4,(12+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1261.57,0.08,4+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1270.08,0.18,6+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1280.41,0.22,8+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1290.07,0.08,4+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1297.435,0.01,(5-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1319.2,0.4,(2+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1344.142,0.02,3-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1379.5,0.3,7+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1393.31,0.07,(1+ 2 3-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1416.1,0.06,(3-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1420,2, , , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1423.8,0.5,(2+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1431.994,0.005,4+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1448.92,0.07,3 4-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1450.402,0.01,4-, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1453.5,0.3,(3-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1467,2, , , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1470,0.5,(6+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1490.2,0.3,10+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1497,0.4,(13-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1497.2,0.4,8+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1497.7,0.08,(5-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1511.1,0.3,0+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1531.49,0.005,0+&3+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1539.21,0.08,2+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1580.92,0.06,(2-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1586.9,0.4,2+, , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1588.347,0.014,(4-), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1599.4,0.5,(14+), , , , , , , , , , , , , , , , , , , , ,
90,138,Th,1617.8,0.07,4+, , , , , , , , , , , , , , , , , , , , ,
