Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
91,142,Pa,0, ,3/2-, ,26.975,13,d,2330640,1123.2,B-,100, , , , , , , , ,3.4, ,-3, ,
91,142,Pa,6.671,0.013,1/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,57.1,0.013,7/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,70.544,0.025,5/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,86.468,0.009,5/2+, ,35.7,10,ns,0.0000000357,0.000000001, , , , , , , , , , , , , , ,
91,142,Pa,94.646,0.015,3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,103.635,0.019,7/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,109.07,0.05,9/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,133.2,0.2,(11/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,163.51,0.1,(11/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,169.166,0.01,1/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,173,1,13/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,179,0.4,(9/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,201.634,0.023,3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,212.341,0.017,5/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,237.89,0.013,5/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,257.183,0.022,5/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,279.72,0.03,(7/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,296, ,(5/2+ 11/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,300.5,0.03,7/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,303.59,0.07,(9/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,306.1,0.08,(7/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,323.8,1,(15/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,330.8,1.1,(13/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,355, ,3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,355,2,(9/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,365.84,0.08,9/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,411,10, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,421,4,(11/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,447.734,0.018,3/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,454.4,0.04,3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,488, ,(5/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,517.6,1.5,(17/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,523,10, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,529,2,(13/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,529,1.5,(19/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,553.87,0.016,1/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,555, ,(11/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,585.47,0.04,3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,586, ,7/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,589,4,(13/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,669.8,0.4,3/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,703, ,(3/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,704,3,5/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,739.2,1.8,(21/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,742, ,(7/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,749,1,7/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,764.544,0.021,1/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,776.9,1.8,(23/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,800,12, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,803,4,(9/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,811.47,0.11,3/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,833,12, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,852,4, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,871,2,11/2-, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,872, ,(3/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,942,12, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,984.71,0.18,(3/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,992.8,2.1,(25/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,998, ,(9/2+), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1018.65,0.25,(3/2), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1044,12, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1063.1,2,(27/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1073, ,5/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1143,3, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1176, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1179,3, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1233, ,(1/2+ 3/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1240,3, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1267, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1274,5, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1276.4,2.3,(29/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1308, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1318,4, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1358,4, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1384.9,2.3,(31/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1386, ,5/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1403,3, , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1417, ,5/2+, , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1486, ,(5/2+ 11/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1557, , , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1588.5,2.5,(33/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1625, , , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1680, , , , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1738.6,2.5,(35/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,1929,3,(37/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,2122,3,(39/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,2297,3,(41/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,2533,3,(43/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,2693,3,(45/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,2973,3,(47/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,3115,4,(49/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,3569,4,(53/2-), , , , , , , , , , , , , , , , , , , , ,
91,142,Pa,4051.5,1.1,(57/2), , , , , , , , , , , , , , , , , , , , ,

