Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
92,144,U,0, ,0+, ,2.342E7,4,Y,739063206324944.6,1262277038983.68,A,100, ,SF,0.000000094,0.000000004, , , , , , , , ,
92,144,U,45.244,0.002,2+, ,234,6,ps,0.000000000234,0.000000000006, , , , , , , , , , , , , , ,
92,144,U,149.477,0.006,4+, ,124,7,ps,0.000000000124,0.000000000007, , , , , , , , , , , , , , ,
92,144,U,309.785,0.007,6+, ,58,3,ps,0.000000000058,0.000000000003, , , , , , , , , , , , , , ,
92,144,U,522.25,0.05,8+, ,24,2,ps,0.000000000024,0.000000000002, , , , , , , , , , , , , , ,
92,144,U,687.59,0.04,1-, ,3.78,9,ns,0.00000000378,0.00000000009, , , , , , , , , , , , , , ,
92,144,U,744.18,0.07,3-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,782.3,0.5,10+, ,11.6,11,ps,0.0000000000116,0.0000000000011, , , , , , , , , , , , , , ,
92,144,U,848.1,0.8,5-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,919.14,0.17,0+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,957.9,0.15,(2+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,960.3,0.3,(2+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,966.62,0.09,1-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,987.67,0.08,2-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,999.6,0.9,7-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1001.5,0.3,(3+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1035.6,0.7,(3-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1050.85,0.15,(4+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1052.5,0.6,(4)-, ,100,4,ns,0.0000001,0.000000004, , , , , , , , , , , , , , ,
92,144,U,1058.8,0.3,(4+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1066.1,1,(3+ 4+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1070,1,(4-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1085.3,0.7,12+, ,5.3,8,ps,0.0000000000053,0.0000000000008, , , , , , , , , , , , , , ,
92,144,U,1093.8,1,(2+ 5+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1104.4,1.4,(5-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1110.68,0.08,(2-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1127.38,0.2,(5+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1147,1,(3+ 4+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1149.4,1,(3-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1164, ,(5-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1164,3,(6-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1171.8,0.2, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1191.6,1, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1198.4,1,9-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1221.4,1,(2+ 5+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1232, ,(7-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1232.2,1,(4-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1240,2, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1249.3,1,2+ 5+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1265.2,1,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1271.1,0.08,(1- 2 3), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1282.2,1,(5-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1320,4,(8-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1320.4,1,2+ 5+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1329,1,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1332.8,1,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1342.8,1,(6-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1347.5,1,(3+ 4+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1351.3,1,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1381.3,1,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1392,5, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1399.8,1,2+ 5+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1413.3,1.9,(7-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1426.3,0.9,14+, ,2.8,3,ps,0.0000000000028,0.0000000000003, , , , , , , , , , , , , , ,
92,144,U,1443.4,1.1,11-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1471.7,1,(6-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1541.8,1.3,(7-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1572.2,0.6, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1580,11,(1 2), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1604.81,0.07,1- 2+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1621.8,1.2,(8-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1642.5,2, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1662.37,0.08,1 2+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1689.6,1.7, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1732.4,1.5,13-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1748,3, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1775.9,0.2,2, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1791.3,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,1800.9,1,16+, ,2.1,2,ps,0.0000000000021,0.0000000000002, , , , , , , , , , , , , , ,
92,144,U,1807.88,0.07,1 2+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1854.8,2, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1865.4,0.15,1 2+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1896.9,0.7, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1912,1.6, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1946.8,2, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,1972.62,0.09,1 2+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1979.16,0.08,1- 2, , , , , , , , , , , , , , , , , , , , ,
92,144,U,1981.05,0.16,1 2+, , , , , , , , , , , , , , , , , , , , ,
92,144,U,2054.2,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2060.4,1.8,15-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,2086.54,0.09,1(-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2095.7,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2114,3, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,2155.41,0.12,0 1 2, , , , , , , , , , , , , , , , , , , , ,
92,144,U,2176.9,1.8, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,2188.8,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2190,10,(1 2+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2203.9,1.2,18+, ,1.17,12,ps,0.00000000000117,0.00000000000012, , , , , , , , , , , , , , ,
92,144,U,2226.9,0.3,(2), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2234,4, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,2243.9,1,1, , , , , , , , , , , , , , , , , , , , ,
92,144,U,2251.1,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2260.4,1, , , , , , , , , , , , , , , , , , , , , ,
92,144,U,2284.7,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2426.4,2.1,17-, , , , , , , , , , , , , , , , , , , , ,
92,144,U,2435.6,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2440.2,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2457.3,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2494.5,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2498.5,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2631.7,1.3,20+, ,0.84,12,ps,0.00000000000084,0.00000000000012, , , , , , , , , , , , , , ,
92,144,U,2699,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2712.1,0.7,1(-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2750,3,(0+), ,120,2,ns,0.00000012,0.000000002,IT,87,6,SF,13,6,A,10, , , , , , ,
92,144,U,2756.2,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2770,3,(2+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2817,3,(4+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2822,4,(19-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2823.3,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2838.3,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2877.8,0.7,1(-), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2891,4,(6+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2924,0.7,(2), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2969,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,2992,4,(8+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,3080.9,1.4,22+, ,0.65,15,ps,0.00000000000065,0.00000000000015, , , , , , , , , , , , , , ,
92,144,U,3143.8,0.7,1(+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,3434.5,1,(0+), , , , , , , , , , , , , , , , , , , , ,
92,144,U,3549.9,1.7,(24+), ,0.41,8,ps,0.00000000000041,0.00000000000008, , , , , , , , , , , , , , ,
92,144,U,4038.9,2,(26+), ,0.33,9,ps,0.00000000000033,0.00000000000009, , , , , , , , , , , , , , ,
92,144,U,4548.9,2.2,(28+), ,0.17,7,ps,0.00000000000017,0.00000000000007, , , , , , , , , , , , , , ,
92,144,U,5077,4,(30+), , , , , , , , , , , , , , , , , , , , ,

