Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
94,146,Pu,0, ,0+, ,6561,7,Y,207044991319.29813,220898481.822144,A,100, ,SF,0.0000057,0.0000002,{+34}Si,0.000000000013, , , , , , ,
94,146,Pu,42.824,0.008,2+, ,167,6,ps,0.000000000167,0.000000000006, , , , , , , , , , , , , , ,
94,146,Pu,141.69,0.015,4+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,294.319,0.024,6+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,497.37,0.2,8+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,597.34,0.04,1-, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,648.86,0.04,3-, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,742.33,0.04,5-,LT,2, ,ns,0.000000002, , , , , , , , , , , , , , , ,
94,146,Pu,747.4,0.3,10+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,860.71,0.07,0+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,878.1,0.4,(7-), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,900.32,0.04,2+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,938.06,0.06,(1-), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,958.85,0.06,(2-), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,992.4,0.5,4+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1001.94,0.08,(3-), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1030.55,0.04,(3)+, ,1.32,15,ns,0.00000000132,0.00000000015, , , , , , , , , , , , , , ,
94,146,Pu,1037.55,0.06,(4-), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1041.1,0.3,12+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1056.8,0.3,(9-), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1076.22,0.09,(4+), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1089.45,0.1,0+, , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1115.53,0.06,(5-), , , , , , , , , , , , , , , , , , , , ,
94,146,Pu,1130.95,0.09,(2+), , , , , , , , , , , , , , , , , , , , ,
