Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
12,13,Mg,0, ,0, , ,5/2+,1,STABLE, , , , , , , , , , , , , , , ,-0.85545, ,0.201, ,2021-06-10
12,13,Mg,1, ,585.045,0.021, ,1/2+,1,3.38, ,6,ns,0.00000000338,0.00000000006, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,2, ,974.756,0.022, ,3/2+,1,10.1, ,10,ps,0.0000000000101,0.000000000001, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,3, ,1611.768,0.011, ,7/2+,1,17, ,3,fs,0.000000000000017,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,4, ,1964.624,0.023, ,5/2+,2,0.70, ,6,ps,0.0000000000007,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,5, ,2563.36,0.05, ,1/2+,2,10, ,5,fs,0.00000000000001,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,6, ,2737.8,0.3, ,7/2+,2,290, ,30,fs,0.00000000000029,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,7, ,2801.46,0.03, ,3/2+,2,26, ,3,fs,0.000000000000026,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,8, ,3405.06,0.17, ,9/2+,1,7.7, ,7,fs,0.0000000000000077,7e-16, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,9, ,3413.374,0.003, ,3/2-,1,7, ,3,fs,0.000000000000007,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,10, ,3907.9,0.4, ,5/2+,3,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,11, ,3970.73,0.19, ,7/2-,1,22, ,5,fs,0.000000000000022,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,12, ,4059.6,0.3, ,9/2+,2,47, ,5,fs,0.000000000000047,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,13, ,4277.1,0.4, ,1/2-,1,4,LT, ,fs,0.000000000000004, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,14, ,4359.61,0.14, ,3/2+,3,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,15, ,4711.6,0.4, ,9/2+,3,26, ,3,fs,0.000000000000026,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,16, ,4722.2,0.7, ,5/2+ 3/2+,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,17, ,5012.2,0.4, ,(7/2)+,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,18, ,5116.52,0.21, ,1/2-,2,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,19, ,5251.63,0.22, ,11/2+,1,15, ,2,fs,0.000000000000015,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,20, ,5461.1,0.3, ,13/2+,1,1.44, ,13,ps,0.00000000000144,0.00000000000013, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,21, ,5474.9,0.5, ,1/2+,3,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,22, ,5521.33,0.22, ,5/2-,1,46, ,6,fs,0.000000000000046,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,23, ,5533.8,0.4, ,11/2+,2,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,24, ,5746.2,0.7, ,7/2+ 9/2+,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,25, ,5748.4,0.8, ,3/2+ 5/2+,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,26, ,5793.2,0.2, ,7/2-,2,37, ,7,fs,0.000000000000037,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,27, ,5860,2, ,5/2+,4,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,28, ,5971.6,0.3, ,9/2+,4,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,29, ,5980,2, ,7/2+,3,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,30, ,6040.7,0.3, ,7/2+ 11/2+,1,6,LT, ,fs,0.000000000000006, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,31, ,6082,1, ,5/2+,5,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,32, ,6169,2, ,3/2,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,33, ,6362,2, ,3/2,2,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,34, ,6434,2, ,9/2+,5,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,35, ,6468,2, ,3/2-,2,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,36, ,6570,1, ,(1/2 3/2)+,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,37, ,6678,1, ,5/2,1,40,LT, ,fs,0.00000000000004, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,38, ,6777,3, ,1/2+,4,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,39, ,6832,2, ,(3/2- 5/2),1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,40, ,6840,2, ,5/2,2,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,41, ,6862,2, , , ,9,LT, ,fs,0.000000000000009, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,42, ,6885,3, , , ,97, ,42,fs,0.000000000000097,0.000000000000042, , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,43, ,6914,2, ,5/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,44, ,6958,2, ,5/2-,3,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,45, ,7038,2, ,5/2,3,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,46, ,7089,4, ,(3/2 5/2)+,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
12,13,Mg,47, ,7182,2, ,(3/2 5/2),1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
