Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
11,14,Na,0, ,0, , ,5/2+,1,59.1, ,6,s,59.1,0.6,B-,100, , , , , , , , ,3.683, ,-0.1, ,2021-06-10
11,14,Na,1, ,89.53,0.1, ,3/2+,1,5.1, ,3,ns,0.0000000051,0.0000000003, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,2, ,1069.32,0.19, ,1/2+,1,1.32, ,14,ps,0.00000000000132,0.00000000000014, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,3, ,2202,1, ,3/2+,2,25, ,4,fs,0.000000000000025,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,4, ,2416,3, , , ,140, ,100,fs,0.00000000000014,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,5, ,2788,3, ,(1/2+ 3/2 5/2-),1,173, ,34,fs,0.000000000000173,0.000000000000034, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,6, ,2914,4, ,5/2+,2,10, ,4,fs,0.00000000000001,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,7, ,3353,3, , , ,16, ,5,fs,0.000000000000016,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,8, ,3455,4, , , ,146, ,17,fs,0.000000000000146,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,9, ,3687,2, ,(3/2)+,1,18, ,8,fs,0.000000000000018,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,10, ,3928,7, ,(1/2+),1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,11, ,3950,5, ,(1/2+ 3/2 5/2+),1,83,LT, ,fs,0.000000000000083, , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,12, ,3995,5, ,1/2-,1,31, ,7,fs,0.000000000000031,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,13, ,4132,5, , , ,16, ,6,fs,0.000000000000016,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
11,14,Na,14, ,4289,3, ,1/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,15, ,4340,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,16, ,4450,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,17, ,4710,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,18, ,4800,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,19, ,4962,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,20, ,5146,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,21, ,5190,9, ,3/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,22, ,5223,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,23, ,5347,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,24, ,5378,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,25, ,5465,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,26, ,5484,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,27, ,5690,12, ,3/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,28, ,5713,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,29, ,5746,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,30, ,5876,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,31, ,6005,22, ,(1/2 3/2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,32, ,6079,15, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,33, ,6154,15, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,34, ,6549,19, ,3/2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,35, ,6753,21, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,36, ,6863,20, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,37, ,6936,20, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,38, ,6985,20, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,39, ,7603,17, ,3/2-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,40, ,7780,25, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,41, ,8052,26, ,(1/2 3/2)-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,14,Na,42, ,8400,25, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10

