Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
14,14,Si,0, ,0, , ,0+,1,STABLE, , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,1, ,1779.03,0.011, ,2+,1,475, ,17,fs,0.000000000000475,0.000000000000017, , , , , , , , , , ,1.12, ,0.16, ,2021-06-10
14,14,Si,2, ,4617.86,0.04, ,4+,1,37, ,4,fs,0.000000000000037,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,3, ,4979.92,0.08, ,0+,2,35, ,2,fs,0.000000000000035,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,4, ,6276.2,0.07, ,3+,1,0.78, ,6,ps,0.00000000000078,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,5, ,6690.74,0.15, ,0+,3,147, ,10,fs,0.000000000000147,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,6, ,6878.79,0.08, ,3-,1,1.9, ,2,ps,0.0000000000019,0.0000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,7, ,6887.65,0.1, ,4+,2,33, ,2,fs,0.000000000000033,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,8, ,7380.59,0.09, ,2+,2,5, ,2,fs,0.000000000000005,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,9, ,7416.26,0.09, ,2+,3,29, ,3,fs,0.000000000000029,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,10, ,7799.01,0.09, ,3+,2,225, ,10,fs,0.000000000000225,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,11, ,7933.45,0.1, ,2+,4,11, ,2,fs,0.000000000000011,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,12, ,8258.74,0.1, ,2(+),1,10, ,2,fs,0.00000000000001,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,13, ,8328.38,0.12, ,1+,1,347, ,166,fs,0.000000000000347,0.000000000000166, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,14, ,8413.33,0.1, ,4-,1,324, ,55,fs,0.000000000000324,0.000000000000055, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,15, ,8543.56,0.2, ,6+,1,11.4, ,10,fs,0.0000000000000114,0.000000000000001, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,16, ,8588.71,0.1, ,3+,3,11, ,2,fs,0.000000000000011,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,17, ,8819,9, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,18, ,8904.8,0.4, ,1-,1,8, ,2,fs,0.000000000000008,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,19, ,8945.2,0.13, ,5+,1,58, ,6,fs,0.000000000000058,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,20, ,8953.3,0.4, ,(0+ 1 2),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,21, ,9164.68,0.17, ,(4+),1,28, ,3,fs,0.000000000000028,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,22, ,9315.92,0.1, ,3+,4,1.5, ,6,fs,0.0000000000000015,6e-16, , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,23, ,9381.55,0.12, ,2+,5,1.1, ,3,fs,0.0000000000000011,3e-16, , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,24, ,9417.17,0.14, ,4+,3,78, ,12,fs,0.000000000000078,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,25, ,9479.49,0.11, ,(2+),1,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,26, ,9496.04,0.15, ,(1+),1,5, ,2,fs,0.000000000000005,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,27, ,9702.34,0.12, ,(5-),1,4, ,1,ps,0.000000000004,0.000000000001, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,28, ,9764.52,0.11, ,(3-),1,2,LT, ,fs,0.000000000000002, , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,29, ,9795.95,0.14, ,(2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,30, ,9929.2,1.7, ,1-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,31, ,10181.6,0.12, ,(3-),2,7, ,2,fs,0.000000000000007,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,32, ,10189.59,0.2, ,(5- 3-),1,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,33, ,10209.01,0.2, ,(3+),1,10, ,3,fs,0.00000000000001,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,34, ,10272.3,0.8, ,0+,4,42,LT, ,fs,0.000000000000042, , , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,35, ,10310.92,0.13, ,(4+),2,11, ,4,fs,0.000000000000011,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,36, ,10376.24,0.12, ,(3+ 4+),1, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,37, ,10418.25,0.22, ,(5+),1,18, ,4,fs,0.000000000000018,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,38, ,10514.1,0.3, ,(2+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,39, ,10541,0.8, ,(3-),3, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,40, ,10596.18,0.15, ,(1+),2,388, ,83,as,3.88e-16,8.3e-17, , , , , , , , , ,0,1, , , , ,2021-06-10
14,14,Si,41, ,10668.05,0.13, ,(2 3)+,1,15, ,3,fs,0.000000000000015,0.000000000000003, , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,42, ,10668.34,0.11, ,4+,4,18, ,3,fs,0.000000000000018,0.000000000000003, , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,43, ,10724.7,0.4, ,(1+),3,624, ,110,as,6.24e-16,1.1e-16, , , , , , , , , ,0,1, , , , ,2021-06-10
14,14,Si,44, ,10778,2, ,1+ TO 5+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,45, ,10805.5,1, ,(2+),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,46, ,10883.45,0.14, ,(2 3+),1, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,47, ,10900.42,0.15, ,(1+),4,83, ,7,as,8.3e-17,7e-18, , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,48, ,10915.6,0.7, ,(3-),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,49, ,10944,0.3, ,(4+),3,15, ,10,fs,0.000000000000015,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,50, ,10952.8,0.3, ,1 TO 4,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,51, ,10994,2, ,(1 2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,52, ,11078.52,0.14, ,(3-),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,53, ,11100,1, ,(6+),1,11.0, ,10,fs,0.000000000000011,0.000000000000001, , , , , , , , , , , , , , ,2021-06-10
14,14,Si,54, ,11142,1, ,(2+),5, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,55, ,11195.22,0.13, ,(4+),4, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,56, ,11242,6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,57, ,11265,3, ,(3-),6, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,58, ,11295.6,0.2, ,(1-),1,150,LT, ,eV,3.0415847671426e-18, , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,59, ,11331.9,0.9, ,(6+),2,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,60, ,11388,3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,61, ,11432.63,0.18, ,(2+),6,21,LT, ,fs,0.000000000000021, , , , , , , , , , ,0,1, , , , ,2021-06-10
14,14,Si,62, ,11434.5,0.22, ,(4-),1,14, ,4,fs,0.000000000000014,0.000000000000004, , , , , , , , , ,0,1, , , , ,2021-06-10
14,14,Si,63, ,11446,0.16, ,(1+),5,17.6, ,8,as,1.76e-17,8e-19, , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,64, ,11510.4,1, ,(6+),3,9, ,2,fs,0.000000000000009,0.000000000000002, , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,65, ,11515.5,0.2, ,(2+),7,200,LT, ,eV,2.2811885753569e-18, , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,66, ,11572,0.7, ,(4 5+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,67, ,11576,2, ,(6-),1,235, ,70,fs,0.000000000000235,0.00000000000007, , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,68, ,11584.62,0.19, ,(3-),7,200,LT, ,eV,2.2811885753569e-18, , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,69, ,11656.9,0.3, ,(2+),8,0.18, ,7,eV,0.0000000000000025346539726188095,0.0000000000000065176816438769385, , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,70, ,11669.7,0.2, ,(1-),2,0.46, ,10,eV,9.918211197204036e-16,0.000000000000004562377150713857, , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,71, ,11778.7,0.2, ,(2+),9,5,LT, ,eV,9.12475430142771e-17, , , , , , , , , , ,0,1, , , , ,2021-06-10
14,14,Si,72, ,11778.9,1, ,(5+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,73, ,11780.7,0.9, ,(0+ TO 4+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,74, ,11799.8,0.4, ,(2 3)-,1,35,LT, ,eV,1.30353632877539e-17, , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,75, ,11867.2,0.4, ,(4+),5,59, ,14,eV,7.7328426283286e-18,3.25884082193847e-17, , , , , , , , , ,1, , , , ,2021-06-10
14,14,Si,76, ,11899.9,0.2, ,4+,5,40,LT, ,eV,1.14059428767846e-17, , , , , , , , , , ,0,1, , , , ,2021-06-10
14,14,Si,77, ,11933.5,0.7, ,5,1, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,78, ,11975.7,0.3, ,(3- 4+),1,40,LT, ,eV,1.14059428767846e-17, , , , , , , , , , ,0,1, , , , ,2021-06-10
14,14,Si,79, ,11986,2, ,(1 TO 3),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,80, ,12015.8,0.5, ,(2+ 3),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,Si,81, ,12022.7,0.2, ,(5-),2,250,LT, ,eV,1.8249508602855e-18, , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,82, ,12071.1,0.1, ,(2+),10,1.4, , ,eV,3.258840821938469e-16, , , , , , , , , , ,0, , , , ,2021-06-10
14,14,Si,83, ,12073.3,0.1, ,(2-),1,80,LT, ,eV,5.7029714383923e-18, , , , , , , , , , , , , , , ,2021-06-10
