Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
15,15,P,0, ,0, , ,1+,1,2.498, ,4,m,149.88,0.24,EC+B+,100, , , , , , , , , , , , ,2021-06-10
15,15,P,1, ,677.01,0.03, ,0+,1,96, ,10,fs,0.000000000000096,0.00000000000001, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,2, ,708.7,0.03, ,1+,2,45, ,4,ps,0.000000000045,0.000000000004, , , , , , , , , , , , , , ,2021-06-10
15,15,P,3, ,1454.23,0.02, ,2+,1,4.5, ,5,ps,0.0000000000045,0.0000000000005, , , , , , , , , , , , , , ,2021-06-10
15,15,P,4, ,1973.27,0.04, ,3+,1,1.9, ,6,ps,0.0000000000019,0.0000000000006, , , , , , , , , , , , , , ,2021-06-10
15,15,P,5, ,2538.95,0.05, ,(3+),1,151, ,14,fs,0.000000000000151,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
15,15,P,6, ,2723.72,0.07, ,2+,2,112, ,10,fs,0.000000000000112,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
15,15,P,7, ,2839.34,0.04, ,(3+),2,573, ,125,fs,0.000000000000573,0.000000000000125, , , , , , , , , , , , , , ,2021-06-10
15,15,P,8, ,2937.46,0.02, ,2+,3,48, ,3,fs,0.000000000000048,0.000000000000003, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,9, ,3019.2,0.1, ,1+,3,2, ,1,fs,0.000000000000002,0.000000000000001, , , , , , , , , , , , , , ,2021-06-10
15,15,P,10, ,3304,5, ,(1+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,11, ,3733.8,0.07, ,(1+),2,26, ,5,fs,0.000000000000026,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
15,15,P,12, ,3835.8,0.05, ,2+,4,32, ,6,fs,0.000000000000032,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
15,15,P,13, ,3928.61,0.05, ,3+,2,79, ,14,fs,0.000000000000079,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
15,15,P,14, ,4143.63,0.06, ,2-,1,30, ,3,fs,0.00000000000003,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
15,15,P,15, ,4182.81,0.06, ,2+,5,2.2, ,6,fs,0.0000000000000022,6e-16, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,16, ,4231.97,0.09, ,4-,1,1.3, ,7,ps,0.0000000000013,0.0000000000007, , , , , , , , , , , , , , ,2021-06-10
15,15,P,17, ,4298.6,0.2, ,4+,1,100, ,18,fs,0.0000000000001,0.000000000000018, , , , , , , , , , , , , , ,2021-06-10
15,15,P,18, ,4343.8,0.1, ,5+,1,123, ,10,fs,0.000000000000123,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
15,15,P,19, ,4422.8,0.1, ,2+,6,40, ,6,fs,0.00000000000004,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
15,15,P,20, ,4468.33,0.07, ,0+,2,1.9, ,3,fs,0.0000000000000019,3e-16, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,21, ,4502.21,0.09, ,1+,4,4.4, ,15,fs,0.0000000000000044,0.0000000000000015, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,22, ,4625.92,0.08, ,3-,1,171, ,14,fs,0.000000000000171,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
15,15,P,23, ,4736.03,0.08, ,3+,3,51, ,7,fs,0.000000000000051,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
15,15,P,24, ,4926,0.2, ,(3- 5-),1,260, ,35,ps,0.00000000026,0.000000000035, , , , , , , , , , , , , , ,2021-06-10
15,15,P,25, ,4937.3,0.2, ,1,1,4.6, ,14,fs,0.0000000000000046,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-10
15,15,P,26, ,4941.2,0.3, ,(1+),3,4.3, ,11,fs,0.0000000000000043,0.0000000000000011, , , , , , , , , , , , , , ,2021-06-10
15,15,P,27, ,4951,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,28, ,5027,4, ,5- (4- 6-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,29, ,5206.8,0.1, ,3+,4,15, ,4,fs,0.000000000000015,0.000000000000004, , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,30, ,5230.1,0.3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,31, ,5411.1,0.3, ,(2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,32, ,5506.3,0.2, ,(1+),4,3.8, ,9,fs,0.0000000000000038,9e-16, , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,33, ,5508.55,0.08, ,(2 3),1,10, ,5,fs,0.00000000000001,0.000000000000005, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,34, ,5576.3,0.1, ,2+,7,6, ,1,fs,0.000000000000006,0.000000000000001, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,35, ,5597,5, ,4+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,36, ,5701.3,0.2, ,1+,5,11, ,3,fs,0.000000000000011,0.000000000000003, , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,37, ,5715,4, ,(5 7)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,38, ,5788,5, ,(3 TO 5)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,39, ,5808,5, ,(3 5)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,40, ,5896,5, ,(2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,41, ,5907.8,0.8, ,(2- 1-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,42, ,5934,0.1, ,(3+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,43, ,5993,5, ,(0 1 2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,44, ,5997.2,0.8, ,(1+),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,45, ,6006,0.1, ,(3+),4, , , , , , , , , , , , , , , ,0,1, , , , ,2021-06-10
15,15,P,46, ,6051,5, ,(3 4 5)+,1, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,47, ,6093.5,0.1, ,3-,2,4.4, ,10,fs,0.0000000000000044,0.000000000000001, , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,48, ,6178,4, ,(5 6 7)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,49, ,6229,0.3, ,(3 5)+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,50, ,6268.7,0.4, ,(2-),3, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,51, ,6295,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,52, ,6299.3,0.2, ,3+,5, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,53, ,6354,5, ,(4 5 6)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,54, ,6470,5, ,(5+ 6-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,55, ,6481.6,0.5, ,(1+),6, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,56, ,6520.8,0.5, ,(1+ 2+),1, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,57, ,6597.7,0.5, ,(3 4+ 5+),1, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,58, ,6648,5, , , , , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,59, ,6667.8,0.5, ,(2- 3+),1, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,60, ,6788,4, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,61, ,6853.9,0.5, ,1+,6,25, , ,eV,1.82495086028554e-17, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,62, ,6873.4,0.5, ,3+,6,3, , ,eV,1.520792383571286e-16, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,63, ,6877,1, ,(2-),4,3.1, , ,keV,1.471734564746405e-19, , , , , , , , , , , , , , , ,2021-06-10
15,15,P,64, ,6921,1, ,1-,1,5.4, , ,keV,8.44884657539603e-20, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,65, ,6978.3,0.5, ,(3+ 4+),1, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,66, ,6981,5, ,(5 TO 7)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,67, ,7014.9,0.5, ,2-,2,0.70, , ,keV,6.517681643876939e-19, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,68, ,7045,0.5, ,(2 3 4)-,1,20, , ,eV,2.28118857535693e-17, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,69, ,7049.4,0.5, ,4-,2,45, , ,eV,1.01386158904752e-17, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,70, ,7119.1,0.5, ,(1+ 2+ 3+),1, , , , , , , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,71, ,7178,3, ,1-,2,15, , ,keV,3.04158476714257e-20, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,72, ,7202.4,1.5, ,(6+ 7+),1,9.4, ,12,ps,0.0000000000094,0.0000000000012, , , , , , , , , , , , , , ,2021-06-10
15,15,P,73, ,7203,0.5, ,(2+),1,30, , ,eV,1.52079238357129e-17, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,74, ,7207.5,0.5, ,(0+),1,50, , ,eV,9.1247543014277e-18, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,75, ,7223.3,0.5, ,2-,3,4.5, , ,keV,1.013861589047524e-19, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,76, ,7282,0.5, ,3+,7,1, , ,eV,4.562377150713857e-16, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,77, ,7283.4,0.5, ,2+,8,7, , ,eV,6.51768164387694e-17, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,78, ,7304.9,0.5, ,(2-),5,60, , ,eV,7.6039619178564e-18, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,79, ,7306.3,0.5, ,(2-),6,45, , ,eV,1.01386158904752e-17, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,80, ,7322,3, ,(1-),1,16.5, , ,keV,2.7650770610387e-20, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,81, ,7347,5, ,(5 6 7)+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,82, ,7370,5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,83, ,7383.4,0.5, ,(1 TO 3+),1, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,84, ,7472,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,P,85, ,7493,1, ,(1+),7,3.5, , ,keV,1.303536328775388e-19, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,86, ,7560.5,0.5, ,(3+),5,40, , ,eV,1.14059428767846e-17, , , , , , , , , , , , , , , ,2021-06-10
15,15,P,87, ,7562.5,0.5, ,(2+),2,25, , ,eV,1.82495086028554e-17, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,88, ,7579.9,0.5, ,(2-),7,0.17, , ,keV,2.6837512651257983e-18, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,89, ,7605,0.5, ,(1+ 2+),2,0.26, , ,keV,1.7547604425822526e-18, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,90, ,7636,0.5, ,(3+),6,3,LT, ,eV,1.520792383571286e-16, , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,91, ,7644.3,0.5, ,(3+),7,65, , ,eV,7.019041770329e-18, , , , , , , , , , ,0, , , , ,2021-06-10
15,15,P,92, ,7647,10, ,(4 5 6)-,2, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
15,15,P,93, ,7688.2,0.5, ,(3+ 4-),1,3,LT, ,eV,1.520792383571286e-16, , , , , , , , , , ,0, , , , ,2021-06-10
