Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
19,21,K,0, ,0, , ,4-,1,1.248E+9, ,3,Y,3.938304361629082e16,94670777923776,B-,89.28,0.11,EC+B+,10.72,0.11, , , , ,-1.2981, ,-0.061, ,2021-06-10
19,21,K,1, ,29.8299,0.0005, ,3-,1,4.25, ,6,ns,0.00000000425,0.00000000006, , , , , , , , , , ,-1.29, , , ,2021-06-10
19,21,K,2, ,800.1431,0.0019, ,2-,1,0.26, ,5,ps,0.00000000000026,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
19,21,K,3, ,891.394,0.019, ,5-,1,0.83, ,18,ps,0.00000000000083,0.00000000000018, , , , , , , , , , , , , , ,2021-06-10
19,21,K,4, ,1643.638,0.011, ,0+,1,0.336, ,13,us,0.000000336,0.000000013, , , , , , , , , , , , , , ,2021-06-10
19,21,K,5, ,1959.071,0.011, ,2+,1,0.54, ,8,ps,0.00000000000054,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
19,21,K,6, ,2047.338,0.016, ,2-,2,0.32, ,5,ps,0.00000000000032,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
19,21,K,7, ,2069.802,0.02, ,3-,2,0.43, ,12,ps,0.00000000000043,0.00000000000012, , , , , , , , , , , , , , ,2021-06-10
19,21,K,8, ,2103.68,0.03, ,1-,1,0.46, ,9,ps,0.00000000000046,0.00000000000009, , , , , , , , , , , , , , ,2021-06-10
19,21,K,9, ,2260.48,0.03, ,3+,1,65, ,14,fs,0.000000000000065,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
19,21,K,10, ,2289.868,0.011, ,1+,1,86, ,19,fs,0.000000000000086,0.000000000000019, , , , , , , , , , , , , , ,2021-06-10
19,21,K,11, ,2290.551,0.022, ,3-,3,0.15, ,3,ps,0.00000000000015,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
19,21,K,12, ,2385,10, ,+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,21,K,13, ,2397.19,0.025, ,4-,2,35, ,14,fs,0.000000000000035,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
19,21,K,14, ,2419.16,0.015, ,2-,3,0.55, ,+16-11,ps,0.00000000000055, , , , , , , , , , , , , , , ,2021-06-10
19,21,K,15, ,2423.7,0.8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,21,K,16, ,2542.79,0.11, ,7+,1,1.09, ,7,ns,0.00000000109,0.00000000007, , , , , , , , , , ,4.1, , , ,2021-06-10
19,21,K,17, ,2558.1,1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,21,K,18, ,2575.93,0.03, ,2+,2,0.155, ,26,ps,0.000000000000155,0.000000000000026, , , , , , , , , , , , , , ,2021-06-10
19,21,K,19, ,2626,0.03, ,0-,1,0.22, ,5,ps,0.00000000000022,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
19,21,K,20, ,2730.357,0.019, ,1,1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
19,21,K,21, ,2746.91,0.05, ,3-,4,0.128, ,31,ps,0.000000000000128,0.000000000000031, , , , , , , , , , , , , , ,2021-06-10
19,21,K,22, ,2756.62,0.03, ,2+,3,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
19,21,K,23, ,2786.645,0.016, ,3+,2,38,LT, ,fs,0.000000000000038, , , , , , , , , , , , , , , ,2021-06-10
19,21,K,24, ,2787.32,0.21, ,3- 4-,1,55, ,21,fs,0.000000000000055,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
19,21,K,25, ,2807.88,0.07, ,(1 2)-,1,0.14, ,5,ps,0.00000000000014,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
19,21,K,26, ,2878.99,0.12, ,6+,1,0.27, ,10,ps,0.00000000000027,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
19,21,K,27, ,2950.9,0.6, , , ,35, ,21,fs,0.000000000000035,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
19,21,K,28, ,2985.84,0.03, ,(2- 3+),1,69, ,28,fs,0.000000000000069,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
19,21,K,29, ,3027.976,0.023, ,(2- 3+),2,50,LT, ,fs,0.00000000000005, , , , , , , , , , , , , , , ,2021-06-10
19,21,K,30, ,3100.1,0.6, ,(4 5)+,1,69, ,21,fs,0.000000000000069,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
19,21,K,31, ,3109.56,0.04, ,1+ 2+,1,97,LT, ,fs,0.000000000000097, , , , , , , , , , , , , , , ,2021-06-10
19,21,K,32, ,3128.41,0.03, ,(2- 3+),3,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
