Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
21,20,Sc,0, ,0, , ,7/2-,1,596.3, ,17,ms,0.5963,0.0017,EC+B+,100, , , , , , , , ,5.4305, ,-0.156, ,2021-06-10
21,20,Sc,1, ,1716.48,0.08, ,3/2-,1, , , , , , ,P,98, ,IT,2, , , , , , , , , ,2021-06-10
21,20,Sc,2, ,2096,0.5, ,3/2+,1, , , , , , ,P,99, ,IT,1, , , , , , , , , ,2021-06-10
21,20,Sc,3, ,2414.9,0.5, ,3/2-,2, , , , , , ,P,50, ,IT,50, , , , , , , , , ,2021-06-10
21,20,Sc,4, ,2588.3,0.07, ,5/2-,1, , , , , , ,P,90, ,IT,10, , , , , , , , , ,2021-06-10
21,20,Sc,5, ,2666.84,0.07, ,5/2+,1, , , , , , ,P,98, ,IT,2, , , , , , , , , ,2021-06-10
21,20,Sc,6, ,2719.38,0.09, ,1/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,7, ,2882.47,0.08, ,7/2+,1, , , , , , ,P,59,2,IT,41,2, , , , , , , , ,2021-06-10
21,20,Sc,8, ,2972.3,0.2, ,7/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,9, ,3014,4, ,(3/2- 5/2 7/2+),1, , , , , , ,P,99, ,IT,1, , , , , , , , , ,2021-06-10
21,20,Sc,10, ,3185.4,0.2, ,(5/2-),1, , , , , , ,P,92, ,IT,8, , , , , , , , , ,2021-06-10
21,20,Sc,11, ,3358.1,0.7, ,(11/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,12, ,3411.8,0.4, ,1/2+,2,1.80, ,18,keV,2.534653972618809e-19,2.5346539726188096e-18, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,13, ,3465,4, ,1/2-,1,50, ,20,keV,9.1247543014277e-21,2.28118857535693e-20, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,14, ,3480,5, ,1/2-,2,12.0, ,15,keV,3.80198095892821e-20,3.041584767142571e-19, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,15, ,3563,0.3, ,3/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,16, ,3678,3, ,(3/2- 5/2 7/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,17, ,3697.1,0.3, ,7/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,18, ,3732,3, ,1/2-,3,12.0, ,12,keV,3.80198095892821e-20,3.801980958928214e-19, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,19, ,3774,3, ,3/2-,3,0.70, ,7,keV,6.517681643876939e-19,6.517681643876939e-18, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,20, ,3781.2,0.2, ,(5/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,21, ,3788,5, ,3/2+ 5/2+,1,0.20, ,2,keV,2.2811885753569284e-18,2.2811885753569284e-17, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,22, ,3808,12, ,(1/2 3/2 5/2)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,23, ,3905,20, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,24, ,3969,5, ,1/2+,3,4, , ,keV,1.140594287678464e-19, , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,25, ,4023.3,0.4, ,(7/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,26, ,4030.7,0.6, ,7/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,27, ,4245,4, ,5/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,28, ,4328,4, ,5/2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,29, ,4441,4, ,(5/2- 7/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,30, ,4502,4, ,3/2+,3,1.0, ,2,keV,4.562377150713857e-19,2.2811885753569284e-18, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,31, ,4514,4, ,(9/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,32, ,4535,4, ,3/2-,4,12, ,3,keV,3.80198095892821e-20,1.520792383571286e-19, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,33, ,4644,4, ,1/2-,4,36, ,10,keV,1.2673269863094e-20,4.56237715071386e-20, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,34, ,4656,12, ,(1/2 3/2 5/2)+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,35, ,4777,4, ,3/2+,4,3, ,1,keV,1.520792383571286e-19,4.562377150713857e-19, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,36, ,4810,3, ,(5/2- 7/2- 9/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,37, ,4867,4, ,5/2+,4,2.0, ,5,keV,2.281188575356929e-19,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,38, ,4929,5, ,5/2+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,39, ,4947,4, ,5/2+,6,1.0, ,2,keV,4.562377150713857e-19,2.2811885753569284e-18, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,40, ,4949,4, ,5/2-,2,2.0, ,4,keV,2.281188575356929e-19,1.1405942876784644e-18, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,41, ,5011,3, ,(7/2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,42, ,5023,4, ,1/2+,4,6, ,2,keV,7.60396191785643e-20,2.281188575356929e-19, , , , , , , , , , , , , , ,2021-06-10
21,20,Sc,43, ,5037.5,1.4, ,9/2+,1,0.4, ,1,keV,1.1405942876784644e-18,4.562377150713857e-18, , , , , , , , , , , , , , ,2021-06-10
