Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
23,25,V,0, ,0, , ,4+,1,15.9735, ,25,d,1380110.4,216,EC+B+,100, , , , , , , , ,2.012, , , ,2021-06-10
23,25,V,1, ,308.27,0.05, ,2+,1,7.11, ,4,ns,0.00000000711,0.00000000004, , , , , , , , , , ,0.44, , , ,2021-06-10
23,25,V,2, ,420.67,0.07, ,1+,1,135,LE, ,ps,0.000000000135, , , , , , , , , , , , , , , ,2021-06-10
23,25,V,3, ,427.91,0.08, ,5+,1,6.1, ,10,ps,0.0000000000061,0.000000000001, , , , , , , , , , , , , , ,2021-06-10
23,25,V,4, ,518.67,0.08, ,1-,1,2.72, ,6,ns,0.00000000272,0.00000000006, , , , , , , , , , , , , , ,2021-06-10
23,25,V,5, ,613.38,0.07, ,4+,2,15.0, ,8,ps,0.000000000015,0.0000000000008, , , , , , , , , , , , , , ,2021-06-10
23,25,V,6, ,627.26,0.1, ,6+,1,75.7, ,39,ps,0.0000000000757,0.0000000000039, , , , , , , , , , , , , , ,2021-06-10
23,25,V,7, ,745.01,0.08, ,2-,1,17.3, ,18,ps,0.0000000000173,0.0000000000018, , , , , , , , , , , , , , ,2021-06-10
23,25,V,8, ,764.96,0.07, ,3+,1,2.6,LE, ,ps,0.0000000000026, , , , , , , , , , , , , , , ,2021-06-10
23,25,V,9, ,776.2,1, ,3 5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,10, ,1055.84,0.1, ,3-,1,4.5, ,11,ps,0.0000000000045,0.0000000000011, , , , , , , , , , , , , , ,2021-06-10
23,25,V,11, ,1099.18,0.12, ,4-,1,4.5, ,4,ps,0.0000000000045,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
23,25,V,12, ,1120.8,1.3, ,2 3 4,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,13, ,1254.45,0.2, ,7+,1,0.41, ,10,ps,0.00000000000041,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
23,25,V,14, ,1264.57,0.16, ,5+,2,1.9,LE, ,ps,0.0000000000019, , , , , , , , , , , , , , , ,2021-06-10
23,25,V,15, ,1326,8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,16, ,1521.21,0.2, ,2+,2,3.0,LE, ,ps,0.000000000003, , , , , , , , , , , , , , , ,2021-06-10
23,25,V,17, ,1557.52,0.13, ,4-,2,0.97, ,28,ps,0.00000000000097,0.00000000000028, , , , , , , , , , , , , , ,2021-06-10
23,25,V,18, ,1685.63,0.23, ,5(-),1,0.60, ,7,ps,0.0000000000006,0.00000000000007, , , , , , , , , , , , , , ,2021-06-10
23,25,V,19, ,1691.5,1.9, ,2 3,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,20, ,1730,8, ,5+ 6+ 7+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,21, ,1750.3,0.7, ,(6+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,22, ,1764,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,23, ,1780.98,0.14, ,3+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,24, ,1998.45,0.16, ,2- 3-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,25, ,2062.26,0.21, ,5(-),2,2.1,LT, ,ps,0.0000000000021, , , , , , , , , , , , , , , ,2021-06-10
23,25,V,26, ,2098,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,27, ,2120,10, ,1+ 2+ 3+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,28, ,2187,10, ,2- 3- 4-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,29, ,2197.7,2.3, ,2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,30, ,2231.81,0.2, ,8+,1,0.215, ,35,ps,0.000000000000215,0.000000000000035, , , , , , , , , , , , , , ,2021-06-10
23,25,V,31, ,2258,7, ,1+ 2+ 3+ 4+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,32, ,2289.3,1, ,1+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,33, ,2337.4,1.4, ,2 3 4,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,34, ,2398.4,0.21, ,6-,1,0.222, ,21,ps,0.000000000000222,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
23,25,V,35, ,2408,0.7, ,1+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,36, ,2447.4,1.7, ,2+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,37, ,2470,3, ,2- 3-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,38, ,2493.7,1.9, ,3 4 5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,39, ,2577,8, ,1+ 2+ 3+ 4+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,40, ,2604.8,2.3, ,2 3 4,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,41, ,2620,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,42, ,2626.4,0.3, ,9+,1,0.56, ,8,ps,0.00000000000056,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
23,25,V,43, ,2703.3,0.7, ,(7+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,44, ,2708,7, ,4- 5- 6-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,45, ,2773,13, ,1+ 2+ 3+ 4+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,46, ,2779.26,0.25, ,(6-),1,0.194, ,28,ps,0.000000000000194,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
23,25,V,47, ,2789.5,2.3, ,3- 4-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,48, ,2823,3, ,(4-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,49, ,2884,9, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,50, ,2937,8, ,1+ 2+ 3+ 4+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,51, ,2959,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,52, ,3012,3, ,(1 2 3 4),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,53, ,3018.7,1, ,(0)+,1, , , , , , , , , , , , , , , ,2, , , , ,2021-06-10
23,25,V,54, ,3043,9, ,(0+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,55, ,3074,3, ,1+ 2+ 3+ 4+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,56, ,3168,15, ,1+ 2+ 3+ 4+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,57, ,3174.55,0.25, ,(7-),1,0.139, ,14,ps,0.000000000000139,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
23,25,V,58, ,3210.3,0.5, ,(8+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,59, ,3243.4,2.2, ,2+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,60, ,3294,15, ,1+ 2+ 3+ 4+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,61, ,3322,15, ,1+ 2+ 3+ 4+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,62, ,3371,15, ,1+ 2+ 3+ 4+,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,63, ,3423.4,0.3, ,(7-),2,0.132, ,28,ps,0.000000000000132,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
23,25,V,64, ,3440,15, ,1+ 2+ 3+ 4+,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,65, ,3523,15, ,1+ 2+ 3+ 4+,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,66, ,3565,3, ,2+ 3+ 4+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,67, ,3702.4,1, ,1+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,68, ,3736,15, ,1+ 2+ 3+ 4+,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,69, ,3801,15, ,1+ 2+ 3+ 4+,13, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,70, ,3866.1,0.7, ,1+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,71, ,3981.1,0.3, ,(8-),1,0.152, ,21,ps,0.000000000000152,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
23,25,V,72, ,4017,15, ,(2)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,73, ,4073.5,0.4, ,(8-),2,0.097, ,28,ps,0.000000000000097,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
23,25,V,74, ,4086,15, ,1+ 2+ 3+ 4+,14, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,75, ,4150.3,0.5, ,(10+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,76, ,4306.9,0.4, ,11+,1,0.36, ,4,ps,0.00000000000036,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
23,25,V,77, ,4360.7,0.5, ,(8-),3,0.083, ,28,ps,0.000000000000083,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
23,25,V,78, ,4368.4,0.8, ,(9+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,79, ,4395.9,0.3, ,(9-),1,0.90, ,14,ps,0.0000000000009,0.00000000000014, , , , , , , , , , , , , , ,2021-06-10
23,25,V,80, ,4581.2,0.3, ,(9-),2,0.39, ,4,ps,0.00000000000039,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
23,25,V,81, ,4674.9,1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,82, ,4698,15, ,1+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,83, ,4798,15, ,1+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,V,84, ,4968.9,0.6, ,(10+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
