Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
26,32,Fe,0, ,0, , ,0+,1,STABLE, , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,1, ,810.7662,0.002, ,2+,1,6.54, ,19,ps,0.00000000000654,0.00000000000019, , , , , , , , , , ,0.95, ,-0.27, ,2021-06-10
26,32,Fe,2, ,1674.731,0.006, ,2+,2,1.6, ,4,ps,0.0000000000016,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,3, ,2076.52,0.03, ,4+,1,0.28, ,4,ps,0.00000000000028,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,4, ,2133.895,0.021, ,3+,1,2.2, ,7,ps,0.0000000000022,0.0000000000007, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,5, ,2257.95,0.21, ,0+,2,2.5,GT, ,ps,0.0000000000025, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,6, ,2600.397,0.025, ,4+,2,0.55, ,18,ps,0.00000000000055,0.00000000000018, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,7, ,2782.14,0.19, ,1+,1,0.18, ,3,ps,0.00000000000018,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,8, ,2864.72,0.12, ,(5),1,3.1, ,14,ps,0.0000000000031,0.0000000000014, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,9, ,2876.34,0.13, ,2+,3,0.095, ,14,ps,0.000000000000095,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,10, ,2970,30, ,(5-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,11, ,3083.69,0.19, ,2+,4,0.031, ,6,ps,0.000000000000031,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
