Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
29,34,Cu,0, ,0, , ,3/2-,1,STABLE, , , , , , , , , , , , , , , ,2.22329, ,-0.211, ,2021-06-10
29,34,Cu,1, ,669.93,0.04, ,1/2-,1,0.198, ,6,ps,0.000000000000198,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,2, ,962.02,0.03, ,5/2-,1,0.57, ,2,ps,0.00000000000057,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,3, ,1326.76,0.05, ,7/2-,1,0.61, ,3,ps,0.00000000000061,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,4, ,1412.16,0.04, ,5/2-,2,1.7, ,+59-10,ps,0.0000000000017, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,5, ,1547,0.05, ,3/2-,2,116, ,8,fs,0.000000000000116,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,6, ,1860.63,0.06, ,7/2-,2,0.66, ,+20-12,ps,0.00000000000066, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,7, ,1952.03,0.11, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,8, ,2012.92,0.11, ,3/2-,3,33, ,5,fs,0.000000000000033,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,9, ,2062.45,0.08, ,(1/2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,10, ,2081.32,0.22, ,5/2(-),1,126, ,17,fs,0.000000000000126,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,11, ,2092.13,0.1, ,7/2-,3,0.24, ,8,ps,0.00000000000024,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,12, ,2207.84,0.08, ,9/2-,1,0.31, ,+10-5,ps,0.00000000000031, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,13, ,2336.54,0.12, ,5/2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,14, ,2337.4,0.6, ,3/2+ 5/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,15, ,2404.66,0.07, ,7/2-,4,0.12, ,+4-3,ps,0.00000000000012, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,16, ,2430.37,0.07, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,17, ,2497.19,0.09, ,(3/2-),1,103, ,14,fs,0.000000000000103,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,18, ,2503.5,0.08, ,5/2- 7/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,19, ,2505.08,0.08, ,9/2+,1,1.5, ,+3-2,ps,0.0000000000015, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,20, ,2511.06,0.06, ,1/2 3/2 5/2,1,0.15, ,+5-3,ps,0.00000000000015, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,21, ,2535.83,0.07, ,(5/2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,22, ,2547.28,0.09, ,9/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,23, ,2617.95,0.1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,24, ,2630.65,0.08, ,1/2- 3/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,25, ,2672.93,0.08, ,5/2 7/2-,1,66, ,+19-14,fs,0.000000000000066, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,26, ,2676.84,0.13, ,11/2-,1,0.58, ,15,ps,0.00000000000058,0.00000000000015, , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,27, ,2678.43,0.08, ,(-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,28, ,2682.27,0.08, ,(1/2- 3/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,29, ,2696.66,0.13, ,1/2- 3/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,30, ,2716.47,0.09, ,3/2- 5/2-,1,0.2,GT, ,ps,0.0000000000002, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,31, ,2764.09,0.07, ,3/2- 5/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,32, ,2776.36,0.08, ,3/2-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,33, ,2780.23,0.21, ,(1/2- 3/2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,34, ,2808.1,0.08, ,3/2-,5,0.18,GT, ,ps,0.00000000000018, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,35, ,2810, , ,1/2- 3/2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,36, ,2818.87,0.2, ,5/2- 7/2-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,37, ,2832.37,0.17, ,5/2- 7/2-,3,200, ,+55-39,fs,0.0000000000002, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,38, ,2836.75,0.07, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,39, ,2847,5, ,5/2- 7/2-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,40, ,2857.9,0.3, ,(1/2- 3/2-),3,0.4, ,+15-2,ps,0.0000000000004, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,41, ,2865.48,0.08, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,42, ,2888.9,0.4, ,1/2- 3/2 5/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,43, ,2911.08,0.13, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,44, ,2957.29,0.07, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,45, ,2977.47,0.15, ,1/2- 3/2- 5/2-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,46, ,3032.7,0.07, ,1/2- 3/2-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,47, ,3042.59,0.08, ,(5/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,48, ,3095.24,0.09, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,49, ,3101.4,0.4, ,1/2- 3/2-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,50, ,3128.1,1.1, ,-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,51, ,3183,8, ,-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,52, ,3208,8, ,3/2+ 5/2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,53, ,3210,20, ,-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,54, ,3210, , ,9/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,55, ,3225.5,0.5, ,(5/2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,56, ,3248,3, ,(5/2),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,57, ,3263.7,0.5, ,(-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,58, ,3280, , ,5/2- 7/2-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,59, ,3291,3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,60, ,3292.6,0.6, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,61, ,3294.83,0.1, ,(11/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,62, ,3297.69,0.11, ,1/2+ 3/2+,1,16, ,+16-8,fs,0.000000000000016, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,63, ,3307.5,0.5, ,(3/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,64, ,3309.7,0.5, ,(+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,65, ,3370,8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,66, ,3389,15, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,67, ,3406.4,0.8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,68, ,3418.1,0.7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,69, ,3426,2.4, ,(1/2 3/2)-,1,22, ,+22-11,fs,0.000000000000022, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,70, ,3429.9,0.7, ,(3/2),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,71, ,3460.1,1.7, ,3/2+ 5/2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,72, ,3461.17,0.18, ,11/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,73, ,3465.1,0.9, ,(1/2 3/2)-,2,0.07, ,+15-4,ps,0.00000000000007, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,74, ,3476.1,1, ,5/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,75, ,3500, , ,3/2+ 5/2+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,76, ,3537.6,2.2, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,77, ,3540.1,1.5, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,78, ,3541.1,0.7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,79, ,3565.4,1.9, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,80, ,3570.1,1, ,3/2+ 5/2+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,81, ,3575,3, ,1/2- 3/2-,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,82, ,3581.1,0.7, ,(1/2 3/2)-,3,5, ,+8-4,fs,0.000000000000005, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,83, ,3583.3,0.6, ,(5/2 7/2)-,1,0.10, ,+13-4,ps,0.0000000000001, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,84, ,3607,3, ,(5/2 7/2)-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,85, ,3649.2,0.7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,86, ,3657.9,1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,87, ,3680.9,0.7, ,(5/2 7/2)-,3,63, ,+26-19,fs,0.000000000000063, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,88, ,3683,15, ,3/2+ 5/2+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,89, ,3708,20, ,1/2- 3/2-,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,90, ,3719.1,0.6, ,+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,91, ,3730,20, ,5/2- 7/2-,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,92, ,3740.1,0.7, ,+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,93, ,3774.6,0.3, ,(5/2 7/2)-,4,116, ,+37-23,fs,0.000000000000116, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,94, ,3779,15, ,3/2+ 5/2+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,95, ,3786.7,0.5, ,1/2- 3/2-,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,96, ,3810,20, ,+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,97, ,3840,20, ,+,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,98, ,3867.1,1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,99, ,3881,20, ,(3/2+ 5/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,100, ,3885.68,0.11, ,5/2- 7/2-,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,101, ,3888.6,0.7, ,(5/2 7/2)-,5,119, ,+75-41,fs,0.000000000000119, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,102, ,3892,3, ,(5/2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,103, ,3895.1,0.9, ,(5/2 7/2)-,6,28, ,+9-6,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,104, ,3902.1,1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,105, ,3920,15, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,106, ,3960.1,1, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,34,Cu,107, ,3970, , ,7/2+ 9/2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
