Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
30,33,Zn,0, ,3/2-, ,38.47,5,m,2308.2,3,EC+B+,100, , , , , , , , ,-0.28164, ,0.29, ,
30,33,Zn,192.92,0.04,5/2-, ,0.53,12,ns,0.00000000053,0.00000000012, , , , , , , , , , , , , , ,
30,33,Zn,247.84,0.05,1/2-, ,33,8,ps,0.000000000033,0.000000000008, , , , , , , , , , , , , , ,
30,33,Zn,627.11,0.06,1/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,637.07,0.06,3/2-,GT,0.53, ,ps,0.00000000000053, , , , , , , , , , , , , , , ,
30,33,Zn,650.1,0.04,5/2-,GT,0.28, ,ps,0.00000000000028, , , , , , , , , , , , , , , ,
30,33,Zn,1023.22,0.05,3/2-,GT,3.5, ,ps,0.0000000000035, , , , , , , , , , , , , , , ,
30,33,Zn,1063.34,0.07,7/2-,GT,0.29, ,ps,0.00000000000029, , , , , , , , , , , , , , , ,
30,33,Zn,1065.28,0.12,1/2-,GT,0.22, ,ps,0.00000000000022, , , , , , , , , , , , , , , ,
30,33,Zn,1206.38,0.07,7/2-,GT,0.42, ,ps,0.00000000000042, , , , , , , , , , , , , , , ,
30,33,Zn,1284.26,0.06,5/2-,GT,0.40, ,ps,0.0000000000004, , , , , , , , , , , , , , , ,
30,33,Zn,1395.44,0.1,3/2-, ,0.097,21,ps,0.000000000000097,0.000000000000021, , , , , , , , , , , , , , ,
30,33,Zn,1420, ,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,1436.26,0.11,9/2-, ,0.69,21,ps,0.00000000000069,0.00000000000021, , , , , , , , , , , , , , ,
30,33,Zn,1664.86,0.09,7/2-, ,0.24,+6-5,ps,0.00000000000024, , , , , , , , , , , , , , , ,
30,33,Zn,1691.22,0.09,5/2-, ,0.069,+14-12,ps,0.000000000000069, , , , , , , , , , , , , , , ,
30,33,Zn,1702.96,0.14,9/2+, ,32,4,ps,0.000000000032,0.000000000004, , , , , , , , , , , , , , ,
30,33,Zn,1704,15,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,1860.84,0.14,9/2-, ,0.43,+16-11,ps,0.00000000000043, , , , , , , , , , , , , , , ,
30,33,Zn,1909.26,0.14,1/2 3/2-,GT,0.28, ,ps,0.00000000000028, , , , , , , , , , , , , , , ,
30,33,Zn,1978.4,0.19,-, ,0.19,+7-5,ps,0.00000000000019, , , , , , , , , , , , , , , ,
30,33,Zn,2050.42,0.19,9/2-,GT,0.31, ,ps,0.00000000000031, , , , , , , , , , , , , , , ,
30,33,Zn,2158.1,0.22,3/2-, ,0.028,+14-10,ps,0.000000000000028, , , , , , , , , , , , , , , ,
30,33,Zn,2233.3,0.23,11/2-,GT,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , ,
30,33,Zn,2249.2,0.4,-, ,0.12,3,ps,0.00000000000012,0.00000000000003, , , , , , , , , , , , , , ,
30,33,Zn,2261.53,0.17,3/2-, ,0.07,+3-2,ps,0.00000000000007, , , , , , , , , , , , , , , ,
30,33,Zn,2288.31,0.17,7/2-,GT,0.21, ,ps,0.00000000000021, , , , , , , , , , , , , , , ,
30,33,Zn,2291.46,0.15,3/2-, ,0.06,+3-2,ps,0.00000000000006, , , , , , , , , , , , , , , ,
30,33,Zn,2293,0.3,(3/2-), ,0.030,+15-10,ps,0.00000000000003, , , , , , , , , , , , , , , ,
30,33,Zn,2318.8,0.4,11/2-, ,0.35,9,ps,0.00000000000035,0.00000000000009, , , , , , , , , , , , , , ,
30,33,Zn,2377.86,0.24,9/2+,GT,1.39, ,ps,0.00000000000139, , , , , , , , , , , , , , , ,
30,33,Zn,2403.28,0.19, , ,0.11,+7-4,ps,0.00000000000011, , , , , , , , , , , , , , , ,
30,33,Zn,2521.14,0.15,3/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,2584.5,0.3,13/2+, ,3.54,28,ps,0.00000000000354,0.00000000000028, , , , , , , , , , , , , , ,
30,33,Zn,2600.1,0.3,1/2- 3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,2609.1,0.4, , , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,2634.53,0.22,5/2- 7/2-, ,0.19,5,ps,0.00000000000019,0.00000000000005, , , , , , , , , , , , , , ,
30,33,Zn,2690.9,1, , , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,2750.7,0.4,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,2826.2,0.4,11/2+, ,291,90,fs,0.000000000000291,0.00000000000009, , , , , , , , , , , , , , ,
30,33,Zn,2850, ,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,2911.9,0.5,9/2,GT,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , ,
30,33,Zn,2933.5,0.5,13/2-, ,215,62,fs,0.000000000000215,0.000000000000062, , , , , , , , , , , , , , ,
30,33,Zn,2940, ,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,3010, ,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,3380, ,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,3480.3,0.7,13/2+, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,3527.4,0.6,13/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,3762.8,0.5,(17/2+), , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,3769.7,0.7,(15/2)+, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,3890.9,0.9, , , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,4000, ,(1/2 3/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,4320, ,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,4354.6,0.6,(15/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,4800, ,(5/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,4902.2,0.9, , , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,5076.3,0.7,(19/2)+, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,5346.5,0.7,(21/2)+,LT,280, ,fs,0.00000000000028, , , , , , , , , , , , , , , ,
30,33,Zn,5400, ,(1/2 3/2)-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,5405.9,0.7,17/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,5423.4,0.6,17/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,5915.7,0.6,19/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,6000, ,1/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,6233.8,0.6,21/2-, , , , , , , , , , , , , , , , , , , , ,
30,33,Zn,6300, ,5/2-, , , , , , , , , , , , , , , , , , , , ,
