Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
31,40,Ga,0, ,3/2-, ,STABLE, , , , , , , , , , , , , , ,2.562266, ,0.107, ,
31,40,Ga,389.94,0.03,1/2-, ,0.40,+28-12,ps,0.0000000000004, , , , , , , , , , , , , , , ,
31,40,Ga,487.36,0.03,5/2-, , , , , , , , , , , , , , , , , , , , ,
31,40,Ga,511.495,0.025,3/2-, ,1.5,7,ps,0.0000000000015,0.0000000000007, , , , , , , , , , , , , , ,
31,40,Ga,714, , , , , , , , , , , , , , , , , , , , , , ,
31,40,Ga,910.16,0.04,3/2-, ,0.24,16,ps,0.00000000000024,0.00000000000016, , , , , , , , , , , , , , ,
31,40,Ga,964.66,0.03,5/2-, ,1.3,2,ps,0.0000000000013,0.0000000000002, , , , , , , , , , , , , , ,
31,40,Ga,1107.51,0.04,7/2-, ,0.58,11,ps,0.00000000000058,0.00000000000011, , , , , , , , , , , , , , ,
31,40,Ga,1109.31,0.2,1/2-, ,95,12,fs,0.000000000000095,0.000000000000012, , , , , , , , , , , , , , ,
31,40,Ga,1395.05,0.05,7/2-, ,0.79,8,ps,0.00000000000079,0.00000000000008, , , , , , , , , , , , , , ,
31,40,Ga,1475.96,0.04,5/2-,GT,0.6, ,ps,0.0000000000006, , , , , , , , , , , , , , , ,
31,40,Ga,1493.7,0.06,9/2+, ,154,15,ps,0.000000000154,0.000000000015, , , , , , , , , , , , , , ,
31,40,Ga,1498.39,0.07,(7/2- 9/2-), , , , , , , , , , , , , , , , , , , , ,
31,40,Ga,1631.4,0.05,3/2-, ,0.15,+12-6,ps,0.00000000000015, , , , , , , , , , , , , , , ,
31,40,Ga,1699.25,0.08,1/2+,GT,0.25, ,ps,0.00000000000025, , , , , , , , , , , , , , , ,
31,40,Ga,1719.5,0.05,(5/2)-, ,0.10,+5-2,ps,0.0000000000001, , , , , , , , , , , , , , , ,
31,40,Ga,1752.32,0.05,3/2-, ,0.26,+24-10,ps,0.00000000000026, , , , , , , , , , , , , , , ,
31,40,Ga,1905.36,0.05,5/2-, ,0.24,+11-6,ps,0.00000000000024, , , , , , , , , , , , , , , ,
31,40,Ga,1941.65,0.06,(3/2+), , , , , , , , , , , , , , , , , , , , ,
31,40,Ga,1995,7,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
31,40,Ga,2064.06,0.24,1/2- 3/2-, ,82,40,fs,0.000000000000082,0.00000000000004, , , , , , , , , , , , , , ,
