Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
33,42,As,0, ,3/2-, ,STABLE, , , , , , , , , , , , , , ,1.439475, ,0.314, ,
33,42,As,198.6063,0.0008,1/2-, ,885,30,ps,0.000000000885,0.00000000003, , , , , , , , , , , , , , ,
33,42,As,264.6581,0.0006,3/2-, ,11.2,3,ps,0.0000000000112,0.0000000000003, , , , , , , , , , ,0.98, , , ,
33,42,As,279.5428,0.0008,5/2-, ,273,3,ps,0.000000000273,0.000000000003, , , , , , , , , , ,0.918, ,0.3, ,
33,42,As,303.9243,0.0008,9/2+, ,17.62,23,ms,0.01762,0.00023,IT,100, , , , , , , , , , , , ,
33,42,As,400.6583,0.0006,5/2+, ,1.67,5,ns,0.00000000167,0.00000000005, , , , , , , , , , , , , , ,
33,42,As,468.74,0.17,1/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,572.41,0.03,5/2-, ,2.9,3,ps,0.0000000000029,0.0000000000003, , , , , , , , , , , , , , ,
33,42,As,585,7,1/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,617.68,0.04,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,821.62,0.15,7/2-, ,3.0,3,ps,0.000000000003,0.0000000000003, , , , , , , , , , , , , , ,
33,42,As,860,0.4,1/2+, , , , , , , , , , , , , , , , , , , , ,
33,42,As,865.4,0.5,(3/2- 5/2-), ,0.60,5,ps,0.0000000000006,0.00000000000005, , , , , , , , , , , , , , ,
33,42,As,886.4,0.5, , , , , , , , , , , , , , , , , , , , , ,
33,42,As,1043.4,0.6,7/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1063.3,0.5,3/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1074.5,0.7,3/2-, ,0.199,13,ps,0.000000000000199,0.000000000000013, , , , , , , , , , , , , , ,
33,42,As,1080.8,0.8,(5/2+), , , , , , , , , , , , , , , , , , , , ,
33,42,As,1096.3,0.7,(7/2-), , , , , , , , , , , , , , , , , , , , ,
33,42,As,1100.2,0.6,(5/2+ 7/2-), , , , , , , , , , , , , , , , , , , , ,
33,42,As,1126.7,0.6,(1/2+), ,1.02,11,ps,0.00000000000102,0.00000000000011, , , , , , , , , , , , , , ,
33,42,As,1127,6,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1172,0.6,(1/2-:7/2-), , , , , , , , , , , , , , , , , , , , ,
33,42,As,1203.5,0.6,3/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1260,4, , , , , , , , , , , , , , , , , , , , , ,
33,42,As,1261,5,9/2+, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1302.3,0.7,5/2+, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1309.5,0.4,7/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1349.4,0.6,3/2-, ,0.125,22,ps,0.000000000000125,0.000000000000022, , , , , , , , , , , , , , ,
33,42,As,1370.8,0.7,(3/2-), ,0.15,3,ps,0.00000000000015,0.00000000000003, , , , , , , , , , , , , , ,
33,42,As,1420.2,0.5,(5/2-), , , , , , , , , , , , , , , , , , , , ,
33,42,As,1430,8,9/2+, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1430.5,0.6,3/2-, , , , , , , , , , , , , , , , , , , , ,
33,42,As,1503.4,0.5,3/2(+), , , , , , , , , , , , , , , , , , , , ,
33,42,As,1579.8,0.7,1/2-, , , , , , , , , , , , , , , , , , , , ,
