Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
35,44,Br,0, ,3/2-, ,STABLE, , , , , , , , , , , , , , ,2.1064, ,0.313, ,
35,44,Br,207.61,0.09,9/2+, ,4.85,4,s,4.85,0.04,IT,100, , , , , , , , , , , , ,
35,44,Br,217.1,0.06,5/2-, ,47,4,ps,0.000000000047,0.000000000004, , , , , , , , , , ,1, , , ,
35,44,Br,261.33,0.06,3/2-, ,0.13,2,ns,0.00000000013,0.00000000002, , , , , , , , , , , , , , ,
35,44,Br,306.51,0.06,1/2- 3/2-, ,4.23,7,ps,0.00000000000423,0.00000000000007, , , , , , , , , , , , , , ,
35,44,Br,381.5,0.22,5/2+,AP,0.5, ,ns,0.0000000005, , , , , , , , , , , , , , , ,
35,44,Br,397.48,0.06,1/2- 3/2-, ,13,4,ps,0.000000000013,0.000000000004, , , , , , , , , , , , , , ,
35,44,Br,523.11,0.08,5/2-, ,1.91,6,ps,0.00000000000191,0.00000000000006, , , , , , , , , , ,2.8, , , ,
35,44,Br,606.03,0.06,3/2-, ,1.87,7,ps,0.00000000000187,0.00000000000007, , , , , , , , , , , , , , ,
35,44,Br,761.31,0.07,7/2-, ,1.50,4,ps,0.0000000000015,0.00000000000004, , , , , , , , , , ,1.9, , , ,
35,44,Br,793.4,0.21,(3/2- 5/2), ,2.08,14,ps,0.00000000000208,0.00000000000014, , , , , , , , , , , , , , ,
35,44,Br,796.83,0.11,13/2+, ,9.0,21,ps,0.000000000009,0.0000000000021, , , , , , , , , , , , , , ,
35,44,Br,831.97,0.06,1/2- 3/2-, ,0.20,4,ps,0.0000000000002,0.00000000000004, , , , , , , , , , , , , , ,
35,44,Br,906.45,0.24,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
35,44,Br,940.1,0.4,(3/2), , , , , , , , , , , , , , , , , , , , ,
35,44,Br,954.04,0.13,(7/2-), ,1.11,7,ps,0.00000000000111,0.00000000000007, , , , , , , , , , , , , , ,
35,44,Br,954.7,1.8,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
