Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
38,47,Sr,0, ,9/2+, ,64.849,7,d,5602953.6,604.8,EC,100, , , , , , , , ,-1, ,0.282, ,
38,47,Sr,231.79,0.04,7/2+, ,0.21,5,ns,0.00000000021,0.00000000005, , , , , , , , , , , , , , ,
38,47,Sr,238.79,0.05,1/2-, ,67.63,4,m,4057.8,2.4,IT,86.6,0.4,EC,13.4,0.4, , , , ,0.6, , , ,
38,47,Sr,743.25,0.1,3/2-, ,0.12,8,ps,0.00000000000012,0.00000000000008, , , , , , , , , , , , , , ,
38,47,Sr,767.34,0.08,5/2+,GT,7, ,ps,0.000000000007, , , , , , , , , , , , , , , ,
38,47,Sr,785.52,0.12,(5/2-), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,936.83,0.1,5/2-, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1110,100,(9/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1111.46,0.21,13/2+, ,2.56,21,ps,0.00000000000256,0.00000000000021, , , , , , , , , , , , , , ,
38,47,Sr,1152.73,0.11,3/2-, ,0.13,4,ps,0.00000000000013,0.00000000000004, , , , , , , , , , , , , , ,
38,47,Sr,1220.82,0.13,(11/2)+, ,0.73,17,ps,0.00000000000073,0.00000000000017, , , , , , , , , , , , , , ,
38,47,Sr,1262.01,0.1,9/2+, ,0.60,16,ps,0.0000000000006,0.00000000000016, , , , , , , , , , , , , , ,
38,47,Sr,1355.15,0.09,5/2+,GE,0.13, ,ps,0.00000000000013, , , , , , , , , , , , , , , ,
38,47,Sr,1403,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1405.17,0.18,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1453,0.3,(5/2- 7/2 9/2-), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1485.7,0.3,(3/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1516.9,0.4,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1555.35,0.1,(5/2+ 7/2),GE,0.11, ,ps,0.00000000000011, , , , , , , , , , , , , , , ,
38,47,Sr,1559.4,0.4,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1588.56,0.13,(7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1627.11,0.12,(9/2)+, ,0.23,6,ps,0.00000000000023,0.00000000000006, , , , , , , , , , , , , , ,
38,47,Sr,1648.8,1,1/2- 3/2-, ,0.2,+3-1,ps,0.0000000000002, , , , , , , , , , , , , , , ,
38,47,Sr,1658.08,0.18,11/2+, ,0.8,5,ps,0.0000000000008,0.0000000000005, , , , , , , , , , , , , , ,
38,47,Sr,1684.2,0.4, , , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1700.98,0.22,(5/2- 7/2 9/2-), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1712,5, , , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1790,100,(9/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1793,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1793.68,0.19,(5/2- 7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1827,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1842,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1850.3,0.3,13/2+, ,1.7,4,ps,0.0000000000017,0.0000000000004, , , , , , , , , , , , , , ,
38,47,Sr,1919.74,0.2,(7/2 9/2 11/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1928,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1954,12,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,1982.1,0.4,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2046.61,0.24,(9/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2046.9,1.1,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2086.2,0.14,(7/2+ 9/2 11/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2102.06,0.23,13/2-, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2123.78,0.09,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2141,9,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2165.91,0.12,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2172.03,0.1,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2204,5, , , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2238,5,(5/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2290,5,(-), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2325.1,0.7,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2351.74,0.09,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2367.1,0.3,(17/2)-, ,1.2,4,ns,0.0000000012,0.0000000004, , , , , , , , , , , , , , ,
38,47,Sr,2378,5,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2400.1,0.3,(17/2)+, ,2.25,21,ps,0.00000000000225,0.00000000000021, , , , , , , , , , , , , , ,
38,47,Sr,2406,5,(+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2458,5,(+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2471,0.3,(7/2 9/2 11/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2496,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2501,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2525.5,0.4,(15/2)+, ,0.139,35,ps,0.000000000000139,0.000000000000035, , , , , , , , , , , , , , ,
38,47,Sr,2527,5,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2560,5,(-), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2602,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2628,5,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2642.21,0.17,(7/2 9/2-), , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2661,0.3,(15/2)-, ,0.42,14,ps,0.00000000000042,0.00000000000014, , , , , , , , , , , , , , ,
38,47,Sr,2696,5, , , , , , , , , , , , , , , , , , , , , ,
38,47,Sr,2717.6,0.4,(7/2 9/2 11/2+), , , , , , , , , , , , , , , , , , , , ,
