Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
42,57,Mo,0, ,1/2+, ,65.924,6,h,237326.4,21.6,B-,100, , , , , , , , ,0.375, , , ,
42,57,Mo,97.785,0.003,5/2+, ,15.5,2,us,0.0000155,0.0000002, , , , , , , , , , ,-0.775, , , ,
42,57,Mo,235.508,0.008,7/2+, ,0.87,15,ns,0.00000000087,0.00000000015, , , , , , , , , , , , , , ,
42,57,Mo,351.22,0.06,3/2+, ,0.23,17,ns,0.00000000023,0.00000000017, , , , , , , , , , , , , , ,
42,57,Mo,525.193,0.016,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,548.73,0.08,3/2+, ,0.030,25,ns,0.00000000003,0.000000000025, , , , , , , , , , , , , , ,
42,57,Mo,615.02,0.09,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,631.78,0.12,3/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,684.1,0.19,11/2-, ,0.76,6,us,0.00000076,0.00000006, , , , , , , , , , , , , , ,
42,57,Mo,698.09,0.16,(7/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,752.41,0.22,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,754.18,0.2,7/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,792.93,0.12,3/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,798, , , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,865.87,0.12,(7/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,890.58,0.14,3/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,905.43,0.14,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,905.99,0.19,(9/2)+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,924,12,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,944.61,0.14,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,952, ,-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1025.68,0.12,(5/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1030,3,3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1048.03,0.16,7/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1142.81,0.12,(7/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1148,3,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1165.4,1.1,(15/2)-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1167.43,0.21,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1195.6,1.1, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1197.69,0.23,3/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1254.2,0.5,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1261, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1272.3,0.7, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1280.4,0.5, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1283,0.4, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1314.03,0.22,(11/2)+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1342.76,0.15,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1352.7,0.6, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1354.3,0.3, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1367.6,1.1, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1382.6,0.4,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1401.31,0.17,(7/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1404.8,1.5,(17/2), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1442.1,0.5,(3/2 5/2)+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1449.5,1,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1455.3,2.1,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1464.5,0.6,(9/2)+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1466.5,1.2,1/2+ 3/2+ 5/2, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1471.7,0.8,(11/2)+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1493.5,0.24,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1533.1,2.1,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1536.5,1.1, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1545,3,5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1560.59,0.22,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1571.3,0.4,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1580,3,3/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1618,10,(3/2- 5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1634.8,2.1,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1639.37,0.25,9/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1661.1,2.5, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1675.5,1.1, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1679.5,1.1,(13/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1682.2,0.4,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1710.2,1.9,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1722, ,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1741.5,2.1, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1755, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1778, ,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1799,7,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1813.4,0.3, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1828,10,+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1845, , , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1857.91,0.16,(9/2 11/2)+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1858,1.5,(19/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1884.9,1.5,(15/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1893.39,0.16,(3/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1909,10,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1931.6,1.2,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1934,12,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1949.5,2.1,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1965, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,1987.4,0.3, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2000,15, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2024,15,3/2- 5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2055.5,2.1,3/2- 5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2059.68,0.24, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2078, ,9/2- 11/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2103,20,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2134.46,0.18,3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2160,3,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2174.67,0.23,9/2- 11/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2179.5,2.5, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2218.5,2.5,-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2220.9,1.5,(17/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2232.2,1.5,(15/2), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2299.5,2.5, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2318.5,2.1, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2340.27,0.25,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2409.5,1.5,(17/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2436,10,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2441.1,1.5,(13/2), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2482,3,1/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2517,3,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2531,12,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2594.5,1.2,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2641.23,0.14,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2686.94,0.23,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2705.3,0.8,(23/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2729.9,0.3,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2785.77,0.24,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2797,15,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2851.6,0.3,3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2870,15,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2925,15,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2944,0.6,1/2 3/2, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,2990,15,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3010.2,0.8,(27/2-), ,8,2,ns,0.000000008,0.000000002, , , , , , , , , , , , , , ,
42,57,Mo,3066,15,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3130,15,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3214,20,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3260,20, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3305,20,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3358,20,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3397,20,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3483,20,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3623,25,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3666,20,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3685.3,1.3,(27/2-), , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3707,25, , , , , , , , , , , , , , , , , , , , , ,
42,57,Mo,3753,20,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
