,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,42,59,Mo,0, ,1/2, ,14.61,3,m,876.6,1.8,B-,100, , , , , , , , , , , , 
2,42,59,Mo,13.497,0.009,3/2, ,226,7,ns,0.000000226,0.000000007, , , , , , , , , , , , , , 
3,42,59,Mo,57.015,0.011,5/2, ,133,70,ns,0.000000133,0.00000007, , , , , , , , , , , , , , 
4,42,59,Mo,170.958,0.014,5/2, , , , , , , , , , , , , , , , , , , , 
5,42,59,Mo,237.732,0.015, 5/2, , , , , , , , , , , , , , , , , , , , 
6,42,59,Mo,240.5,1,7/2, , , , , , , , , , , , , , , , , , , , 
7,42,59,Mo,273,2,11/2, ,95,15,ns,0.000000095,0.000000015, , , , , , , , , , , , , , 
8,42,59,Mo,289.531,0.017,3/2, , , , , , , , , , , , , , , , , , , , 
9,42,59,Mo,293.79,0.03, 5/2, , , , , , , , , , , , , , , , , , , , 
10,42,59,Mo,294.586,0.016,1/2, , , , , , , , , , , , , , , , , , , , 
11,42,59,Mo,315,3, 9/2, , , , , , , , , , , , , , , , , , , , 
12,42,59,Mo,318.858,0.018,5/2, , , , , , , , , , , , , , , , , , , , 
13,42,59,Mo,351.589,0.019,3/2, , , , , , , , , , , , , , , , , , , , 
14,42,59,Mo,449,1,1/2, , , , , , , , , , , , , , , , , , , , 
15,42,59,Mo,454.55,0.04,5/2, , , , , , , , , , , , , , , , , , , , 
16,42,59,Mo,479.78,0.04,3/2, , , , , , , , , , , , , , , , , , , , 
17,42,59,Mo,540.05,0.04,1/2, , , , , , , , , , , , , , , , , , , , 
18,42,59,Mo,563.5,1,11/2, , , , , , , , , , , , , , , , , , , , 
19,42,59,Mo,567.55,0.03,5/2, , , , , , , , , , , , , , , , , , , , 
20,42,59,Mo,568.85,0.06,1/2, , , , , , , , , , , , , , , , , , , , 
21,42,59,Mo,583.39,0.12, 9/2, , , , , , , , , , , , , , , , , , , , 
22,42,59,Mo,586.47,0.12, 5/2, , , , , , , , , , , , , , , , , , , , 
23,42,59,Mo,626.36,0.05, 9/2, , , , , , , , , , , , , , , , , , , , 
24,42,59,Mo,702,2,15/2, , , , , , , , , , , , , , , , , , , , 
25,42,59,Mo,709.98,0.03,1/2, , , , , , , , , , , , , , , , , , , , 
26,42,59,Mo,797.16,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
27,42,59,Mo,810.6,0.06, 3/2, , , , , , , , , , , , , , , , , , , , 
28,42,59,Mo,823.09,0.05, 5/2, , , , , , , , , , , , , , , , , , , , 
29,42,59,Mo,830.43,0.07, 9/2, , , , , , , , , , , , , , , , , , , , 
30,42,59,Mo,854.07,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
31,42,59,Mo,867.78,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
32,42,59,Mo,902.84,0.03, 5/2, , , , , , , , , , , , , , , , , , , , 
33,42,59,Mo,909.83,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
34,42,59,Mo,914.19,0.13, 9/2, , , , , , , , , , , , , , , , , , , , 
35,42,59,Mo,974.78,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
36,42,59,Mo,984.17,0.07,3/2, , , , , , , , , , , , , , , , , , , , 
37,42,59,Mo,1011.01,0.06,1/2, , , , , , , , , , , , , , , , , , , , 
38,42,59,Mo,1047.05,0.21,1/2, , , , , , , , , , , , , , , , , , , , 
39,42,59,Mo,1054.34,0.14, 5/2, , , , , , , , , , , , , , , , , , , , 
40,42,59,Mo,1098.99,0.13, 3/2, , , , , , , , , , , , , , , , , , , , 
41,42,59,Mo,1109.23,0.07,3/2, , , , , , , , , , , , , , , , , , , , 
42,42,59,Mo,1116.86,0.12, 5/2, , , , , , , , , , , , , , , , , , , , 
43,42,59,Mo,1199.41,0.06, 7/2, , , , , , , , , , , , , , , , , , , , 
44,42,59,Mo,1229.84,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
45,42,59,Mo,1281.22,0.11, 5/2, , , , , , , , , , , , , , , , , , , , 
46,42,59,Mo,1291.25,0.09,3/2, , , , , , , , , , , , , , , , , , , , 
47,42,59,Mo,1318,3,19/2, , , , , , , , , , , , , , , , , , , , 
48,42,59,Mo,1334,5,5/2, , , , , , , , , , , , , , , , , , , , 
