,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,46,59,Pd,0, ,5/2, ,STABLE, , , , , , , , , , , , , , ,-0.642, ,0.66, 
2,46,59,Pd,280.51,0.22,3/2, ,67,14,ps,0.000000000067,0.000000000014, , , , , , , , , , ,-0.074, , , 
3,46,59,Pd,306.25,0.03,7/2,GT,69, ,ps,0.000000000069, , , , , , , , , , , , , , , 
4,46,59,Pd,319.216,0.024,5/2, ,39,2,ps,0.000000000039,0.000000000002, , , , , , , , , , ,0.95, , , 
5,46,59,Pd,344.512,0.018,1/2, ,0.88,5,ns,0.00000000088,0.00000000005, , , , , , , , , , , , , , 
6,46,59,Pd,442.38,0.04,7/2, ,3.71,9,ps,0.00000000000371,0.00000000000009, , , , , , , , , , , , , , 
7,46,59,Pd,447, , 5/2, , , , , , , , , , , , , , , , , , , , 
8,46,59,Pd,489.14,0.04,11/2, ,36.1,4,us,0.0000361,0.0000004, , , , , , , , , , , , , , 
9,46,59,Pd,535, ,0, , , , , , , , , , , , , , , , , , , , 
10,46,59,Pd,560.75,0.03,3/2, ,1.9,5,ps,0.0000000000019,0.0000000000005, , , , , , , , , , , , , , 
11,46,59,Pd,644.53,0.04,7/2, ,126,2,ps,0.000000000126,0.000000000002, , , , , , , , , , ,-1.49, , , 
12,46,59,Pd,650.7,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
13,46,59,Pd,673.17,0.03,1/2,GT,2, ,ps,0.000000000002, , , , , , , , , , , , , , , 
14,46,59,Pd,696.66,0.15,7/2, , , , , , , , , , , , , , , , , , , , 
15,46,59,Pd,727.22,0.04,5/2, , , , , , , , , , , , , , , , , , , , 
16,46,59,Pd,781.94,0.04,9/2, ,1.4,1,ps,0.0000000000014,0.0000000000001, , , , , , , , , , , , , , 
17,46,59,Pd,787,8,1/2, , , , , , , , , , , , , , , , , , , , 
18,46,59,Pd,808, ,0, , , , , , , , , , , , , , , , , , , , 
19,46,59,Pd,901.98,0.12, 9/2, , , , , , , , , , , , , , , , , , , , 
20,46,59,Pd,921,0.09,0, , , , , , , , , , , , , , , , , , , , 
21,46,59,Pd,929.13,0.08,5/2, , , , , , , , , , , , , , , , , , , , 
22,46,59,Pd,939,8,1/2, , , , , , , , , , , , , , , , , , , , 
23,46,59,Pd,961.4,0.4,0, , , , , , , , , , , , , , , , , , , , 
24,46,59,Pd,962.38,0.04, 3/2, , , , , , , , , , , , , , , , , , , , 
25,46,59,Pd,970.15,0.07,15/2, , , , , , , , , , , , , , , , , , , , 
26,46,59,Pd,972, ,0, , , , , , , , , , , , , , , , , , , , 
27,46,59,Pd,1011.55,0.21,11/2, , , , , , , , , , , , , , , , , , , , 
28,46,59,Pd,1011.71,0.06,11/2, , , , , , , , , , , , , , , , , , , , 
29,46,59,Pd,1072.2,0.5, 9/2, , , , , , , , , , , , , , , , , , , , 
30,46,59,Pd,1074.4,0.4,0, , , , , , , , , , , , , , , , , , , , 
31,46,59,Pd,1075,8,1/2, , , , , , , , , , , , , , , , , , , , 
32,46,59,Pd,1087.96,0.04,3/2, , , , , , , , , , , , , , , , , , , , 
33,46,59,Pd,1098.42,0.2, 9/2, , , , , , , , , , , , , , , , , , , , 
34,46,59,Pd,1102.1,0.4, 5/2, , , , , , , , , , , , , , , , , , , , 
35,46,59,Pd,1125.33,0.11,0, , , , , , , , , , , , , , , , , , , , 
36,46,59,Pd,1140.81,0.14,1/2, , , , , , , , , , , , , , , , , , , , 
37,46,59,Pd,1142.35,0.14,0, , , , , , , , , , , , , , , , , , , , 
38,46,59,Pd,1177.7,0.3,0, , , , , , , , , , , , , , , , , , , , 
39,46,59,Pd,1201.6,0.4, 5/2, , , , , , , , , , , , , , , , , , , , 
40,46,59,Pd,1259.11,0.2,0, , , , , , , , , , , , , , , , , , , , 
41,46,59,Pd,1263,8,1/2, , , , , , , , , , , , , , , , , , , , 
