,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
Z,N,symbol,energy [keV] , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction date
50,66,Sn,0, ,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,
50,66,Sn,1293.56,0.008,2+,0,0.374,10,ps,0.000000000000374,0.00000000000001, , , , , , , , , , ,-0.32, ,-0.17, ,
50,66,Sn,1756.864,0.024,0+,0,44,6,ps,0.000000000044,0.000000000006, , , , , , , , , , , , , , ,
50,66,Sn,2027.48,0.03,0+,0,160,20,ps,0.00000000016,0.00000000002, , , , , , , , , , , , , , ,
50,66,Sn,2112.323,0.015,2+,0,1.89,10,ps,0.00000000000189,0.0000000000001, , , , , , , , , , , , , , ,
50,66,Sn,2225.379,0.017,2+,0,2.4,12,ps,0.0000000000024,0.0000000000012, , , , , , , , , , , , , , ,
50,66,Sn,2266.159,0.019,3-,0,0.34,4,ps,0.00000000000034,0.00000000000004, , , , , , , , , , , , , , ,
50,66,Sn,2365.975,0.021,5-,0,348,19,ns,0.000000348,0.000000019, , , , , , , , , , ,-0.376, ,0.26, ,
50,66,Sn,2390.879,0.018,4+,0,0.28,14,ps,0.00000000000028,0.00000000000014, , , , , , , , , , , , , , ,
50,66,Sn,2529.202,0.018,4+,T,100, ,ps,0.0000000001, , , , , , , , , , , , , , , ,
50,66,Sn,2545.71,0.03,(0+),0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2585.564,0.024,1+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2650.438,0.023,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2773.33,0.03,6-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2790.55,0.04,(0)+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2801.28,0.04,4+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2843.82,0.05,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2908.85,0.03,7-,0,0.5,3,ns,0.0000000005,0.0000000003, , , , , , , , , , , , , , ,
50,66,Sn,2960.03,0.03,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,2996.27,0.03,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3016.44,0.07,6(-),0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3032.7,0.17,6+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3046.4,0.09,4+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3088.63,0.03,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3096.93,0.13,4+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3105.18,0.17,5-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3157.73,0.07,3- 4,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3179.68,0.06,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3184,5,3-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3194.32,0.06,0+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3210,0.05,7-,T,0.5, ,ns,0.0000000005, , , , , , , , , , , , , , , ,
50,66,Sn,3227.45,0.05,(2+),0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3227.95,0.11,8-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3228.06,0.14,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3236.02,0.06,0+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3257.67,0.12,3- 4- 5-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3277.6,0.5,6+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3288.99,0.17,LE 4,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3309,0.4,6-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3314.99,0.13,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3333.78,0.06,1-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3344.34,0.05,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3350.5,0.4,(5+),0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3371.42,0.08,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3379.8,0.5,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3416.2,0.3,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3427.91,0.14,4-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3453.2,0.3,4 5,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3469.61,0.09,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3492.98,0.12,8+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3507.25,0.2,5-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3508.33,0.07,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3510,5,4+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3513.6,0.3,(2)+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3522.66,0.25,9-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3547.16,0.17,10+,0,833,30,ns,0.000000833,0.00000003, , , , , , , , , , ,-2.326, ,0.5, ,
50,66,Sn,3551.7,0.5,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3572.77,0.17,2+ 3,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3576.2,0.6,4+ 5,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3586.63,0.1,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3593.76,0.09,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3616.3,0.4,4-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3624.6,0.7,4+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3640.7,0.7,4 5+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3648.1,0.5,3- 5-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3658.05,0.06,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3706.9,0.7,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3711.89,0.08,(1)+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3712.4,0.3,8+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3730.6,0.4,LE 3,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3739, ,3+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3742.9,0.18,3-,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3747.9,0.4,LE 3,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3776.78,0.15,1+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3787.2,0.5,(6-),0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3797, ,+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3805.5,0.5,4+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3806.02,0.18,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3809.3,0.8,2+ 3,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3836.67,0.23,0+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3843.66,0.19,2+ 3,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3850.9,0.5,1 2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3851,5, ,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3886.9,0.4,5+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3903.58,0.24,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3904.91,0.06,1,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3916.91,0.07,2+,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3945.8,0.5,1+ 2+ 3,0, , , , , , , , , , , , , , , , , , , ,
50,66,Sn,3950.52,0.21,1- 2 3,0, , , , , , , , , , , , , , , , , , , ,
