,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,49,68,In,0, ,9/2, ,43.2,3,m,2592,18,B-,100, , , , , , , , ,5.519, ,0.829, 
2,49,68,In,315.303,0.011,1/2, ,116.2,3,m,6972,18,B-,52.9,1.5,IT,47.1,1.5, , , , ,-0.25174, , , 
3,49,68,In,588.653,0.015,3/2, ,0.192,16,ns,0.000000000192,0.000000000016, , , , , , , , , , ,0.84, , , 
4,49,68,In,659.765,0.013,3/2, ,53.6,7,ns,0.0000000536,0.0000000007, , , , , , , , , , ,0.938, ,-0.59, 
5,49,68,In,748.07,0.03,7/2, , , , , , , , , , , , , , , , , , , , 
6,49,68,In,749.488,0.014,1/2, ,4.73,12,ns,0.00000000473,0.00000000012, , , , , , , , , , , , , , 
7,49,68,In,880.72,0.013,5/2, , , , , , , , , , , , , , , , , , , , 
8,49,68,In,1028.04,0.03,5/2, , , , , , , , , , , , , , , , , , , , 
9,49,68,In,1030,13, 5/2, , , , , , , , , , , , , , , , , , , , 
10,49,68,In,1051.709,0.019,5/2, , , , , , , , , , , , , , , , , , , , 
11,49,68,In,1065.984,0.019,11/2, , , , , , , , , , , , , , , , , , , , 
12,49,68,In,1209.03,0.04,11/2, , , , , , , , , , , , , , , , , , , , 
13,49,68,In,1234.606,0.021,13/2, , , , , , , , , , , , , , , , , , , , 
14,49,68,In,1360,15, 5/2, , , , , , , , , , , , , , , , , , , , 
15,49,68,In,1365.524,0.022, 9/2, , , , , , , , , , , , , , , , , , , , 
16,49,68,In,1376.28,0.06,3/2, , , , , , , , , , , , , , , , , , , , 
17,49,68,In,1432.921,0.017,9/2, , , , , , , , , , , , , , , , , , , , 
18,49,68,In,1439.38,0.08,0, , , , , , , , , , , , , , , , , , , , 
19,49,68,In,1468.67,0.13, 9/2, , , , , , , , , , , , , , , , , , , , 
20,49,68,In,1554.48,0.19, 3/2, , , , , , , , , , , , , , , , , , , , 
21,49,68,In,1609.39,0.03, 7/2, , , , , , , , , , , , , , , , , , , , 
22,49,68,In,1612.1,0.04, 5/2, , , , , , , , , , , , , , , , , , , , 
23,49,68,In,1653,15, 5/2, , , , , , , , , , , , , , , , , , , , 
24,49,68,In,1712.547,0.024,3/2, , , , , , , , , , , , , , , , , , , , 
25,49,68,In,1784.97,0.05,3/2, , , , , , , , , , , , , , , , , , , , 
26,49,68,In,1855.63,0.1, 9/2, , , , , , , , , , , , , , , , , , , , 
27,49,68,In,1891.929,0.019,1/2, ,0.42,6,ns,0.00000000042,0.00000000006, , , , , , , , , , , , , , 
28,49,68,In,1898,1,15/2, , , , , , , , , , , , , , , , , , , , 
29,49,68,In,1957.37,0.09,9/2, , , , , , , , , , , , , , , , , , , , 
30,49,68,In,1997.329,0.017,11/2, , , , , , , , , , , , , , , , , , , , 
31,49,68,In,1997.368,0.019,3/2, , , , , , , , , , , , , , , , , , , , 
32,49,68,In,2022.23,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
33,49,68,In,2064.16,0.04,3/2, , , , , , , , , , , , , , , , , , , , 
34,49,68,In,2095.035,0.025,13/2, , , , , , , , , , , , , , , , , , , , 
35,49,68,In,2096.42,0.03,11/2, , , , , , , , , , , , , , , , , , , , 
36,49,68,In,2109.83,0.04,3/2, , , , , , , , , , , , , , , , , , , , 
37,49,68,In,2112.98,0.15, 5/2, , , , , , , , , , , , , , , , , , , , 
