,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,53,74,I,0, ,5/2, ,STABLE, , , , , , , , , , , , , , ,2.813273, ,-0.789, 
2,53,74,I,57.608,0.011,7/2, ,1.95,1,ns,0.00000000195,0.00000000001, , , , , , , , , , ,2.54, ,-0.71, 
3,53,74,I,202.86,0.008,3/2, ,0.387,9,ns,0.000000000387,0.000000000009, , , , , , , , , , ,0.97, , , 
4,53,74,I,295,4,0, , , , , , , , , , , , , , , , , , , , 
5,53,74,I,374.992,0.009,1/2, ,31,8,ps,0.000000000031,0.000000000008, , , , , , , , , , , , , , 
6,53,74,I,417.99,0.06,5/2, ,3.3,3,ps,0.0000000000033,0.0000000000003, , , , , , , , , , , , , , 
7,53,74,I,473,4,0, , , , , , , , , , , , , , , , , , , , 
8,53,74,I,618.31,0.13,3/2,LT,2.1, ,ps,0.0000000000021, , , , , , , , , , , , , , , 
9,53,74,I,628.69,0.16,7/2, ,1.9,6,ps,0.0000000000019,0.0000000000006, , , , , , , , , , , , , , 
10,53,74,I,650.92,0.08,9/2, ,3.9,4,ps,0.0000000000039,0.0000000000004, , , , , , , , , , , , , , 
11,53,74,I,716.5,0.06,11/2, ,3.0,6,ps,0.000000000003,0.0000000000006, , , , , , , , , , , , , , 
12,53,74,I,744.71,0.08,9/2, ,2.79,18,ps,0.00000000000279,0.00000000000018, , , , , , , , , , , , , , 
13,53,74,I,831,4,0, , , , , , , , , , , , , , , , , , , , 
14,53,74,I,883,4,0, , , , , , , , , , , , , , , , , , , , 
15,53,74,I,990.94,0.12, 5/2, , , , , , , , , , , , , , , , , , , , 
16,53,74,I,1044.1,0.16,7/2, ,0.21,7,ps,0.00000000000021,0.00000000000007, , , , , , , , , , , , , , 
17,53,74,I,1094.37,0.12, 5/2, ,0.21,7,ps,0.00000000000021,0.00000000000007, , , , , , , , , , , , , , 
18,53,74,I,1122.76,0.2,1/2, , , , , , , , , , , , , , , , , , , , 
19,53,74,I,1181.4,0.15,9/2, , , , , , , , , , , , , , , , , , , , 
20,53,74,I,1218.45,0.17,7/2, , , , , , , , , , , , , , , , , , , , 
21,53,74,I,1228.91,0.2,0, , , , , , , , , , , , , , , , , , , , 
22,53,74,I,1235.07,0.13,11/2, , , , , , , , , , , , , , , , , , , , 
23,53,74,I,1266.6,0.3,13/2, , , , , , , , , , , , , , , , , , , , 
24,53,74,I,1274.97,0.1,7/2, , , , , , , , , , , , , , , , , , , , 
25,53,74,I,1319,6, 9/2, , , , , , , , , , , , , , , , , , , , 
26,53,74,I,1342,6, 9/2, , , , , , , , , , , , , , , , , , , , 
27,53,74,I,1350.2,0.4,9/2, , , , , , , , , , , , , , , , , , , , 
28,53,74,I,1363.97,0.2,0, , , , , , , , , , , , , , , , , , , , 
29,53,74,I,1375,6,0, , , , , , , , , , , , , , , , , , , , 
30,53,74,I,1401.82,0.13, 5/2, , , , , , , , , , , , , , , , , , , , 
31,53,74,I,1413.2,0.15,9/2,LT,0.64, ,ps,0.00000000000064, , , , , , , , , , , , , , , 
32,53,74,I,1442.9,1.2, 5/2, , , , , , , , , , , , , , , , , , , , 
33,53,74,I,1480,0.3,15/2, , , , , , , , , , , , , , , , , , , , 
34,53,74,I,1507,6, 5/2, , , , , , , , , , , , , , , , , , , , 
35,53,74,I,1516.65,0.15,0, , , , , , , , , , , , , , , , , , , , 
36,53,74,I,1555.6,1.7, 5/2, , , , , , , , , , , , , , , , , , , , 
37,53,74,I,1569,6, 9/2, , , , , , , , , , , , , , , , , , , , 
38,53,74,I,1654.08,0.21,0, , , , , , , , , , , , , , , , , , , , 
39,53,74,I,1658.6,0.3, 3/2, , , , , , , , , , , , , , , , , , , , 
40,53,74,I,1675.8,0.9,11/2, , , , , , , , , , , , , , , , , , , , 
41,53,74,I,1696,6,0, , , , , , , , , , , , , , , , , , , , 
42,53,74,I,1719,6,0, , , , , , , , , , , , , , , , , , , , 
43,53,74,I,1775.5,0.8,0, , , , , , , , , , , , , , , , , , , , 
44,53,74,I,1792,8,1/2, , , , , , , , , , , , , , , , , , , , 
45,53,74,I,1836,8,0, , , , , , , , , , , , , , , , , , , , 
46,53,74,I,1860.4,0.4,0, , , , , , , , , , , , , , , , , , , , 
47,53,74,I,1869.5,0.9, 5/2, , , , , , , , , , , , , , , , , , , , 
48,53,74,I,1873,8,0, , , , , , , , , , , , , , , , , , , , 
49,53,74,I,1876.7,0.5,17/2, , , , , , , , , , , , , , , , , , , , 
50,53,74,I,1886,8, 5/2, , , , , , , , , , , , , , , , , , , , 
51,53,74,I,1894,1,15/2, , , , , , , , , , , , , , , , , , , , 
52,53,74,I,1909,3, 9/2, , , , , , , , , , , , , , , , , , , , 
53,53,74,I,1913,8,1/2, , , , , , , , , , , , , , , , , , , , 
54,53,74,I,1978,8,0, , , , , , , , , , , , , , , , , , , , 
55,53,74,I,2060,8,0, , , , , , , , , , , , , , , , , , , , 
56,53,74,I,2072.2,0.9,13/2, , , , , , , , , , , , , , , , , , , , 
57,53,74,I,2075.4,0.8,0, , , , , , , , , , , , , , , , , , , , 
58,53,74,I,2136,8, 5/2, , , , , , , , , , , , , , , , , , , , 
59,53,74,I,2168,8, 5/2, , , , , , , , , , , , , , , , , , , , 
60,53,74,I,2237,3,0, , , , , , , , , , , , , , , , , , , , 
61,53,74,I,2264,3,0, , , , , , , , , , , , , , , , , , , , 
62,53,74,I,2314,3,0, , , , , , , , , , , , , , , , , , , , 
63,53,74,I,2355,3,0, , , , , , , , , , , , , , , , , , , , 
64,53,74,I,2360.1,0.6,19/2, , , , , , , , , , , , , , , , , , , , 
65,53,74,I,2399,3,0, , , , , , , , , , , , , , , , , , , , 
66,53,74,I,2412.3,0.9,15/2, , , , , , , , , , , , , , , , , , , , 
67,53,74,I,2431,8,0, , , , , , , , , , , , , , , , , , , , 
68,53,74,I,2456,8,0, , , , , , , , , , , , , , , , , , , , 
69,53,74,I,2496,8,0, , , , , , , , , , , , , , , , , , , , 
70,53,74,I,2524,8,0, , , , , , , , , , , , , , , , , , , , 
71,53,74,I,2545.8,1.5,19/2, , , , , , , , , , , , , , , , , , , , 
72,53,74,I,2611,8,0, , , , , , , , , , , , , , , , , , , , 
73,53,74,I,2641,8,0, , , , , , , , , , , , , , , , , , , , 
74,53,74,I,2689,8,0, , , , , , , , , , , , , , , , , , , , 
75,53,74,I,2735,8,0, , , , , , , , , , , , , , , , , , , , 
76,53,74,I,2752,8,0, , , , , , , , , , , , , , , , , , , , 
77,53,74,I,2792,8,0, , , , , , , , , , , , , , , , , , , , 
78,53,74,I,2810.2,1.2,21/2, , , , , , , , , , , , , , , , , , , , 
79,53,74,I,2816,8,0, , , , , , , , , , , , , , , , , , , , 
80,53,74,I,2849,8,0, , , , , , , , , , , , , , , , , , , , 
81,53,74,I,2894,8,0, , , , , , , , , , , , , , , , , , , , 
82,53,74,I,2947,8,0, , , , , , , , , , , , , , , , , , , , 
83,53,74,I,2975.8,1.8,23/2, , , , , , , , , , , , , , , , , , , , 
84,53,74,I,2997,8,0, , , , , , , , , , , , , , , , , , , , 
85,53,74,I,3010,8,0, , , , , , , , , , , , , , , , , , , , 
86,53,74,I,3102,8,0, , , , , , , , , , , , , , , , , , , , 
87,53,74,I,3126,8,0, , , , , , , , , , , , , , , , , , , , 
88,53,74,I,3218,8,0, , , , , , , , , , , , , , , , , , , , 
89,53,74,I,3283,8,0, , , , , , , , , , , , , , , , , , , , 
90,53,74,I,3335,8,0, , , , , , , , , , , , , , , , , , , , 
91,53,74,I,3350.3,1.8,0, , , , , , , , , , , , , , , , , , , , 
92,53,74,I,3372,8,0, , , , , , , , , , , , , , , , , , , , 
93,53,74,I,3404,8,0, , , , , , , , , , , , , , , , , , , , 
94,53,74,I,7727,20,3/2, , , , , , , , , , , , , , , , , , , , 
95,53,74,I,7798,20,1/2, , , , , , , , , , , , , , , , , , , , 
96,53,74,I,8507,20,5/2, , , , , , , , , , , , , , , , , , , , 
97,53,74,I,8870,20,5/2, , , , , , , , , , , , , , , , , , , , 
