,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,55,76,Cs,0, ,5/2, ,9.689,16,d,837129.6,1382.4,EC,100, , , , , , , , ,3.543, ,-0.575, 
2,55,76,Cs,78.73,0.004,7/2, ,9.4,2,ns,0.0000000094,0.0000000002, , , , , , , , , , , , , , 
3,55,76,Cs,123.804,0.003,1/2, ,3.75,5,ns,0.00000000375,0.00000000005, , , , , , , , , , , , , , 
4,55,76,Cs,133.615,0.004,5/2, ,8.6,3,ns,0.0000000086,0.0000000003, , , , , , , , , , ,1.86, ,0.022, 
5,55,76,Cs,216.086,0.004,3/2,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
6,55,76,Cs,274, ,0, , , , , , , , , , , , , , , , , , , , 
7,55,76,Cs,373.242,0.005,3/2,LE,0.25, ,ns,0.00000000025, , , , , , , , , , , , , , , 
8,55,76,Cs,496.11,0.06,9/2, , , , , , , , , , , , , , , , , , , , 
9,55,76,Cs,585.043,0.01, 5/2, , , , , , , , , , , , , , , , , , , , 
10,55,76,Cs,596.35,0.05, 7/2, , , , , , , , , , , , , , , , , , , , 
11,55,76,Cs,616.2,0.3,11/2, , , , , , , , , , , , , , , , , , , , 
12,55,76,Cs,620.128,0.006,1/2,LT,0.15, ,ns,0.00000000015, , , , , , , , , , , , , , , 
13,55,76,Cs,657.62,0.06,7/2, , , , , , , , , , , , , , , , , , , , 
14,55,76,Cs,696.487,0.009,3/2, , , , , , , , , , , , , , , , , , , , 
15,55,76,Cs,750, ,0, , , , , , , , , , , , , , , , , , , , 
16,55,76,Cs,764.13,0.14, 5/2, , , , , , , , , , , , , , , , , , , , 
17,55,76,Cs,775.28,0.06,11/2, ,10.46,14,ns,0.00000001046,0.00000000014, , , , , , , , , , ,6.3, , , 
18,55,76,Cs,919.58,0.04,5/2, , , , , , , , , , , , , , , , , , , , 
19,55,76,Cs,1043.99,0.06,7/2, , , , , , , , , , , , , , , , , , , , 
20,55,76,Cs,1047.682,0.009,3/2, , , , , , , , , , , , , , , , , , , , 
21,55,76,Cs,1147.32,0.19,13/2, , , , , , , , , , , , , , , , , , , , 
22,55,76,Cs,1170.67,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
23,55,76,Cs,1212, ,0, , , , , , , , , , , , , , , , , , , , 
24,55,76,Cs,1257.82,0.07,7/2, , , , , , , , , , , , , , , , , , , , 
25,55,76,Cs,1288, ,0, , , , , , , , , , , , , , , , , , , , 
26,55,76,Cs,1309.06,0.18,15/2, , , , , , , , , , , , , , , , , , , , 
27,55,76,Cs,1314, ,7/2, , , , , , , , , , , , , , , , , , , , 
28,55,76,Cs,1324.1,0.3,15/2, , , , , , , , , , , , , , , , , , , , 
29,55,76,Cs,1341.96,0.05,3/2, , , , , , , , , , , , , , , , , , , , 
30,55,76,Cs,1355, ,0, , , , , , , , , , , , , , , , , , , , 
31,55,76,Cs,1383, ,0, , , , , , , , , , , , , , , , , , , , 
32,55,76,Cs,1404.44,0.18,13/2, , , , , , , , , , , , , , , , , , , , 
33,55,76,Cs,1458, ,0, , , , , , , , , , , , , , , , , , , , 
34,55,76,Cs,1498, ,0, , , , , , , , , , , , , , , , , , , , 
35,55,76,Cs,1558, ,0, , , , , , , , , , , , , , , , , , , , 
36,55,76,Cs,1587, ,0, , , , , , , , , , , , , , , , , , , , 
37,55,76,Cs,1617, ,0, , , , , , , , , , , , , , , , , , , , 
38,55,76,Cs,1636.1,0.6,15/2, , , , , , , , , , , , , , , , , , , , 
