,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,53,78,I,0, ,7/2, ,8.0252,6,d,693377.28,51.84,B-,100, , , , , , , , ,2.742, ,-0.35, 
2,53,78,I,149.716,0.003,5/2, ,0.95,5,ns,0.00000000095,0.00000000005, , , , , , , , , , ,2.8, , , 
3,53,78,I,492.664,0.004, 5/2, , , , , , , , , , , , , , , , , , , , 
4,53,78,I,602.0409,0.0025, 5/2, , , , , , , , , , , , , , , , , , , , 
5,53,78,I,773.68,0.019,11/2, , , , , , , , , , , , , , , , , , , , 
6,53,78,I,852.243,0.018,9/2, , , , , , , , , , , , , , , , , , , , 
7,53,78,I,876.724,0.005,1/2, , , , , , , , , , , , , , , , , , , , 
8,53,78,I,1005.772,0.019,0, , , , , , , , , , , , , , , , , , , , 
9,53,78,I,1059.721,0.018,9/2, , , , , , , , , , , , , , , , , , , , 
10,53,78,I,1098.26,0.005, 5/2, , , , , , , , , , , , , , , , , , , , 
11,53,78,I,1146.947,0.006, 5/2, , , , , , , , , , , , , , , , , , , , 
12,53,78,I,1148.952,0.018, 9/2, , , , , , , , , , , , , , , , , , , , 
13,53,78,I,1283.9,0.3,0, , , , , , , , , , , , , , , , , , , , 
14,53,78,I,1298.223,0.019, 5/2, , , , , , , , , , , , , , , , , , , , 
15,53,78,I,1315.187,0.02, 9/2, , , , , , , , , , , , , , , , , , , , 
16,53,78,I,1346.48,0.05, 5/2, , , , , , , , , , , , , , , , , , , , 
17,53,78,I,1376.8,0.4,0, , , , , , , , , , , , , , , , , , , , 
18,53,78,I,1403.86,0.13, 5/2, , , , , , , , , , , , , , , , , , , , 
19,53,78,I,1427.151,0.006, 5/2, , , , , , , , , , , , , , , , , , , , 
20,53,78,I,1444.049,0.011, 5/2, , , , , , , , , , , , , , , , , , , , 
21,53,78,I,1494,6,0, , , , , , , , , , , , , , , , , , , , 
22,53,78,I,1500.622,0.009, 5/2, , , , , , , , , , , , , , , , , , , , 
23,53,78,I,1547.82,0.04,0, , , , , , , , , , , , , , , , , , , , 
24,53,78,I,1556.166,0.021,0, , , , , , , , , , , , , , , , , , , , 
25,53,78,I,1596.459,0.023,0, , , , , , , , , , , , , , , , , , , , 
26,53,78,I,1622.6,0.2,0, , , , , , , , , , , , , , , , , , , , 
27,53,78,I,1646.01,0.017,11/2, , , , , , , , , , , , , , , , , , , , 
28,53,78,I,1677.455,0.02, 5/2, , , , , , , , , , , , , , , , , , , , 
29,53,78,I,1697.11,0.1,0, , , , , , , , , , , , , , , , , , , , 
30,53,78,I,1718,6,1/2, , , , , , , , , , , , , , , , , , , , 
31,53,78,I,1757.87,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
32,53,78,I,1761.5,0.09,0, , , , , , , , , , , , , , , , , , , , 
33,53,78,I,1797.093,0.02,13/2, ,5.9,2,ns,0.0000000059,0.0000000002, , , , , , , , , , ,-1.2, ,0.65, 
34,53,78,I,1800.61,0.05, 5/2, , , , , , , , , , , , , , , , , , , , 
35,53,78,I,1831,8,0, , , , , , , , , , , , , , , , , , , , 
36,53,78,I,1880.26,0.1,0, , , , , , , , , , , , , , , , , , , , 
37,53,78,I,1887.68,0.05,13/2, , , , , , , , , , , , , , , , , , , , 
38,53,78,I,1899.153,0.019,13/2, , , , , , , , , , , , , , , , , , , , 
39,53,78,I,1915, ,0, , , , , , , , , , , , , , , , , , , , 
40,53,78,I,1924.582,0.022,11/2, , , , , , , , , , , , , , , , , , , , 
41,53,78,I,1931.943,0.024,0, , , , , , , , , , , , , , , , , , , , 
42,53,78,I,1936.15,0.07,0, , , , , , , , , , , , , , , , , , , , 
43,53,78,I,1974.25,0.2,0, , , , , , , , , , , , , , , , , , , , 
44,53,78,I,1980.28,0.017,13/2, , , , , , , , , , , , , , , , , , , , 
45,53,78,I,1985, ,0, , , , , , , , , , , , , , , , , , , , 
46,53,78,I,2001.079,0.023,11/2, , , , , , , , , , , , , , , , , , , , 
47,53,78,I,2011.052,0.023,13/2, , , , , , , , , , , , , , , , , , , , 
48,53,78,I,2040.83,0.1, 5/2, , , , , , , , , , , , , , , , , , , , 
49,53,78,I,2063.33,0.15,13/2, , , , , , , , , , , , , , , , , , , , 
50,53,78,I,2072.73,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
51,53,78,I,2114.22,0.03,13/2, , , , , , , , , , , , , , , , , , , , 
52,53,78,I,2134, ,0, , , , , , , , , , , , , , , , , , , , 
53,53,78,I,2168.46,0.04,13/2, , , , , , , , , , , , , , , , , , , , 
54,53,78,I,2170.74,0.04,13/2, , , , , , , , , , , , , , , , , , , , 
55,53,78,I,2175,10,1/2, , , , , , , , , , , , , , , , , , , , 
56,53,78,I,2176.64,0.1,13/2, , , , , , , , , , , , , , , , , , , , 
57,53,78,I,2235.2,1,0, , , , , , , , , , , , , , , , , , , , 
58,53,78,I,2241.68,0.06,13/2, , , , , , , , , , , , , , , , , , , , 
59,53,78,I,2270.64,0.08,13/2, , , , , , , , , , , , , , , , , , , , 
60,53,78,I,2308,10,1/2, , , , , , , , , , , , , , , , , , , , 
61,53,78,I,2329, ,0, , , , , , , , , , , , , , , , , , , , 
62,53,78,I,2332.7,0.4,0, , , , , , , , , , , , , , , , , , , , 
63,53,78,I,2346,10,1/2, , , , , , , , , , , , , , , , , , , , 
64,53,78,I,2352.2,1.5,0, ,43,1,ns,0.000000043,0.000000001, , , , , , , , , , , , , , 
65,53,78,I,2408,10, 5/2, , , , , , , , , , , , , , , , , , , , 
66,53,78,I,2444,10,0, , , , , , , , , , , , , , , , , , , , 
67,53,78,I,2567, ,0, , , , , , , , , , , , , , , , , , , , 
68,53,78,I,2595, ,0, , , , , , , , , , , , , , , , , , , , 
69,53,78,I,2638, ,0, , , , , , , , , , , , , , , , , , , , 
70,53,78,I,2699,20,0, , , , , , , , , , , , , , , , , , , , 
71,53,78,I,2744,20,1/2, , , , , , , , , , , , , , , , , , , , 
72,53,78,I,2807,20,1/2, , , , , , , , , , , , , , , , , , , , 
73,53,78,I,2854, ,0, , , , , , , , , , , , , , , , , , , , 
74,53,78,I,2870,20,0, , , , , , , , , , , , , , , , , , , , 
75,53,78,I,2894, ,0, , , , , , , , , , , , , , , , , , , , 
76,53,78,I,2940,20,1/2, , , , , , , , , , , , , , , , , , , , 
77,53,78,I,2985, ,0, , , , , , , , , , , , , , , , , , , , 
78,53,78,I,3040,20,1/2, , , , , , , , , , , , , , , , , , , , 
79,53,78,I,3090, ,0, , , , , , , , , , , , , , , , , , , , 
80,53,78,I,3170,20,0, , , , , , , , , , , , , , , , , , , , 
81,53,78,I,3700,20,1/2, , , , , , , , , , , , , , , , , , , , 
82,53,78,I,7974,14,3/2, , , , , , , , , , , , , , , , , , , , 
83,53,78,I,8278,14,1/2, , , , , , , , , , , , , , , , , , , , 
84,53,78,I,10205,14,7/2, , , , , , , , , , , , , , , , , , , , 
85,53,78,I,10451,14,3/2, , , , , , , , , , , , , , , , , , , , 
86,53,78,I,10507,14,3/2, , , , , , , , , , , , , , , , , , , , 
87,53,78,I,10906,14,1/2, , , , , , , , , , , , , , , , , , , , 
