,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,54,78,Xe,0, ,0, ,STABLE, , , , , , , , , , , , , , , , , , 
2,54,78,Xe,667.715,0.002,2, ,4.63,30,ps,0.00000000000463,0.0000000000003, , , , , , , , , , ,0.651, , , 
3,54,78,Xe,1297.912,0.013,2, ,3.05,28,ps,0.00000000000305,0.00000000000028, , , , , , , , , , ,0.2, , , 
4,54,78,Xe,1440.323,0.01,4, ,1.80,14,ps,0.0000000000018,0.00000000000014, , , , , , , , , , ,2.4, , , 
5,54,78,Xe,1803.714,0.016,3, , , , , , , , , , , , , , , , , , , , 
6,54,78,Xe,1850,80,0&2, , , , , , , , , , , , , , , , , , , , 
7,54,78,Xe,1963.01,0.07,4, , , , , , , , , , , , , , , , , , , , 
8,54,78,Xe,1985.641,0.005,2, , , , , , , , , , , , , , , , , , , , 
9,54,78,Xe,2040.31,0.09,5, , , , , , , , , , , , , , , , , , , , 
10,54,78,Xe,2110.28,0.07,4, , , , , , , , , , , , , , , , , , , , 
11,54,78,Xe,2111.88,0.16,6, , , , , , , , , , , , , , , , , , , , 
12,54,78,Xe,2167.09,0.15,5, , , , , , , , , , , , , , , , , , , , 
13,54,78,Xe,2168.8,0.4,1 2, , , , , , , , , , , , , , , , , , , , 
14,54,78,Xe,2187.4,0.12,2, , , , , , , , , , , , , , , , , , , , 
15,54,78,Xe,2214.01,0.14,7, ,87,3,ns,0.000000087,0.000000003, , , , , , , , , , ,-0.063, ,0.01, 
16,54,78,Xe,2303.42,0.15,6, , , , , , , , , , , , , , , , , , , , 
17,54,78,Xe,2350.64,0.09,5, , , , , , , , , , , , , , , , , , , , 
18,54,78,Xe,2353.1,0.4,4 6, , , , , , , , , , , , , , , , , , , , 
19,54,78,Xe,2394.92,0.08,4, , , , , , , , , , , , , , , , , , , , 
20,54,78,Xe,2424.77,0.12,3, , , , , , , , , , , , , , , , , , , , 
21,54,78,Xe,2468.78,0.05,3, , , , , , , , , , , , , , , , , , , , 
22,54,78,Xe,2490,50,0&2, , , , , , , , , , , , , , , , , , , , 
23,54,78,Xe,2512.2,0.4,4, , , , , , , , , , , , , , , , , , , , 
24,54,78,Xe,2555.61,0.08,2 3, , , , , , , , , , , , , , , , , , , , 
25,54,78,Xe,2583.77,0.1,5, , , , , , , , , , , , , , , , , , , , 
26,54,78,Xe,2588.69,0.09,4, , , , , , , , , , , , , , , , , , , , 
27,54,78,Xe,2613.45,0.09,5, , , , , , , , , , , , , , , , , , , , 
28,54,78,Xe,2650.3,0.8,7, , , , , , , , , , , , , , , , , , , , 
29,54,78,Xe,2669.99,0.11,3, , , , , , , , , , , , , , , , , , , , 
30,54,78,Xe,2714.4,0.4,1 2, , , , , , , , , , , , , , , , , , , , 
31,54,78,Xe,2752.21,0.17,10, ,8.39,11,ms,0.00839,0.00011,IT,100, , , , , , , , ,-1.95, , , 
32,54,78,Xe,2754.43,0.11,4, , , , , , , , , , , , , , , , , , , , 
33,54,78,Xe,2828,0.9,7 8 9, , , , , , , , , , , , , , , , , , , , 
34,54,78,Xe,2838.85,0.07,5, , , , , , , , , , , , , , , , , , , , 
35,54,78,Xe,2840.1,0.12,4, , , , , , , , , , , , , , , , , , , , 
36,54,78,Xe,2872.7,0.7,0, , , , , , , , , , , , , , , , , , , , 
37,54,78,Xe,2890.69,0.11,4, , , , , , , , , , , , , , , , , , , , 
38,54,78,Xe,2916.85,0.13,2 3 4, , , , , , , , , , , , , , , , , , , , 
39,54,78,Xe,2935.2,0.4,0, , , , , , , , , , , , , , , , , , , , 
40,54,78,Xe,2958.76,0.19,2 3 4, , , , , , , , , , , , , , , , , , , , 
41,54,78,Xe,2960.3,1.2,7 8 9, , , , , , , , , , , , , , , , , , , , 
42,54,78,Xe,3049.6,2.2,0, , , , , , , , , , , , , , , , , , , , 
43,54,78,Xe,3058.14,0.11,3, , , , , , , , , , , , , , , , , , , , 
44,54,78,Xe,3076.43,0.17,3, , , , , , , , , , , , , , , , , , , , 
45,54,78,Xe,3084.4,0.4,3 4, , , , , , , , , , , , , , , , , , , , 
46,54,78,Xe,3112.08,0.2,3 4, , , , , , , , , , , , , , , , , , , , 
47,54,78,Xe,3121.93,0.24,4, , , , , , , , , , , , , , , , , , , , 
48,54,78,Xe,3155.66,0.25,3 4, , , , , , , , , , , , , , , , , , , , 
49,54,78,Xe,3180.7,0.6,3, , , , , , , , , , , , , , , , , , , , 
50,54,78,Xe,3192.81,0.13,3, , , , , , , , , , , , , , , , , , , , 
51,54,78,Xe,3213.97,0.2,3 4, , , , , , , , , , , , , , , , , , , , 
52,54,78,Xe,3226.71,0.2,3 4 5, , , , , , , , , , , , , , , , , , , , 
53,54,78,Xe,3237.2,0.3,3 4, , , , , , , , , , , , , , , , , , , , 
54,54,78,Xe,3243.4,0.3,0, , , , , , , , , , , , , , , , , , , , 
55,54,78,Xe,3249,2,0, , , , , , , , , , , , , , , , , , , , 
56,54,78,Xe,3260.9,0.3,3 4, , , , , , , , , , , , , , , , , , , , 
57,54,78,Xe,3320.4,0.4,3 4, , , , , , , , , , , , , , , , , , , , 
58,54,78,Xe,3353.3,0.3,4 5, , , , , , , , , , , , , , , , , , , , 
59,54,78,Xe,3385.2,0.6,3 4, , , , , , , , , , , , , , , , , , , , 
60,54,78,Xe,3699.5,0.7,0, , , , , , , , , , , , , , , , , , , , 
61,54,78,Xe,3733,2,0, , , , , , , , , , , , , , , , , , , , 
62,54,78,Xe,3792.5,0.5,0, , , , , , , , , , , , , , , , , , , , 
63,54,78,Xe,3825,2,0, , , , , , , , , , , , , , , , , , , , 
64,54,78,Xe,3855,2,0, , , , , , , , , , , , , , , , , , , , 
65,54,78,Xe,3875.3,0.5,0, , , , , , , , , , , , , , , , , , , , 
66,54,78,Xe,3909,2,0, , , , , , , , , , , , , , , , , , , , 
67,54,78,Xe,3954.2,0.6,0, , , , , , , , , , , , , , , , , , , , 
68,54,78,Xe,3990,2,0, , , , , , , , , , , , , , , , , , , , 
69,54,78,Xe,4018,2,0, , , , , , , , , , , , , , , , , , , , 
70,54,78,Xe,4027,0.6,0, , , , , , , , , , , , , , , , , , , , 
71,54,78,Xe,4094.5,0.4,3 4, , , , , , , , , , , , , , , , , , , , 
72,54,78,Xe,4110,2,0, , , , , , , , , , , , , , , , , , , , 
73,54,78,Xe,4147,2,0, , , , , , , , , , , , , , , , , , , , 
74,54,78,Xe,4168,2,0, , , , , , , , , , , , , , , , , , , , 
75,54,78,Xe,4188.4,0.3,0, , , , , , , , , , , , , , , , , , , , 
76,54,78,Xe,4200,2,0, , , , , , , , , , , , , , , , , , , , 
77,54,78,Xe,4230,2, , , , , , , , , , , , , , , , , , , , , 
