,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,60,84,Nd,0, ,0, ,2.29E+15,16,Y,7.226536048181568e22,5.04910815593472e21,A,100, , , , , , , , , , , , 
2,60,84,Nd,696.561,0.01,2, ,2.97,5,ps,0.00000000000297,0.00000000000005, , , , , , , , , , ,0.35, , , 
3,60,84,Nd,1314.669,0.013,4, ,7.4,9,ps,0.0000000000074,0.0000000000009, , , , , , , , , , , , , , 
4,60,84,Nd,1510.871,0.021,3, ,0.56,+8-6,ps,0.00000000000056, , , , , , , , , , , , , , , 
5,60,84,Nd,1560.92,0.013,2, , , , , , , , , , , , , , , , , , , , 
6,60,84,Nd,1791.46,0.04,6, ,20.8,21,ps,0.0000000000208,0.0000000000021, , , , , , , , , , , , , , 
7,60,84,Nd,2072.91,0.03,2, ,59,+11-8,fs,0.000000000000059, , , , , , , , , , , , , , , 
8,60,84,Nd,2084.68,0.04,0, ,0.13,+8-4,ps,0.00000000000013, , , , , , , , , , , , , , , 
9,60,84,Nd,2093.28,0.03,5, ,0.80,+7-4,ps,0.0000000000008, , , , , , , , , , , , , , , 
10,60,84,Nd,2109.79,0.03,4,GT,0.2, ,ps,0.0000000000002, , , , , , , , , , , , , , , 
11,60,84,Nd,2178.97,0.03,3, ,0.06,+4-2,ps,0.00000000000006, , , , , , , , , , , , , , , 
12,60,84,Nd,2185.75,0.03,1, ,15,2,fs,0.000000000000015,0.000000000000002, , , , , , , , , , , , , , 
13,60,84,Nd,2204.8,0.04,4, ,0.7,+3-1,ps,0.0000000000007, , , , , , , , , , , , , , , 
14,60,84,Nd,2218.31,0.05,6,GT,0.7, ,ps,0.0000000000007, , , , , , , , , , , , , , , 
15,60,84,Nd,2295.41,0.03,4,GT,0.27, ,ps,0.00000000000027, , , , , , , , , , , , , , , 
16,60,84,Nd,2321.9,0.3,0, , , , , , , , , , , , , , , , , , , , 
17,60,84,Nd,2328.18,0.04,0, ,0.3,+6-1,ps,0.0000000000003, , , , , , , , , , , , , , , 
18,60,84,Nd,2347,25,2, , , , , , , , , , , , , , , , , , , , 
19,60,84,Nd,2368.82,0.04,2, ,39,+14-10,fs,0.000000000000039, , , , , , , , , , , , , , , 
20,60,84,Nd,2399.5,1,0, , , , , , , , , , , , , , , , , , , , 
21,60,84,Nd,2420.21,0.07,5,GT,0.7, ,ps,0.0000000000007, , , , , , , , , , , , , , , 
22,60,84,Nd,2451.71,0.04,4, ,39,+14-10,fs,0.000000000000039, , , , , , , , , , , , , , , 
23,60,84,Nd,2464, ,1, , , , , , , , , , , , , , , , , , , , 
24,60,84,Nd,2490,25,2, , , , , , , , , , , , , , , , , , , , 
25,60,84,Nd,2508.42,0.2,0, , , , , , , , , , , , , , , , , , , , 
26,60,84,Nd,2527.79,0.04,2, ,40,+8-6,fs,0.00000000000004, , , , , , , , , , , , , , , 
27,60,84,Nd,2564.51,0.04,3, , , , , , , , , , , , , , , , , , , , 
28,60,84,Nd,2582.32,0.06,3, , , , , , , , , , , , , , , , , , , , 
29,60,84,Nd,2590,4,1, , , , , , , , , , , , , , , , , , , , 
30,60,84,Nd,2592.53,0.03,2, ,0.19,+13-6,ps,0.00000000000019, , , , , , , , , , , , , , , 
31,60,84,Nd,2599,7,3, , , , , , , , , , , , , , , , , , , , 
32,60,84,Nd,2601.73,0.04,4, ,0.13,+12-5,ps,0.00000000000013, , , , , , , , , , , , , , , 
33,60,84,Nd,2603, ,0, , , , , , , , , , , , , , , , , , , , 
34,60,84,Nd,2605.93,0.04,3, ,0.106,+21-11,ps,0.000000000000106, , , , , , , , , , , , , , , 
