,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,61,86,Pm,0, ,7/2, ,2.6234,2,Y,82786439.60174465,6311.3851949184,B-,100, , , , , , , , ,2.58, ,0.74, 
2,61,86,Pm,91.1047,0.002,5/2, ,2.50,5,ns,0.0000000025,0.00000000005, , , , , , , , , , ,3.22, ,0.6, 
3,61,86,Pm,350, ,0, , , , , , , , , , , , , , , , , , , , 
4,61,86,Pm,380, ,0, , , , , , , , , , , , , , , , , , , , 
5,61,86,Pm,408.34,0.05,9/2, , , , , , , , , , , , , , , , , , , , 
6,61,86,Pm,410.513,0.013, 7/2, ,0.139,14,ns,0.000000000139,0.000000000014, , , , , , , , , , , , , , 
7,61,86,Pm,489.254,0.016,7/2, , , , , , , , , , , , , , , , , , , , 
8,61,86,Pm,500, ,0, , , , , , , , , , , , , , , , , , , , 
9,61,86,Pm,531.009,0.015, 7/2, ,0.083,15,ns,0.000000000083,0.000000000015, , , , , , , , , , , , , , 
10,61,86,Pm,620, ,0, , , , , , , , , , , , , , , , , , , , 
11,61,86,Pm,632.93,0.07,1/2, , , , , , , , , , , , , , , , , , , , 
12,61,86,Pm,641.27,0.08,0, , , , , , , , , , , , , , , , , , , , 
13,61,86,Pm,649.14,0.06,11/2, ,27,3,ns,0.000000027,0.000000003, , , , , , , , , , , , , , 
14,61,86,Pm,660, ,0, , , , , , , , , , , , , , , , , , , , 
15,61,86,Pm,667.3,0.08,11/2, , , , , , , , , , , , , , , , , , , , 
16,61,86,Pm,680.39,0.04, 9/2, , , , , , , , , , , , , , , , , , , , 
17,61,86,Pm,685.892,0.015, 7/2, ,0.25,10,ns,0.00000000025,0.0000000001, , , , , , , , , , , , , , 
18,61,86,Pm,730.68,0.13, 5/2, , , , , , , , , , , , , , , , , , , , 
19,61,86,Pm,807.25,0.13, 7/2, , , , , , , , , , , , , , , , , , , , 
20,61,86,Pm,808, , 5/2, , , , , , , , , , , , , , , , , , , , 
21,61,86,Pm,865.14,0.19,0, , , , , , , , , , , , , , , , , , , , 
22,61,86,Pm,880, , 5/2, , , , , , , , , , , , , , , , , , , , 
23,61,86,Pm,910, ,0, , , , , , , , , , , , , , , , , , , , 
24,61,86,Pm,931, ,1/2, , , , , , , , , , , , , , , , , , , , 
25,61,86,Pm,940, ,0, , , , , , , , , , , , , , , , , , , , 
26,61,86,Pm,970.33,0.14,11/2, , , , , , , , , , , , , , , , , , , , 
27,61,86,Pm,973, , 7/2, , , , , , , , , , , , , , , , , , , , 
28,61,86,Pm,984,0.3,0, , , , , , , , , , , , , , , , , , , , 
29,61,86,Pm,1041.15,0.17, 5/2, , , , , , , , , , , , , , , , , , , , 
30,61,86,Pm,1049,0.4,0, , , , , , , , , , , , , , , , , , , , 
31,61,86,Pm,1051.03,0.09,15/2, , , , , , , , , , , , , , , , , , , , 
32,61,86,Pm,1072.59,0.12,13/2, , , , , , , , , , , , , , , , , , , , 
33,61,86,Pm,1077.5,0.16,0, , , , , , , , , , , , , , , , , , , , 
34,61,86,Pm,1100, ,1/2, , , , , , , , , , , , , , , , , , , , 
35,61,86,Pm,1119.2,0.4,0, , , , , , , , , , , , , , , , , , , , 
36,61,86,Pm,1145, , 5/2, , , , , , , , , , , , , , , , , , , , 
37,61,86,Pm,1159.51,0.14,13/2, , , , , , , , , , , , , , , , , , , , 
38,61,86,Pm,1187, ,0, , , , , , , , , , , , , , , , , , , , 
39,61,86,Pm,1213.9,0.4,0, , , , , , , , , , , , , , , , , , , , 
40,61,86,Pm,1245.62,0.11,13/2, , , , , , , , , , , , , , , , , , , , 
41,61,86,Pm,1310, ,0, , , , , , , , , , , , , , , , , , , , 
42,61,86,Pm,1325, ,0, , , , , , , , , , , , , , , , , , , , 
43,61,86,Pm,1344, , 5/2, , , , , , , , , , , , , , , , , , , , 
44,61,86,Pm,1360, ,0, , , , , , , , , , , , , , , , , , , , 
45,61,86,Pm,1382,0.5,1/2, , , , , , , , , , , , , , , , , , , , 
46,61,86,Pm,1387, ,0, , , , , , , , , , , , , , , , , , , , 
47,61,86,Pm,1392.84,0.14,15/2, , , , , , , , , , , , , , , , , , , , 
48,61,86,Pm,1406.3,0.14,15/2, , , , , , , , , , , , , , , , , , , , 
49,61,86,Pm,1422, ,0, , , , , , , , , , , , , , , , , , , , 
50,61,86,Pm,1434.2,0.3,0, , , , , , , , , , , , , , , , , , , , 
51,61,86,Pm,1440, ,0, , , , , , , , , , , , , , , , , , , , 
52,61,86,Pm,1476, , 9/2, , , , , , , , , , , , , , , , , , , , 
53,61,86,Pm,1505, ,0, , , , , , , , , , , , , , , , , , , , 
54,61,86,Pm,1543, ,0, , , , , , , , , , , , , , , , , , , , 
55,61,86,Pm,1580, ,0, , , , , , , , , , , , , , , , , , , , 
56,61,86,Pm,1587, , 5/2, , , , , , , , , , , , , , , , , , , , 
57,61,86,Pm,1596, ,0, , , , , , , , , , , , , , , , , , , , 
58,61,86,Pm,1627.66,0.12,19/2, , , , , , , , , , , , , , , , , , , , 
59,61,86,Pm,1629, , 5/2, , , , , , , , , , , , , , , , , , , , 
60,61,86,Pm,1641, ,0, , , , , , , , , , , , , , , , , , , , 
61,61,86,Pm,1656, , 5/2, , , , , , , , , , , , , , , , , , , , 
62,61,86,Pm,1659.55,0.15,17/2, , , , , , , , , , , , , , , , , , , , 
63,61,86,Pm,1667, ,0, , , , , , , , , , , , , , , , , , , , 
64,61,86,Pm,1670, ,0, , , , , , , , , , , , , , , , , , , , 
65,61,86,Pm,1698.91,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
66,61,86,Pm,1702, ,11/2, , , , , , , , , , , , , , , , , , , , 
67,61,86,Pm,1723, ,0, , , , , , , , , , , , , , , , , , , , 
68,61,86,Pm,1788, , 5/2, , , , , , , , , , , , , , , , , , , , 
69,61,86,Pm,1794.65,0.18,17/2, , , , , , , , , , , , , , , , , , , , 
70,61,86,Pm,1805, ,0, , , , , , , , , , , , , , , , , , , , 
71,61,86,Pm,1810, ,0, , , , , , , , , , , , , , , , , , , , 
72,61,86,Pm,1831.82,0.18,17/2, , , , , , , , , , , , , , , , , , , , 
73,61,86,Pm,1832.2,0.4,0, , , , , , , , , , , , , , , , , , , , 
74,61,86,Pm,1872, ,0, , , , , , , , , , , , , , , , , , , , 
75,61,86,Pm,1892, ,1/2, , , , , , , , , , , , , , , , , , , , 
76,61,86,Pm,1910, ,0, , , , , , , , , , , , , , , , , , , , 
77,61,86,Pm,1930, ,1/2, , , , , , , , , , , , , , , , , , , , 
78,61,86,Pm,1938, ,0, , , , , , , , , , , , , , , , , , , , 
79,61,86,Pm,1984.6,0.18,19/2, , , , , , , , , , , , , , , , , , , , 
80,61,86,Pm,2013, ,0, , , , , , , , , , , , , , , , , , , , 
81,61,86,Pm,2025, ,0, , , , , , , , , , , , , , , , , , , , 
82,61,86,Pm,2035, ,0, , , , , , , , , , , , , , , , , , , , 
83,61,86,Pm,2068, , 9/2, , , , , , , , , , , , , , , , , , , , 
84,61,86,Pm,2079.08,0.14,19/2, , , , , , , , , , , , , , , , , , , , 
85,61,86,Pm,2106, , 5/2, , , , , , , , , , , , , , , , , , , , 
86,61,86,Pm,2160, ,0, , , , , , , , , , , , , , , , , , , , 
87,61,86,Pm,2180, ,0, , , , , , , , , , , , , , , , , , , , 
88,61,86,Pm,2201, ,0, , , , , , , , , , , , , , , , , , , , 
89,61,86,Pm,2220, ,0, , , , , , , , , , , , , , , , , , , , 
90,61,86,Pm,2250.65,0.19,19/2, , , , , , , , , , , , , , , , , , , , 
91,61,86,Pm,2308.05,0.19,21/2, , , , , , , , , , , , , , , , , , , , 
92,61,86,Pm,2330.3,0.14,23/2, , , , , , , , , , , , , , , , , , , , 
93,61,86,Pm,2405.37,0.17,23/2, , , , , , , , , , , , , , , , , , , , 
94,61,86,Pm,2459.62,0.21,21/2, , , , , , , , , , , , , , , , , , , , 
95,61,86,Pm,2548.84,0.14,23/2, , , , , , , , , , , , , , , , , , , , 
96,61,86,Pm,2622.76,0.15,23/2, , , , , , , , , , , , , , , , , , , , 
97,61,86,Pm,2685.9,0.15,25/2, , , , , , , , , , , , , , , , , , , , 
98,61,86,Pm,2706.89,0.25,23/2, , , , , , , , , , , , , , , , , , , , 
99,61,86,Pm,2782.82,0.23,23/2, , , , , , , , , , , , , , , , , , , , 
100,61,86,Pm,2850,0.14,27/2, , , , , , , , , , , , , , , , , , , , 
101,61,86,Pm,2899.28,0.15,25/2, , , , , , , , , , , , , , , , , , , , 
102,61,86,Pm,3051.2,0.4,25/2, , , , , , , , , , , , , , , , , , , , 
103,61,86,Pm,3052.4,0.3,25/2, , , , , , , , , , , , , , , , , , , , 
104,61,86,Pm,3124.41,0.17,27/2, , , , , , , , , , , , , , , , , , , , 
105,61,86,Pm,3277.43,0.16,27/2, , , , , , , , , , , , , , , , , , , , 
106,61,86,Pm,3335.9,0.4,27/2, , , , , , , , , , , , , , , , , , , , 
107,61,86,Pm,3357.78,0.15,29/2, , , , , , , , , , , , , , , , , , , , 
108,61,86,Pm,3405.01,0.23,29/2, , , , , , , , , , , , , , , , , , , , 
109,61,86,Pm,3463.69,0.16,31/2, , , , , , , , , , , , , , , , , , , , 
110,61,86,Pm,3611,0.4,0, , , , , , , , , , , , , , , , , , , , 
111,61,86,Pm,3687.31,0.16,31/2, , , , , , , , , , , , , , , , , , , , 
112,61,86,Pm,3694.83,0.16,33/2, , , , , , , , , , , , , , , , , , , , 
113,61,86,Pm,3840.22,0.25,0, , , , , , , , , , , , , , , , , , , , 
114,61,86,Pm,3949.3,0.4,31/2, , , , , , , , , , , , , , , , , , , , 
115,61,86,Pm,4133.1,0.4,0, , , , , , , , , , , , , , , , , , , , 
116,61,86,Pm,4229,0.3,35/2, , , , , , , , , , , , , , , , , , , , 
117,61,86,Pm,4286.91,0.18,35/2, , , , , , , , , , , , , , , , , , , , 
118,61,86,Pm,4320.44,0.19,37/2, , , , , , , , , , , , , , , , , , , , 
119,61,86,Pm,4512.4,0.4,0, , , , , , , , , , , , , , , , , , , , 
120,61,86,Pm,4857.5,0.4,39/2, , , , , , , , , , , , , , , , , , , , 
121,61,86,Pm,5013.14,0.22,41/2, , , , , , , , , , , , , , , , , , , , 
