,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,63,86,Eu,0, ,5/2, ,93.1,4,d,8043840,34560,EC,100, , , , , , , , ,3.565, ,0.716, 
2,63,86,Eu,149.732,0.002,7/2, ,0.32,2,ns,0.00000000032,0.00000000002, , , , , , , , , , , , , , 
3,63,86,Eu,458,4,1/2, , , , , , , , , , , , , , , , , , , , 
4,63,86,Eu,459.833,0.005, 5/2, , , , , , , , , , , , , , , , , , , , 
5,63,86,Eu,496.386,0.002,11/2, ,2.45,5,us,0.00000245,0.00000005, , , , , , , , , , ,6.99, , , 
6,63,86,Eu,534.295,0.003,7/2, , , , , , , , , , , , , , , , , , , , 
7,63,86,Eu,666.28,0.003,9/2, , , , , , , , , , , , , , , , , , , , 
8,63,86,Eu,691.8,1, 7/2, , , , , , , , , , , , , , , , , , , , 
9,63,86,Eu,748.603,0.002,7/2, , , , , , , , , , , , , , , , , , , , 
10,63,86,Eu,754,3,5/2, , , , , , , , , , , , , , , , , , , , 
11,63,86,Eu,767,4,1/2, , , , , , , , , , , , , , , , , , , , 
12,63,86,Eu,776.78,0.04, 9/2, , , , , , , , , , , , , , , , , , , , 
13,63,86,Eu,795.043,0.003,9/2, , , , , , , , , , , , , , , , , , , , 
14,63,86,Eu,798.93,0.02,9/2, , , , , , , , , , , , , , , , , , , , 
15,63,86,Eu,812.622,0.006,5/2, , , , , , , , , , , , , , , , , , , , 
16,63,86,Eu,868.97,0.08,11/2, , , , , , , , , , , , , , , , , , , , 
17,63,86,Eu,875.925,0.014,5/2, , , , , , , , , , , , , , , , , , , , 
18,63,86,Eu,910.87,0.04,11/2, , , , , , , , , , , , , , , , , , , , 
19,63,86,Eu,913,3, 5/2, , , , , , , , , , , , , , , , , , , , 
20,63,86,Eu,933.112,0.008, 9/2, , , , , , , , , , , , , , , , , , , , 
21,63,86,Eu,935,3,1/2, , , , , , , , , , , , , , , , , , , , 
22,63,86,Eu,938.59,0.004,7/2, , , , , , , , , , , , , , , , , , , , 
23,63,86,Eu,952.681,0.017,29/2, , , , , , , , , , , , , , , , , , , , 
24,63,86,Eu,956.4,0.5,5/2, , , , , , , , , , , , , , , , , , , , 
25,63,86,Eu,992.208,0.004,29/2, , , , , , , , , , , , , , , , , , , , 
26,63,86,Eu,994.79,0.06,15/2, , , , , , , , , , , , , , , , , , , , 
27,63,86,Eu,1012.599,0.01, 9/2, , , , , , , , , , , , , , , , , , , , 
28,63,86,Eu,1050.83,0.04,0, , , , , , , , , , , , , , , , , , , , 
29,63,86,Eu,1059.8,0.3,13/2, , , , , , , , , , , , , , , , , , , , 
30,63,86,Eu,1064,3,5/2, , , , , , , , , , , , , , , , , , , , 
31,63,86,Eu,1097.58,0.008,9/2, , , , , , , , , , , , , , , , , , , , 
32,63,86,Eu,1135,4,0, , , , , , , , , , , , , , , , , , , , 
33,63,86,Eu,1150,3,5/2, , , , , , , , , , , , , , , , , , , , 
34,63,86,Eu,1165.05,0.03, 9/2, , , , , , , , , , , , , , , , , , , , 
