,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,60,90,Nd,0, ,0.0, , ,0+,1,0.91E19, ,7,Y,2.871680263687872e26,2.20898481822144e25,2B-,100, , , , , , , , , , , , ,2021-06-09
1,60,90,Nd,1, ,130.21,0.07, ,2,1,1.48, ,3,ns,0.00000000148,0.00000000003, , , , , , , , , , ,0.84, ,-2, ,2021-06-09
2,60,90,Nd,2, ,381.1,0.08, ,4,1,60.5, ,5,ps,0.0000000000605,0.0000000000005, , , , , , , , , , ,1.8, , , ,2021-06-09
3,60,90,Nd,3, ,675.9,0.3, ,0,2,5.7, ,3,ps,0.0000000000057,0.0000000000003, , , , , , , , , , , , , , ,2021-06-09
4,60,90,Nd,4, ,720.16,0.11, ,6,1,12.5, ,5,ps,0.0000000000125,0.0000000000005, , , , , , , , , , ,2.1, , , ,2021-06-09
5,60,90,Nd,5, ,850.75,0.08, ,2,2,4.5, ,14,ps,0.0000000000045,0.0000000000014, , , , , , , , , , , , , , ,2021-06-09
6,60,90,Nd,6, ,852.88,0.1, ,1,1,46, ,+7-6,fs,0.000000000000046, , , , , , , , , , , , , , , ,2021-06-09
7,60,90,Nd,7, ,934.53,0.08, ,3,1,82, ,+12-10,fs,0.000000000000082, , , , , , , , , , , , , , , ,2021-06-09
8,60,90,Nd,8, ,1062.05,0.08, ,2,3,1.46, ,21,ps,0.00000000000146,0.00000000000021, , , , , , , , , , , , , , ,2021-06-09
9,60,90,Nd,9, ,1128.9,0.1, ,5,1,0.07, ,+20-4,ps,0.00000000000007, , , , , , , , , , , , , , , ,2021-06-09
10,60,90,Nd,10, ,1129.6,0.5, ,8,1,4.7, ,5,ps,0.0000000000047,0.0000000000005, , , , , , , , , , ,4.5, , , ,2021-06-09
11,60,90,Nd,11, ,1137.84,0.12, ,4,2,3.3, ,3,ps,0.0000000000033,0.0000000000003, , , , , , , , , , , , , , ,2021-06-09
12,60,90,Nd,12, ,1182.27,0.18, , 2,1,0.5,LT, ,ns,0.0000000005, , , , , , , , , , , , , , , ,2021-06-09
13,60,90,Nd,13, ,1200.55,0.08, ,3,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
14,60,90,Nd,14, ,1250.0, , ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-09
15,60,90,Nd,15, ,1265.0,20, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-09
16,60,90,Nd,16, ,1283.68,0.12, ,1,1,0.5,LT, ,ns,0.0000000005, , , , , , , , , , , , , , , ,2021-06-09
17,60,90,Nd,17, ,1307.5, , ,3 4,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
18,60,90,Nd,18, ,1318.0,2, ,1,2, , , , , , , , , , , , , , , , , , , , ,2021-06-09
19,60,90,Nd,19, ,1352.5,0.4, ,4,3,2.0, ,6,ps,0.000000000002,0.0000000000006, , , , , , , , , , , , , , ,2021-06-09
20,60,90,Nd,20, ,1426.7, , ,2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
