,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,64,93,Gd,0, ,3/2, ,STABLE, , , , , , , , , , , , , , ,-0.3398, ,1.36, 
2,64,93,Gd,54.536,0.006,5/2, ,130,8,ps,0.00000000013,0.000000000008, , , , , , , , , , , , ,-0.46, 
3,64,93,Gd,63.916,0.005,5/2, ,0.46,4,us,0.00000046,0.00000004, , , , , , , , , , ,-0.464, ,2.43, 
4,64,93,Gd,115.717,0.007,7/2, , , , , , , , , , , , , , , , , , , , 
5,64,93,Gd,131.451,0.009,7/2, ,100,10,ps,0.0000000001,0.00000000001, , , , , , , , , , , , , , 
6,64,93,Gd,180.229,0.011,9/2, , , , , , , , , , , , , , , , , , , , 
7,64,93,Gd,226.983,0.019,9/2, ,16.7,15,ps,0.0000000000167,0.0000000000015, , , , , , , , , , , , , , 
8,64,93,Gd,272.22,0.03,11/2, , , , , , , , , , , , , , , , , , , , 
9,64,93,Gd,315,3,0, , , , , , , , , , , , , , , , , , , , 
10,64,93,Gd,347.05,0.06,11/2, ,12.2,10,ps,0.0000000000122,0.000000000001, , , , , , , , , , , , , , 
11,64,93,Gd,361.04,0.09,13/2, , , , , , , , , , , , , , , , , , , , 
12,64,93,Gd,372,3,0, , , , , , , , , , , , , , , , , , , , 
13,64,93,Gd,426.539,0.023,11/2, ,18.5,23,us,0.0000185,0.0000023,IT,100, , , , , , , , , , , , 
14,64,93,Gd,434.426,0.006,5/2,LT,0.1, ,ns,0.0000000001, , , , , , , , , , , , , , , 
15,64,93,Gd,474.63,0.006,3/2,LT,0.1, ,ns,0.0000000001, , , , , , , , , , , , , , , 
16,64,93,Gd,478.62,0.04,13/2, ,7.3,6,ps,0.0000000000073,0.0000000000006, , , , , , , , , , , , , , 
17,64,93,Gd,508.93,0.11,15/2, , , , , , , , , , , , , , , , , , , , 
18,64,93,Gd,514.671,0.008,7/2, , , , , , , , , , , , , , , , , , , , 
19,64,93,Gd,524.847,0.007,5/2, , , , , , , , , , , , , , , , , , , , 
20,64,93,Gd,566,1,0, , , , , , , , , , , , , , , , , , , , 
21,64,93,Gd,579.4,0.08,13/2, , , , , , , , , , , , , , , , , , , , 
22,64,93,Gd,607.589,0.015,7/2, , , , , , , , , , , , , , , , , , , , 
23,64,93,Gd,612.1,0.5,17/2, , , , , , , , , , , , , , , , , , , , 
24,64,93,Gd,617.38,0.03,9/2, , , , , , , , , , , , , , , , , , , , 
25,64,93,Gd,640.33,0.08,15/2, ,4.3,3,ps,0.0000000000043,0.0000000000003, , , , , , , , , , , , , , 
26,64,93,Gd,655.7,0.5,0, , , , , , , , , , , , , , , , , , , , 
27,64,93,Gd,664.44,0.05,9/2, , , , , , , , , , , , , , , , , , , , 
28,64,93,Gd,682.82,0.04,1/2, , , , , , , , , , , , , , , , , , , , 
29,64,93,Gd,683.236,0.009,3/2,LT,0.3, ,ns,0.0000000003, , , , , , , , , , , , , , , 
30,64,93,Gd,686.667,0.009, 7/2, , , , , , , , , , , , , , , , , , , , 
31,64,93,Gd,701.39,0.04,1/2, , , , , , , , , , , , , , , , , , , , 
32,64,93,Gd,722.9,0.2,0, , , , , , , , , , , , , , , , , , , , 
33,64,93,Gd,729.23,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
34,64,93,Gd,741.72,0.05,9/2, , , , , , , , , , , , , , , , , , , , 
35,64,93,Gd,746.9,0.5,3/2, , , , , , , , , , , , , , , , , , , , 
36,64,93,Gd,751.436,0.012,3/2, , , , , , , , , , , , , , , , , , , , 
37,64,93,Gd,762.67,0.017,3/2, , , , , , , , , , , , , , , , , , , , 
38,64,93,Gd,771.302,0.017,7/2, , , , , , , , , , , , , , , , , , , , 
39,64,93,Gd,788.54,0.03,5/2, , , , , , , , , , , , , , , , , , , , 
40,64,93,Gd,793.67,0.04,1/2, , , , , , , , , , , , , , , , , , , , 
41,64,93,Gd,794,3,5/2, , , , , , , , , , , , , , , , , , , , 
42,64,93,Gd,801.32,0.09,17/2, ,2.6,2,ps,0.0000000000026,0.0000000000002, , , , , , , , , , , , , , 
43,64,93,Gd,806.67,0.12,11/2, , , , , , , , , , , , , , , , , , , , 
44,64,93,Gd,809.13,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
45,64,93,Gd,814.11,0.04,5/2, , , , , , , , , , , , , , , , , , , , 
46,64,93,Gd,816.5,0.05,5/2, , , , , , , , , , , , , , , , , , , , 
47,64,93,Gd,816.574,0.015, 7/2, , , , , , , , , , , , , , , , , , , , 
48,64,93,Gd,827,1,0, , , , , , , , , , , , , , , , , , , , 
49,64,93,Gd,831.9,0.5,19/2, , , , , , , , , , , , , , , , , , , , 
50,64,93,Gd,840,4,5/2, , , , , , , , , , , , , , , , , , , , 
51,64,93,Gd,840.42,0.08,7/2, , , , , , , , , , , , , , , , , , , , 
52,64,93,Gd,849.3,0.2,13/2, , , , , , , , , , , , , , , , , , , , 
53,64,93,Gd,875,2,0, , , , , , , , , , , , , , , , , , , , 
54,64,93,Gd,887.93,0.06,5/2, , , , , , , , , , , , , , , , , , , , 
55,64,93,Gd,902,3,7/2, , , , , , , , , , , , , , , , , , , , 
56,64,93,Gd,916, ,0, , , , , , , , , , , , , , , , , , , , 
57,64,93,Gd,919.31,0.04, 9/2, , , , , , , , , , , , , , , , , , , , 
58,64,93,Gd,937.2,0.6, 3/2, , , , , , , , , , , , , , , , , , , , 
59,64,93,Gd,939.3,0.7,21/2, , , , , , , , , , , , , , , , , , , , 
60,64,93,Gd,952,1,0, , , , , , , , , , , , , , , , , , , , 
61,64,93,Gd,964,3,9/2, , , , , , , , , , , , , , , , , , , , 
62,64,93,Gd,972,2,0, , , , , , , , , , , , , , , , , , , , 
63,64,93,Gd,981,5,9/2, , , , , , , , , , , , , , , , , , , , 
64,64,93,Gd,996.6,0.9,0, , , , , , , , , , , , , , , , , , , , 
65,64,93,Gd,1002.53,0.12,19/2, ,1.81,16,ps,0.00000000000181,0.00000000000016, , , , , , , , , , , , , , 
66,64,93,Gd,1015,2,0, , , , , , , , , , , , , , , , , , , , 
67,64,93,Gd,1041.5,0.2, 3/2, , , , , , , , , , , , , , , , , , , , 
68,64,93,Gd,1044,7,3/2, , , , , , , , , , , , , , , , , , , , 
69,64,93,Gd,1049.68,0.04,0, , , , , , , , , , , , , , , , , , , , 
70,64,93,Gd,1059.67,0.07, 5/2, , , , , , , , , , , , , , , , , , , , 
71,64,93,Gd,1060, ,11/2, , , , , , , , , , , , , , , , , , , , 
72,64,93,Gd,1060.07,0.06, 5/2, , , , , , , , , , , , , , , , , , , , 
73,64,93,Gd,1062.5,0.6,0, , , , , , , , , , , , , , , , , , , , 
74,64,93,Gd,1093.04,0.06, 3/2, , , , , , , , , , , , , , , , , , , , 
75,64,93,Gd,1108.3,1.1,0, , , , , , , , , , , , , , , , , , , , 
76,64,93,Gd,1136.7,0.3,0, , , , , , , , , , , , , , , , , , , , 
