,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,65,94,Tb,0, ,3/2, ,STABLE, , , , , , , , , , , , , , ,2.014, ,1.432, 
2,65,94,Tb,57.9964,0.0015,5/2, ,55.0,22,ps,0.000000000055,0.0000000000022, , , , , , , , , , ,3.86, , , 
3,65,94,Tb,137.5055,0.0017,7/2, ,41.3,21,ps,0.0000000000413,0.0000000000021, , , , , , , , , , , , , , 
4,65,94,Tb,241.15,0.04,9/2, ,27.2,12,ps,0.0000000000272,0.0000000000012, , , , , , , , , , , , , , 
5,65,94,Tb,348.2832,0.0015,5/2, , , , , , , , , , , , , , , , , , , , 
6,65,94,Tb,362.05,0.04,11/2, ,15.2,2,ps,0.0000000000152,0.0000000000002, , , , , , , , , , , , , , 
7,65,94,Tb,363.5449,0.0014,5/2, ,153,5,ps,0.000000000153,0.000000000005, , , , , , , , , , , , , , 
8,65,94,Tb,388.4, ,7/2, , , , , , , , , , , , , , , , , , , , 
9,65,94,Tb,428.2, ,7/2, , , , , , , , , , , , , , , , , , , , 
10,65,94,Tb,454.6, ,9/2, , , , , , , , , , , , , , , , , , , , 
11,65,94,Tb,510.4,0.05,13/2, ,9.17,22,ps,0.00000000000917,0.00000000000022, , , , , , , , , , , , , , 
12,65,94,Tb,532, ,9/2, , , , , , , , , , , , , , , , , , , , 
13,65,94,Tb,536.7, ,0, , , , , , , , , , , , , , , , , , , , 
14,65,94,Tb,545.1, ,11/2, , , , , , , , , , , , , , , , , , , , 
15,65,94,Tb,547.6, ,7/2, , , , , , , , , , , , , , , , , , , , 
16,65,94,Tb,580.808,0.006,1/2, ,0.76,10,ps,0.00000000000076,0.0000000000001, , , , , , , , , , , , , , 
17,65,94,Tb,617.621,0.015,3/2, , , , , , , , , , , , , , , , , , , , 
18,65,94,Tb,668.91,0.05,15/2, ,6.2,4,ps,0.0000000000062,0.0000000000004, , , , , , , , , , , , , , 
19,65,94,Tb,674.235,0.017,5/2,LT,2.3, ,ps,0.0000000000023, , , , , , , , , , , , , , , 
20,65,94,Tb,677.9, ,9/2, , , , , , , , , , , , , , , , , , , , 
21,65,94,Tb,761.3, ,7/2, , , , , , , , , , , , , , , , , , , , 
22,65,94,Tb,777.1, ,7/2, , , , , , , , , , , , , , , , , , , , 
23,65,94,Tb,799, ,15/2, , , , , , , , , , , , , , , , , , , , 
24,65,94,Tb,822.2, ,11/2, , , , , , , , , , , , , , , , , , , , 
25,65,94,Tb,854.962,0.014,1/2, , , , , , , , , , , , , , , , , , , , 
26,65,94,Tb,857.3, ,9/2, , , , , , , , , , , , , , , , , , , , 
27,65,94,Tb,859.98,0.07,17/2, ,3.98,20,ps,0.00000000000398,0.0000000000002, , , , , , , , , , , , , , 
28,65,94,Tb,891.25,0.06,5/2, , , , , , , , , , , , , , , , , , , , 
29,65,94,Tb,946, ,23/2, , , , , , , , , , , , , , , , , , , , 
30,65,94,Tb,971, ,1/2, , , , , , , , , , , , , , , , , , , , 
31,65,94,Tb,978, ,3/2, , , , , , , , , , , , , , , , , , , , 
32,65,94,Tb,1008.6, ,11/2, , , , , , , , , , , , , , , , , , , , 
33,65,94,Tb,1018, ,5/2, , , , , , , , , , , , , , , , , , , , 
34,65,94,Tb,1049, ,7/2, , , , , , , , , , , , , , , , , , , , 
35,65,94,Tb,1052.32,0.07,19/2, ,2.45,8,ps,0.00000000000245,0.00000000000008, , , , , , , , , , , , , , 
36,65,94,Tb,1086.5, ,0, , , , , , , , , , , , , , , , , , , , 
37,65,94,Tb,1099, ,5/2, , , , , , , , , , , , , , , , , , , , 
38,65,94,Tb,1102.5, ,7/2, , , , , , , , , , , , , , , , , , , , 
39,65,94,Tb,1156, ,1/2, , , , , , , , , , , , , , , , , , , , 
40,65,94,Tb,1218, ,25/2, , , , , , , , , , , , , , , , , , , , 
41,65,94,Tb,1264, ,0, , , , , , , , , , , , , , , , , , , , 
42,65,94,Tb,1282.56,0.1,21/2, ,1.57,16,ps,0.00000000000157,0.00000000000016, , , , , , , , , , , , , , 
43,65,94,Tb,1325, ,0, , , , , , , , , , , , , , , , , , , , 
44,65,94,Tb,1358, ,0, , , , , , , , , , , , , , , , , , , , 
45,65,94,Tb,1392, ,29/2, , , , , , , , , , , , , , , , , , , , 
46,65,94,Tb,1439, ,0, , , , , , , , , , , , , , , , , , , , 
