,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,68,95,Er,0, ,5/2, ,75.0,4,m,4500,24,EC+B+,100, , , , , , , , ,0.557, ,2.55, 
2,68,95,Er,69.23,0.01,5/2, ,8.3,5,ns,0.0000000083,0.0000000005, , , , , , , , , , , , , , 
3,68,95,Er,83.96,0.01,7/2, ,0.92,8,ns,0.00000000092,0.00000000008, , , , , , , , , , , , , , 
4,68,95,Er,91.55,0.01,7/2, , , , , , , , , , , , , , , , , , , , 
5,68,95,Er,104.32,0.01,3/2, ,0.52,5,ns,0.00000000052,0.00000000005, , , , , , , , , , , , , , 
6,68,95,Er,120.35,0.02,9/2, , , , , , , , , , , , , , , , , , , , 
7,68,95,Er,164.42,0.01,5/2, , , , , , , , , , , , , , , , , , , , 
8,68,95,Er,189.7,0.2,9/2, , , , , , , , , , , , , , , , , , , , 
9,68,95,Er,199.3,0.2,11/2, , , , , , , , , , , , , , , , , , , , 
10,68,95,Er,247,0.2,13/2, , , , , , , , , , , , , , , , , , , , 
11,68,95,Er,249.53,0.01,7/2, , , , , , , , , , , , , , , , , , , , 
12,68,95,Er,319.7,0.2,11/2, , , , , , , , , , , , , , , , , , , , 
13,68,95,Er,345.62,0.01,1/2, , , , , , , , , , , , , , , , , , , , 
14,68,95,Er,359.8,0.3,9/2, , , , , , , , , , , , , , , , , , , , 
15,68,95,Er,404,0.01,3/2, , , , , , , , , , , , , , , , , , , , 
16,68,95,Er,411.9,0.2,15/2, , , , , , , , , , , , , , , , , , , , 
17,68,95,Er,439.54,0.01,5/2, , , , , , , , , , , , , , , , , , , , 
18,68,95,Er,445.5,0.6,11/2, ,0.58,10,us,0.00000058,0.0000001, , , , , , , , , , , , , , 
19,68,95,Er,462.48,0.02,3/2, , , , , , , , , , , , , , , , , , , , 
20,68,95,Er,464,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
21,68,95,Er,466.1,0.2,13/2, , , , , , , , , , , , , , , , , , , , 
22,68,95,Er,496.2,0.3,11/2, , , , , , , , , , , , , , , , , , , , 
23,68,95,Er,526.33,0.04,5/2, , , , , , , , , , , , , , , , , , , , 
24,68,95,Er,531.07,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
25,68,95,Er,540.56,0.03,1/2, , , , , , , , , , , , , , , , , , , , 
26,68,95,Er,553,3,0, , , , , , , , , , , , , , , , , , , , 
27,68,95,Er,573,3,7/2, , , , , , , , , , , , , , , , , , , , 
28,68,95,Er,574.08,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
29,68,95,Er,610,3,5/2, , , , , , , , , , , , , , , , , , , , 
30,68,95,Er,616.5,0.5,13/2, , , , , , , , , , , , , , , , , , , , 
31,68,95,Er,619.36,0.02,3/2, , , , , , , , , , , , , , , , , , , , 
32,68,95,Er,636,3,9/2, , , , , , , , , , , , , , , , , , , , 
33,68,95,Er,639.6,0.2,15/2, , , , , , , , , , , , , , , , , , , , 
34,68,95,Er,655.3,0.3,13/2, , , , , , , , , , , , , , , , , , , , 
35,68,95,Er,664.86,0.03,5/2, , , , , , , , , , , , , , , , , , , , 
36,68,95,Er,683.75,0.02,1/2, , , , , , , , , , , , , , , , , , , , 
37,68,95,Er,698,3,7/2, , , , , , , , , , , , , , , , , , , , 
38,68,95,Er,717.39,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
39,68,95,Er,735,0.2,19/2, , , , , , , , , , , , , , , , , , , , 
40,68,95,Er,735.38,0.02, 3/2, , , , , , , , , , , , , , , , , , , , 
41,68,95,Er,759,3,0, , , , , , , , , , , , , , , , , , , , 
42,68,95,Er,777.1,0.2,21/2, , , , , , , , , , , , , , , , , , , , 
43,68,95,Er,779.63,0.04,5/2, , , , , , , , , , , , , , , , , , , , 
44,68,95,Er,805, ,9/2, , , , , , , , , , , , , , , , , , , , 
45,68,95,Er,809.7,0.5,15/2, , , , , , , , , , , , , , , , , , , , 
46,68,95,Er,820.6,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
47,68,95,Er,827,3,0, , , , , , , , , , , , , , , , , , , , 
