,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,67,99,Ho,0, ,0, ,26.824,12,h,96566.4,43.2,B-,100, , , , , , , , , , , , 
2,67,99,Ho,5.969,0.012,7, ,1.20E3,18,Y,37868311169.5104,5680246675.42656,B-,100, , , , , , , , ,3.6, ,-3, 
3,67,99,Ho,54.2391,0.0007,2, ,3.44,12,ns,0.00000000344,0.00000000012, , , , , , , , , , ,0.068, , , 
4,67,99,Ho,82.4707,0.002,1,LE,0.3, ,ns,0.0000000003, , , , , , , , , , , , , , , 
5,67,99,Ho,137.729,0.013,8, , , , , , , , , , , , , , , , , , , , 
6,67,99,Ho,171.0738,0.0012,3, , , , , , , , , , , , , , , , , , , , 
7,67,99,Ho,180.467,0.003,4, , , , , , , , , , , , , , , , , , , , 
8,67,99,Ho,190.9021,0.002,3, ,185,15,us,0.000185,0.000015,IT,100, , , , , , , , , , , , 
9,67,99,Ho,260.6625,0.0023,4,LE,0.5, ,ns,0.0000000005, , , , , , , , , , , , , , , 
10,67,99,Ho,263.7876,0.0024,5,LE,0.5, ,ns,0.0000000005, , , , , , , , , , , , , , , 
11,67,99,Ho,286.96,0.13,9, , , , , , , , , , , , , , , , , , , , 
12,67,99,Ho,295.085,0.009,6, ,1.10,15,ns,0.0000000011,0.00000000015, , , , , , , , , , , , , , 
13,67,99,Ho,296.8,1.2,1 6, , , , , , , , , , , , , , , , , , , , 
14,67,99,Ho,329.774,0.004,5, , , , , , , , , , , , , , , , , , , , 
15,67,99,Ho,348.257,0.003,5, , , , , , , , , , , , , , , , , , , , 
16,67,99,Ho,371.985,0.003,4,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
17,67,99,Ho,373.092,0.008,1,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
18,67,99,Ho,375.3,1.4,6, , , , , , , , , , , , , , , , , , , , 
19,67,99,Ho,377.806,0.004,6, , , , , , , , , , , , , , , , , , , , 
20,67,99,Ho,379.547,0.004,6, , , , , , , , , , , , , , , , , , , , 
21,67,99,Ho,384.23,0.16,0, , , , , , , , , , , , , , , , , , , , 
22,67,99,Ho,416.086,0.006,2,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
23,67,99,Ho,423.651,0.01,7, , , , , , , , , , , , , , , , , , , , 
24,67,99,Ho,426.025,0.006,1, , , , , , , , , , , , , , , , , , , , 
25,67,99,Ho,430.031,0.004,2,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
26,67,99,Ho,431.239,0.006,5, , , , , , , , , , , , , , , , , , , , 
27,67,99,Ho,453.771,0.004,6, , , , , , , , , , , , , , , , , , , , 
28,67,99,Ho,464.501,0.006,2, , , , , , , , , , , , , , , , , , , , 
29,67,99,Ho,470.841,0.003,5, , , , , , , , , , , , , , , , , , , , 
30,67,99,Ho,475.68,0.007,3,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
31,67,99,Ho,481.846,0.004,3,LE,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , 
32,67,99,Ho,514.362,0.007,7, , , , , , , , , , , , , , , , , , , , 
33,67,99,Ho,521.982,0.006,3, , , , , , , , , , , , , , , , , , , , 
34,67,99,Ho,529.816,0.008,6, , , , , , , , , , , , , , , , , , , , 
35,67,99,Ho,543.672,0.004,2, , , , , , , , , , , , , , , , , , , , 
36,67,99,Ho,547.934,0.005,4, , , , , , , , , , , , , , , , , , , , 
37,67,99,Ho,557.65,0.07,7, , , , , , , , , , , , , , , , , , , , 
38,67,99,Ho,558.571,0.004,4, , , , , , , , , , , , , , , , , , , , 
39,67,99,Ho,562.89,0.007,4, , , , , , , , , , , , , , , , , , , , 
40,67,99,Ho,567.624,0.007,1, , , , , , , , , , , , , , , , , , , , 
41,67,99,Ho,577.208,0.007,7, , , , , , , , , , , , , , , , , , , , 
42,67,99,Ho,588.083,0.007,6, , , , , , , , , , , , , , , , , , , , 
43,67,99,Ho,592.501,0.009,3, , , , , , , , , , , , , , , , , , , , 
44,67,99,Ho,595.726,0.015,1, , , , , , , , , , , , , , , , , , , , 
45,67,99,Ho,597.015,0.004,3, , , , , , , , , , , , , , , , , , , , 
46,67,99,Ho,598.448,0.006,4, , , , , , , , , , , , , , , , , , , , 
47,67,99,Ho,605.047,0.007,2, , , , , , , , , , , , , , , , , , , , 
48,67,99,Ho,628.418,0.013,2 3, , , , , , , , , , , , , , , , , , , , 
49,67,99,Ho,634.314,0.006,5, , , , , , , , , , , , , , , , , , , , 
50,67,99,Ho,638.235,0.009,2, , , , , , , , , , , , , , , , , , , , 
51,67,99,Ho,644.29,0.06,7, , , , , , , , , , , , , , , , , , , , 
52,67,99,Ho,651.5,0.8,3 4, , , , , , , , , , , , , , , , , , , , 
53,67,99,Ho,654.818,0.014,5, , , , , , , , , , , , , , , , , , , , 
54,67,99,Ho,657.995,0.011,5, , , , , , , , , , , , , , , , , , , , 
55,67,99,Ho,659.01,0.04,0, , , , , , , , , , , , , , , , , , , , 
56,67,99,Ho,662.169,0.008,3, , , , , , , , , , , , , , , , , , , , 
57,67,99,Ho,668.005,0.006,4, , , , , , , , , , , , , , , , , , , , 
58,67,99,Ho,671.749,0.012,4, , , , , , , , , , , , , , , , , , , , 
59,67,99,Ho,683.805,0.005,3, , , , , , , , , , , , , , , , , , , , 
60,67,99,Ho,693.388,0.017,2 3 4, , , , , , , , , , , , , , , , , , , , 
