,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,70,101,Yb,0, ,1/2, ,STABLE, , , , , , , , , , , , , , ,0.49367, , , 
2,70,101,Yb,66.732,0.002,3/2, ,0.79,5,ns,0.00000000079,0.00000000005, , , , , , , , , , ,0.35, ,-2.34, 
3,70,101,Yb,75.882,0.002,5/2, ,1.64,16,ns,0.00000000164,0.00000000016, , , , , , , , , , ,1.015, ,-2.22, 
4,70,101,Yb,95.282,0.002,7/2, ,5.25,24,ms,0.00525,0.00024,IT,100, , , , , , , , , , , , 
5,70,101,Yb,122.416,0.002,5/2, ,265,20,ns,0.000000265,0.00000002, , , , , , , , , , , , , , 
6,70,101,Yb,167.662,0.003,9/2, , , , , , , , , , , , , , , , , , , , 
7,70,101,Yb,208.019,0.004,7/2, , , , , , , , , , , , , , , , , , , , 
8,70,101,Yb,230.631,0.011,7/2, ,155,8,ps,0.000000000155,0.000000000008, , , , , , , , , , ,0.83, , , 
9,70,101,Yb,246.617,0.01,9/2, ,149,4,ps,0.000000000149,0.000000000004, , , , , , , , , , ,1.53, , , 
10,70,101,Yb,259.07,0.005,11/2, , , , , , , , , , , , , , , , , , , , 
11,70,101,Yb,317.309,0.004,9/2, , , , , , , , , , , , , , , , , , , , 
12,70,101,Yb,368.91,0.11,13/2, , , , , , , , , , , , , , , , , , , , 
13,70,101,Yb,449.599,0.015,11/2, , , , , , , , , , , , , , , , , , , , 
14,70,101,Yb,487.29,0.03,11/2, ,21.39,19,ps,0.00000000002139,0.00000000000019, , , , , , , , , , ,1.54, , , 
15,70,101,Yb,501.37,0.13,15/2, , , , , , , , , , , , , , , , , , , , 
16,70,101,Yb,509.32,0.16,13/2, ,21.3,4,ps,0.0000000000213,0.0000000000004, , , , , , , , , , ,2.31, , , 
17,70,101,Yb,604.38,0.12,13/2, , , , , , , , , , , , , , , , , , , , 
18,70,101,Yb,648.22,0.13,17/2, , , , , , , , , , , , , , , , , , , , 
19,70,101,Yb,766.3,1.1,3/2, , , , , , , , , , , , , , , , , , , , 
20,70,101,Yb,780.32,0.13,15/2, , , , , , , , , , , , , , , , , , , , 
21,70,101,Yb,826.11,0.15,19/2, , , , , , , , , , , , , , , , , , , , 
22,70,101,Yb,833.08,0.16,15/2, ,4.3,3,ps,0.0000000000043,0.0000000000003, , , , , , , , , , ,2.1, , , 
23,70,101,Yb,835.082,0.005,7/2, , , , , , , , , , , , , , , , , , , , 
24,70,101,Yb,860.16,0.2,17/2, ,4.19,18,ps,0.00000000000419,0.00000000000018, , , , , , , , , , ,2.83, , , 
25,70,101,Yb,867, ,0, , , , , , , , , , , , , , , , , , , , 
26,70,101,Yb,876,3,0, , , , , , , , , , , , , , , , , , , , 
27,70,101,Yb,902.25,0.02,3/2, , , , , , , , , , , , , , , , , , , , 
28,70,101,Yb,907.2,1.6, 3/2, , , , , , , , , , , , , , , , , , , , 
29,70,101,Yb,935.261,0.015,9/2, , , , , , , , , , , , , , , , , , , , 
30,70,101,Yb,944.35,0.03,5/2, , , , , , , , , , , , , , , , , , , , 
31,70,101,Yb,948.371,0.008,9/2, , , , , , , , , , , , , , , , , , , , 
32,70,101,Yb,953,1.5,1/2, , , , , , , , , , , , , , , , , , , , 
33,70,101,Yb,958.31,0.1,5/2, , , , , , , , , , , , , , , , , , , , 
34,70,101,Yb,971,3,7/2, , , , , , , , , , , , , , , , , , , , 
35,70,101,Yb,976.38,0.14,17/2, , , , , , , , , , , , , , , , , , , , 
36,70,101,Yb,980.91,0.13,13/2, , , , , , , , , , , , , , , , , , , , 
37,70,101,Yb,984.037,0.021,9/2, , , , , , , , , , , , , , , , , , , , 
38,70,101,Yb,988.2,1.5, 3/2, , , , , , , , , , , , , , , , , , , , 
39,70,101,Yb,991.7,1.1,3/2, , , , , , , , , , , , , , , , , , , , 
40,70,101,Yb,1004.77,0.16,21/2, , , , , , , , , , , , , , , , , , , , 
41,70,101,Yb,1024.626,0.016,7/2, , , , , , , , , , , , , , , , , , , , 
42,70,101,Yb,1039.4,1.4, 3/2, , , , , , , , , , , , , , , , , , , , 
43,70,101,Yb,1052,3,5/2, , , , , , , , , , , , , , , , , , , , 
44,70,101,Yb,1080.971,0.024,5/2, , , , , , , , , , , , , , , , , , , , 
45,70,101,Yb,1083,3,9/2, , , , , , , , , , , , , , , , , , , , 
46,70,101,Yb,1093.3,0.03,9/2, , , , , , , , , , , , , , , , , , , , 
47,70,101,Yb,1114.03,0.15,15/2, , , , , , , , , , , , , , , , , , , , 
48,70,101,Yb,1119,1,13/2, , , , , , , , , , , , , , , , , , , , 
49,70,101,Yb,1127.68,0.04,9/2, , , , , , , , , , , , , , , , , , , , 
50,70,101,Yb,1144,3,7/2, , , , , , , , , , , , , , , , , , , , 
51,70,101,Yb,1175, ,0, , , , , , , , , , , , , , , , , , , , 
52,70,101,Yb,1188,3,0, , , , , , , , , , , , , , , , , , , , 
53,70,101,Yb,1190.43,0.14,19/2, , , , , , , , , , , , , , , , , , , , 
54,70,101,Yb,1204,3,11/2, , , , , , , , , , , , , , , , , , , , 
55,70,101,Yb,1234.29,0.16,23/2, , , , , , , , , , , , , , , , , , , , 
56,70,101,Yb,1244, ,0, , , , , , , , , , , , , , , , , , , , 
57,70,101,Yb,1254,3,9/2, , , , , , , , , , , , , , , , , , , , 
58,70,101,Yb,1263.63,0.21,19/2, , , , , , , , , , , , , , , , ,2.5, , , 
59,70,101,Yb,1265.86,0.16,17/2, , , , , , , , , , , , , , , , , , , , 
60,70,101,Yb,1280,3,0, , , , , , , , , , , , , , , , , , , , 
61,70,101,Yb,1290,3,0, , , , , , , , , , , , , , , , , , , , 
62,70,101,Yb,1294.54,0.25,21/2, , , , , , , , , , , , , , , , ,3.1, , , 
63,70,101,Yb,1300, ,0, , , , , , , , , , , , , , , , , , , , 
64,70,101,Yb,1320,3,0, , , , , , , , , , , , , , , , , , , , 
65,70,101,Yb,1331.2,1.3,3/2, , , , , , , , , , , , , , , , , , , , 
66,70,101,Yb,1343,5,0, , , , , , , , , , , , , , , , , , , , 
67,70,101,Yb,1356, ,0, , , , , , , , , , , , , , , , , , , , 
