,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,71,102,Lu,0, ,7/2, ,1.37,1,Y,43232988.58519104,315569.25974592,EC,100, , , , , , , , ,2.34, , , 
2,71,102,Lu,117.181,0.013,9/2, , , , , , , , , , , , , , , , , , , , 
3,71,102,Lu,123.672,0.013,5/2, ,74.2,10,us,0.0000742,0.000001, , , , , , , , , , , , , , 
4,71,102,Lu,128.343,0.015,1/2, ,5.2,5,ns,0.0000000052,0.0000000005, , , , , , , , , , , , , , 
5,71,102,Lu,198.47,0.07,9/2, , , , , , , , , , , , , , , , , , , , 
6,71,102,Lu,258.56,0.07,11/2, , , , , , , , , , , , , , , , , , , , 
7,71,102,Lu,263.306,0.015,3/2,LE,0.16, ,ns,0.00000000016, , , , , , , , , , , , , , , 
8,71,102,Lu,356.996,0.015,5/2, ,383,19,ps,0.000000000383,0.000000000019, , , , , , , , , , , , , , 
9,71,102,Lu,358.7,0.1,13/2, , , , , , , , , , , , , , , , , , , , 
10,71,102,Lu,423.62,0.09,13/2, , , , , , , , , , , , , , , , , , , , 
11,71,102,Lu,425.317,0.016,1/2, ,0.84,20,ns,0.00000000084,0.0000000002, , , , , , , , , , , , , , 
12,71,102,Lu,428.1,0.07,7/2, , , , , , , , , , , , , , , , , , , , 
13,71,102,Lu,434.912,0.015,3/2, ,0.38,10,ns,0.00000000038,0.0000000001, , , , , , , , , , , , , , 
14,71,102,Lu,448.98,0.08,9/2, ,0.58,12,ns,0.00000000058,0.00000000012, , , , , , , , , , , , , , 
15,71,102,Lu,451.1,0.08,7/2, , , , , , , , , , , , , , , , , , , , 
16,71,102,Lu,552.093,0.018,5/2, , , , , , , , , , , , , , , , , , , , 
17,71,102,Lu,570.8,0.11,9/2, , , , , , , , , , , , , , , , , , , , 
18,71,102,Lu,576.32,0.09,7/2, , , , , , , , , , , , , , , , , , , , 
19,71,102,Lu,580.08,0.1,11/2, , , , , , , , , , , , , , , , , , , , 
20,71,102,Lu,606.69,0.13,17/2, , , , , , , , , , , , , , , , , , , , 
21,71,102,Lu,611.4,0.1,15/2, , , , , , , , , , , , , , , , , , , , 
22,71,102,Lu,654.36,0.1,11/2, , , , , , , , , , , , , , , , , , , , 
23,71,102,Lu,715.3,0.13,11/2, , , , , , , , , , , , , , , , , , , , 
