,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,72,106,Hf,0, ,0, ,STABLE, , , , , , , , , , , , , , , , , , 
2,72,106,Hf,93.1803,0.001,2, ,1.494,23,ns,0.000000001494,0.000000000023, , , , , , , , , , ,0.48, ,-2.02, 
3,72,106,Hf,306.6182,0.0022,4, , , , , , , , , , , , , , , , , , , , 
4,72,106,Hf,632.178,0.004,6, ,11.2,6,ps,0.0000000000112,0.0000000000006, , , , , , , , , , , , , , 
5,72,106,Hf,1058.55,0.006,8, ,2.77,6,ps,0.00000000000277,0.00000000000006, , , , , , , , , , , , , , 
6,72,106,Hf,1147.416,0.006,8, ,4.0,2,s,4,0.2,IT,100, , , , , , , , , , , , 
7,72,106,Hf,1174.63,0.004,2, ,0.62,2,ps,0.00000000000062,0.00000000000002, , , , , , , , , , , , , , 
8,72,106,Hf,1199.385,0.011,0, , , , , , , , , , , , , , , , , , , , 
9,72,106,Hf,1260.248,0.004,2, , , , , , , , , , , , , , , , , , , , 
10,72,106,Hf,1268.537,0.004,3, , , , , , , , , , , , , , , , , , , , 
11,72,106,Hf,1276.692,0.004,2, ,0.49,+15-10,ps,0.00000000000049, , , , , , , , , , , , , , , 
12,72,106,Hf,1310.068,0.004,1, , , , , , , , , , , , , , , , , , , , 
13,72,106,Hf,1322.463,0.004,3, , , , , , , , , , , , , , , , , , , , 
14,72,106,Hf,1362.551,0.004,2, , , , , , , , , , , , , , , , , , , , 
15,72,106,Hf,1364.078,0.009,9, , , , , , , , , , , , , , , , , , , , 
16,72,106,Hf,1384.461,0.004,4, , , , , , , , , , , , , , , , , , , , 
17,72,106,Hf,1409.439,0.004,4, , , , , , , , , , , , , , , , , , , , 
18,72,106,Hf,1433.623,0.004,3, , , , , , , , , , , , , , , , , , , , 
19,72,106,Hf,1434.23,0.02,0, , , , , , , , , , , , , , , , , , , , 
20,72,106,Hf,1443.934,0.01,0, , , , , , , , , , , , , , , , , , , , 
21,72,106,Hf,1450.363,0.005,4, ,1.0,9,ps,0.000000000001,0.0000000000009, , , , , , , , , , , , , , 
22,72,106,Hf,1479.025,0.007,8, , , , , , , , , , , , , , , , , , , , 
23,72,106,Hf,1496.449,0.017,2, ,0.9,2,ps,0.0000000000009,0.0000000000002, , , , , , , , , , , , , , 
24,72,106,Hf,1512.592,0.004,5, , , , , , , , , , , , , , , , , , , , 
25,72,106,Hf,1513.607,0.009,2, , , , , , , , , , , , , , , , , , , , 
26,72,106,Hf,1513.68,0.07,0, , , , , , , , , , , , , , , , , , , , 
27,72,106,Hf,1513.831,0.004,4, ,62, ,ps,0.000000000062, , , , , , , , , , , , , , , 
28,72,106,Hf,1533.153,0.005,5, , , , , , , , , , , , , , , , , , , , 
29,72,106,Hf,1538.79,0.004,4, , , , , , , , , , , , , , , , , , , , 
30,72,106,Hf,1553.997,0.004,6, ,77.5,7,ns,0.0000000775,0.0000000007, , , , , , , , , , ,5.84, , , 
31,72,106,Hf,1561.54,0.005,2, , , , , , , , , , , , , , , , , , , , 
32,72,106,Hf,1566.668,0.004,2, , , , , , , , , , , , , , , , , , , , 
33,72,106,Hf,1570.3,0.8,10, ,1.03,3,ps,0.00000000000103,0.00000000000003, , , , , , , , , , , , , , 
34,72,106,Hf,1601.484,0.01,10, , , , , , , , , , , , , , , , , , , , 
35,72,106,Hf,1635.603,0.005,4, , , , , , , , , , , , , , , , , , , , 
36,72,106,Hf,1636.727,0.004,5, ,0.4,1,ns,0.0000000004,0.0000000001, , , , , , , , , , , , , , 
37,72,106,Hf,1639.758,0.004,3, , , , , , , , , , , , , , , , , , , , 
38,72,106,Hf,1640.452,0.004,5, , , , , , , , , , , , , , , , , , , , 
39,72,106,Hf,1648.838,0.005,6, , , , , , , , , , , , , , , , , , , , 
40,72,106,Hf,1651.459,0.004,5, , , , , , , , , , , , , , , , , , , , 
41,72,106,Hf,1654.3,0.6,4, , , , , , , , , , , , , , , , , , , , 
42,72,106,Hf,1691.083,0.011,6, , , , , , , , , , , , , , , , , , , , 
43,72,106,Hf,1697.5,1,9, , , , , , , , , , , , , , , , , , , , 
44,72,106,Hf,1731.064,0.004,6, , , , , , , , , , , , , , , , , , , , 
45,72,106,Hf,1741.7,0.8,7, , , , , , , , , , , , , , , , , , , , 
46,72,106,Hf,1747.102,0.004,4, , , , , , , , , , , , , , , , , , , , 
47,72,106,Hf,1758.143,0.004,3, , , , , , , , , , , , , , , , , , , , 
48,72,106,Hf,1772.15,0.07,0, , , , , , , , , , , , , , , , , , , , 
49,72,106,Hf,1781.264,0.004,6, , , , , , , , , , , , , , , , , , , , 
50,72,106,Hf,1788.598,0.004,6, , , , , , , , , , , , , , , , , , , , 
51,72,106,Hf,1803.389,0.004,3, , , , , , , , , , , , , , , , , , , , 
52,72,106,Hf,1808.275,0.004,2, , , , , , , , , , , , , , , , , , , , 
53,72,106,Hf,1818.286,0.007,2, ,0.50,23,ps,0.0000000000005,0.00000000000023, , , , , , , , , , , , , , 
54,72,106,Hf,1857.151,0.005,2, , , , , , , , , , , , , , , , , , , , 
55,72,106,Hf,1859.118,0.012,11, , , , , , , , , , , , , , , , , , , , 
56,72,106,Hf,1862.207,0.004,3, , , , , , , , , , , , , , , , , , , , 
57,72,106,Hf,1863.712,0.004,5, , , , , , , , , , , , , , , , , , , , 
58,72,106,Hf,1869.84,0.004,4, , , , , , , , , , , , , , , , , , , , 
59,72,106,Hf,1890,0.9,7, , , , , , , , , , , , , , , , , , , , 
60,72,106,Hf,1891.304,0.008,2, , , , , , , , , , , , , , , , , , , , 
61,72,106,Hf,1913.617,0.004,4, , , , , , , , , , , , , , , , , , , , 
62,72,106,Hf,1917.436,0.004,3, , , , , , , , , , , , , , , , , , , , 
63,72,106,Hf,1939.1,0.7,10, , , , , , , , , , , , , , , , , , , , 
64,72,106,Hf,1942.007,0.005,1 2 3, , , , , , , , , , , , , , , , , , , , 
65,72,106,Hf,1947.951,0.004,7, , , , , , , , , , , , , , , , , , , , 
66,72,106,Hf,1952,0.8,8, , , , , , , , , , , , , , , , , , , , 
67,72,106,Hf,1953.132,0.005,4, , , , , , , , , , , , , , , , , , , , 
68,72,106,Hf,1953.682,0.005,7, , , , , , , , , , , , , , , , , , , , 
69,72,106,Hf,1956.423,0.005,4, , , , , , , , , , , , , , , , , , , , 
70,72,106,Hf,1986.45,0.004,1 2 3, , , , , , , , , , , , , , , , , , , , 
71,72,106,Hf,1997.466,0.008,3, , , , , , , , , , , , , , , , , , , , 
72,72,106,Hf,2007.566,0.004,4 3, , , , , , , , , , , , , , , , , , , , 
