,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,76,109,Os,0, ,1/2, ,93.6,5,d,8087040,43200,EC,100, , , , , , , , , , , , 
2,76,109,Os,37.45,0.06,3/2, , , , , , , , , , , , , , , , , , , , 
3,76,109,Os,97.47,0.06,5/2, , , , , , , , , , , , , , , , , , , , 
4,76,109,Os,102.37,0.11,7/2, ,3.0,4,us,0.000003,0.0000004, , , , , , , , , , , , , , 
5,76,109,Os,127.95,0.07,3/2, , , , , , , , , , , , , , , , , , , , 
6,76,109,Os,198.19,0.06,7/2, , , , , , , , , , , , , , , , , , , , 
7,76,109,Os,222.41,0.07,5/2, , , , , , , , , , , , , , , , , , , , 
8,76,109,Os,260.64,0.1,9/2, , , , , , , , , , , , , , , , , , , , 
9,76,109,Os,275.53,0.12,11/2, ,0.78,5,us,0.00000078,0.00000005, , , , , , , , , , , , , , 
10,76,109,Os,317.86,0.07,9/2, , , , , , , , , , , , , , , , , , , , 
11,76,109,Os,351.7,0.07,7/2, , , , , , , , , , , , , , , , , , , , 
12,76,109,Os,402.4,0.11,9/2, , , , , , , , , , , , , , , , , , , , 
13,76,109,Os,406.6,0.24, 3/2, , , , , , , , , , , , , , , , , , , , 
14,76,109,Os,414.18,0.12,13/2, , , , , , , , , , , , , , , , , , , , 
15,76,109,Os,448.69,0.1,11/2, , , , , , , , , , , , , , , , , , , , 
16,76,109,Os,468.79,0.21, 3/2, , , , , , , , , , , , , , , , , , , , 
17,76,109,Os,476.53,0.09,11/2, , , , , , , , , , , , , , , , , , , , 
18,76,109,Os,505.25,0.15,9/2, , , , , , , , , , , , , , , , , , , , 
19,76,109,Os,539.4,0.6,0, , , , , , , , , , , , , , , , , , , , 
20,76,109,Os,590.31,0.11,15/2, , , , , , , , , , , , , , , , , , , , 
21,76,109,Os,591.25,0.12,11/2, , , , , , , , , , , , , , , , , , , , 
22,76,109,Os,599,7,3/2, , , , , , , , , , , , , , , , , , , , 
23,76,109,Os,626.7,0.5,0, , , , , , , , , , , , , , , , , , , , 
24,76,109,Os,642.24,0.25, 5/2, , , , , , , , , , , , , , , , , , , , 
25,76,109,Os,646.28,0.24,0, , , , , , , , , , , , , , , , , , , , 
26,76,109,Os,660.26,0.09,13/2, , , , , , , , , , , , , , , , , , , , 
27,76,109,Os,666.23,0.09,13/2, , , , , , , , , , , , , , , , , , , , 
28,76,109,Os,679,7,0, , , , , , , , , , , , , , , , , , , , 
29,76,109,Os,706.78,0.09,11/2, , , , , , , , , , , , , , , , , , , , 
30,76,109,Os,729.32,0.12, 7/2, , , , , , , , , , , , , , , , , , , , 
31,76,109,Os,746.5,0.3,0, , , , , , , , , , , , , , , , , , , , 
32,76,109,Os,776.33,0.11,17/2, , , , , , , , , , , , , , , , , , , , 
33,76,109,Os,781.93,0.12,13/2, , , , , , , , , , , , , , , , , , , , 
34,76,109,Os,797.1,0.7, 5/2, , , , , , , , , , , , , , , , , , , , 
35,76,109,Os,802,7,5/2, , , , , , , , , , , , , , , , , , , , 
36,76,109,Os,843.29,0.22, 5/2, , , , , , , , , , , , , , , , , , , , 
37,76,109,Os,864.95,0.1,15/2, , , , , , , , , , , , , , , , , , , , 
38,76,109,Os,879.6,0.7, 5/2, , , , , , , , , , , , , , , , , , , , 
39,76,109,Os,903,0.21,13/2, , , , , , , , , , , , , , , , , , , , 
40,76,109,Os,907.34,0.1,15/2, , , , , , , , , , , , , , , , , , , , 
41,76,109,Os,965.2,0.4, 3/2, , , , , , , , , , , , , , , , , , , , 
