,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,79,114,Au,0, ,3/2, ,17.65,15,h,63540,540,EC+B+,100, , , , , , , , ,0.1396, ,0.664, 
2,79,114,Au,38.234,0.017,1/2, ,3.81,18,ns,0.00000000381,0.00000000018, , , , , , , , , , , , , , 
3,79,114,Au,224.8,0.03,3/2,LT,0.03, ,ns,0.00000000003, , , , , , , , , , , , , , , 
4,79,114,Au,257.986,0.021,5/2, ,45,20,ps,0.000000000045,0.00000000002, , , , , , , , , , , , , , 
5,79,114,Au,290.2,0.04,11/2, ,3.9,3,s,3.9,0.3,IT,99.97, ,EC+B+,0.03, , , , , ,6.18, ,1.98, 
6,79,114,Au,381.62,0.03,5/2, , , , , , , , , , , , , , , , , , , , 
7,79,114,Au,508.27,0.04,7/2, ,0.29,2,ns,0.00000000029,0.00000000002, , , , , , , , , , , , , , 
8,79,114,Au,538.99,0.04,7/2, , , , , , , , , , , , , , , , , , , , 
9,79,114,Au,687.43,0.04,7/2, , , , , , , , , , , , , , , , , , , , 
10,79,114,Au,697.81,0.05,15/2, , , , , , , , , , , , , , , , , , , , 
11,79,114,Au,789.94,0.05,9/2, ,1.2,1,ns,0.0000000012,0.0000000001, , , , , , , , , , , , , , 
12,79,114,Au,808.57,0.05,9/2, , , , , , , , , , , , , , , , , , , , 
13,79,114,Au,828,0.09,3/2, , , , , , , , , , , , , , , , , , , , 
14,79,114,Au,863.36,0.05,13/2, , , , , , , , , , , , , , , , , , , , 
15,79,114,Au,890.8,0.05,9/2, , , , , , , , , , , , , , , , , , , , 
16,79,114,Au,929.09,0.05,9/2, , , , , , , , , , , , , , , , , , , , 
17,79,114,Au,983.59,0.11,7/2, , , , , , , , , , , , , , , , , , , , 
18,79,114,Au,1085.35,0.11,7/2, , , , , , , , , , , , , , , , , , , , 
19,79,114,Au,1089.34,0.09,0, , , , , , , , , , , , , , , , , , , , 
20,79,114,Au,1105.92,0.12,7/2, , , , , , , , , , , , , , , , , , , , 
21,79,114,Au,1106.4,0.5,11/2, , , , , , , , , , , , , , , , , , , , 
22,79,114,Au,1118.97,0.12,3/2, , , , , , , , , , , , , , , , , , , , 
23,79,114,Au,1131.84,0.06,11/2, , , , , , , , , , , , , , , , , , , , 
24,79,114,Au,1153.53,0.06,11/2, , , , , , , , , , , , , , , , , , , , 
25,79,114,Au,1194.31,0.07,13/2, , , , , , , , , , , , , , , , , , , , 
26,79,114,Au,1284.81,0.05,11/2, , , , , , , , , , , , , , , , , , , , 
27,79,114,Au,1297.41,0.16,11/2, , , , , , , , , , , , , , , , , , , , 
28,79,114,Au,1300.39,0.22,11/2, , , , , , , , , , , , , , , , , , , , 
29,79,114,Au,1330.9,0.14,9/2, , , , , , , , , , , , , , , , , , , , 
30,79,114,Au,1343.69,0.2, 9/2, , , , , , , , , , , , , , , , , , , , 
31,79,114,Au,1355.32,0.08,15/2, , , , , , , , , , , , , , , , , , , , 
32,79,114,Au,1372.94,0.1,17/2, , , , , , , , , , , , , , , , , , , , 
33,79,114,Au,1379.93,0.1,11/2, , , , , , , , , , , , , , , , , , , , 
34,79,114,Au,1398.51,0.06,13/2, , , , , , , , , , , , , , , , , , , , 
35,79,114,Au,1400.39,0.05,11/2, , , , , , , , , , , , , , , , , , , , 
36,79,114,Au,1413.03,0.16,9/2, , , , , , , , , , , , , , , , , , , , 
