,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,78,115,Pt,0, ,1/2, ,50,6,Y,1577846298.7296,189341555.847552,EC,100, , , , , , , , ,0.603, , , 
2,78,115,Pt,1.642,0.002,3/2, ,9.7,3,ns,0.0000000097,0.0000000003, , , , , , , , , , , , , , 
3,78,115,Pt,14.276,0.008,5/2, ,2.52,5,ns,0.00000000252,0.00000000005, , , , , , , , , , , , , , 
4,78,115,Pt,114.158,0.008,3/2, , , , , , , , , , , , , , , , , , , , 
5,78,115,Pt,121.29,0.03, 5/2, , , , , , , , , , , , , , , , , , , , 
6,78,115,Pt,149.78,0.04,13/2, ,4.33,3,d,374112,2592,IT,100, , , , , , , , ,-0.753, , , 
7,78,115,Pt,187.81,0.02,3/2, , , , , , , , , , , , , , , , , , , , 
8,78,115,Pt,199,0.2,11/2, , , , , , , , , , , , , , , , , , , , 
9,78,115,Pt,232.16,0.02,5/2, , , , , , , , , , , , , , , , , , , , 
10,78,115,Pt,269.83,0.02,3/2, , , , , , , , , , , , , , , , , , , , 
11,78,115,Pt,308,3,0, , , , , , , , , , , , , , , , , , , , 
12,78,115,Pt,331,10,0, , , , , , , , , , , , , , , , , , , , 
13,78,115,Pt,340,3,0, , , , , , , , , , , , , , , , , , , , 
14,78,115,Pt,415,3, 7/2, , , , , , , , , , , , , , , , , , , , 
15,78,115,Pt,425,3, 7/2, , , , , , , , , , , , , , , , , , , , 
16,78,115,Pt,434,3, 7/2, , , , , , , , , , , , , , , , , , , , 
17,78,115,Pt,439.05,0.03,3/2, , , , , , , , , , , , , , , , , , , , 
18,78,115,Pt,459,3, 7/2, , , , , , , , , , , , , , , , , , , , 
19,78,115,Pt,491,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
20,78,115,Pt,491.24,0.02,5/2, , , , , , , , , , , , , , , , , , , , 
21,78,115,Pt,519.6,0.1,15/2, , , , , , , , , , , , , , , , , , , , 
22,78,115,Pt,522.53,0.08, 5/2, , , , , , , , , , , , , , , , , , , , 
23,78,115,Pt,530,3, 3/2, , , , , , , , , , , , , , , , , , , , 
24,78,115,Pt,544,3, 7/2, , , , , , , , , , , , , , , , , , , , 
25,78,115,Pt,563,3, 3/2, , , , , , , , , , , , , , , , , , , , 
26,78,115,Pt,599,3, 7/2, , , , , , , , , , , , , , , , , , , , 
27,78,115,Pt,603.3,0.1,15/2, , , , , , , , , , , , , , , , , , , , 
28,78,115,Pt,622,4,0, , , , , , , , , , , , , , , , , , , , 
29,78,115,Pt,630,5, 7/2, , , , , , , , , , , , , , , , , , , , 
30,78,115,Pt,642,4,0, , , , , , , , , , , , , , , , , , , , 
31,78,115,Pt,665,3,13/2, , , , , , , , , , , , , , , , , , , , 
32,78,115,Pt,692,3,13/2, , , , , , , , , , , , , , , , , , , , 
33,78,115,Pt,700, , 3/2, , , , , , , , , , , , , , , , , , , , 
34,78,115,Pt,701,5, 7/2, , , , , , , , , , , , , , , , , , , , 
35,78,115,Pt,718,4,1/2, , , , , , , , , , , , , , , , , , , , 
36,78,115,Pt,728,5, 7/2, , , , , , , , , , , , , , , , , , , , 
37,78,115,Pt,755,5, 7/2, , , , , , , , , , , , , , , , , , , , 
38,78,115,Pt,828,4, 7/2, , , , , , , , , , , , , , , , , , , , 
39,78,115,Pt,846,5,3/2, , , , , , , , , , , , , , , , , , , , 
40,78,115,Pt,907.4,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
41,78,115,Pt,923,5,3/2, , , , , , , , , , , , , , , , , , , , 
42,78,115,Pt,969,10,0, , , , , , , , , , , , , , , , , , , , 
43,78,115,Pt,980.5,0.2,19/2, , , , , , , , , , , , , , , , , , , , 
44,78,115,Pt,984,4,0, , , , , , , , , , , , , , , , , , , , 
45,78,115,Pt,1003.4,0.4,21/2, , , , , , , , , , , , , , , , , , , , 
46,78,115,Pt,1014,5,0, , , , , , , , , , , , , , , , , , , , 
