,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,82,121,Pb,0, ,5/2, ,51.92,3,h,186912,108,EC,100, , , , , , , , ,0.6864, ,0.095, 
2,82,121,Pb,126.5,0.3,1/2, ,75,3,ns,0.000000075,0.000000003, , , , , , , , , , , , , , 
3,82,121,Pb,186.6,0.3,3/2, , , , , , , , , , , , , , , , , , , , 
4,82,121,Pb,595.1,0.5,3/2, , , , , , , , , , , , , , , , , , , , 
5,82,121,Pb,775,5,1/2, , , , , , , , , , , , , , , , , , , , 
6,82,121,Pb,820.3,0.3,7/2, , , , , , , , , , , , , , , , , , , , 
7,82,121,Pb,825.2,0.3,13/2, ,6.21,11,s,6.21,0.11,IT,100, , , , , , , , , , , , 
8,82,121,Pb,834,10,0, , , , , , , , , , , , , , , , , , , , 
9,82,121,Pb,866.4,0.5,5/2, , , , , , , , , , , , , , , , , , , , 
10,82,121,Pb,896.9,0.3,9/2, , , , , , , , , , , , , , , , , , , , 
11,82,121,Pb,909,10,0, , , , , , , , , , , , , , , , , , , , 
12,82,121,Pb,933.1,0.3,5/2, , , , , , , , , , , , , , , , , , , , 
13,82,121,Pb,969,10,0, , , , , , , , , , , , , , , , , , , , 
14,82,121,Pb,1033.8,0.3,7/2, , , , , , , , , , , , , , , , , , , , 
15,82,121,Pb,1084,7,0, , , , , , , , , , , , , , , , , , , , 
16,82,121,Pb,1161.1,0.4,7/2, , , , , , , , , , , , , , , , , , , , 
17,82,121,Pb,1177,10,0, , , , , , , , , , , , , , , , , , , , 
18,82,121,Pb,1198.6,0.4,9/2, , , , , , , , , , , , , , , , , , , , 
19,82,121,Pb,1203,0.5,7/2, , , , , , , , , , , , , , , , , , , , 
20,82,121,Pb,1262,7,0, , , , , , , , , , , , , , , , , , , , 
21,82,121,Pb,1536.5,0.4,7/2, , , , , , , , , , , , , , , , , , , , 
22,82,121,Pb,1547.7,0.4,9/2, , , , , , , , , , , , , , , , , , , , 
23,82,121,Pb,1560,20,0, , , , , , , , , , , , , , , , , , , , 
