,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,83,127,Bi,0, ,1, ,5.012,5,d,433036.8,432,B-,100, ,A,0.000132,0.00001, , , , ,-0.04451, ,0.136, 
2,83,127,Bi,46.539,0.001,0,LT,3, ,ns,0.000000003, , , , , , , , , , , , , , , 
3,83,127,Bi,271.31,0.11,9, ,3.04E+6,6,Y,95933054962759.69,1893415558475.52,A,100, , , , , , , , ,2.728, ,-0.471, 
4,83,127,Bi,319.73,0.04,2, ,5.2,10,ps,0.0000000000052,0.000000000001, , , , , , , , , , , , , , 
5,83,127,Bi,347.95,0.04,3, , , , , , , , , , , , , , , , , , , , 
6,83,127,Bi,433.48,0.12,7, ,57.5,10,ns,0.0000000575,0.000000001, , , , , , , , , , ,2.114, , , 
7,83,127,Bi,439.24,0.04,5, ,38,1,ns,0.000000038,0.000000001, , , , , , , , , , ,1.53, , , 
8,83,127,Bi,502.84,0.04,4,LT,1.4, ,ns,0.0000000014, , , , , , , , , , , , , , , 
9,83,127,Bi,550.04,0.04,6,LT,1.4, ,ns,0.0000000014, , , , , , , , , , , , , , , 
10,83,127,Bi,563.16,0.05,1, , , , , , , , , , , , , , , , , , , , 
11,83,127,Bi,582.54,0.12,8,LT,1.7, ,ps,0.0000000000017, , , , , , , , , , , , , , , 
12,83,127,Bi,669,0.5,10, ,100,18,ps,0.0000000001,0.000000000018, , , , , , , , , , , , , , 
13,83,127,Bi,916.11,0.13,8, , , , , , , , , , , , , , , , , , , , 
14,83,127,Bi,971.92,0.05,2, , , , , , , , , , , , , , , , , , , , 
15,83,127,Bi,993.72,0.05,3, , , , , , , , , , , , , , , , , , , , 
16,83,127,Bi,1164.64,0.06,1, , , , , , , , , , , , , , , , , , , , 
17,83,127,Bi,1175.33,0.05,2, , , , , , , , , , , , , , , , , , , , 
18,83,127,Bi,1184.15,0.12,8, , , , , , , , , , , , , , , , , , , , 
19,83,127,Bi,1197.3,0.5,0, , , , , , , , , , , , , , , , , , , , 
20,83,127,Bi,1208.41,0.12,6, , , , , , , , , , , , , , , , , , , , 
21,83,127,Bi,1248.04,0.06,4, , , , , , , , , , , , , , , , , , , , 
22,83,127,Bi,1300.61,0.12,7, , , , , , , , , , , , , , , , , , , , 
23,83,127,Bi,1322.2,0.8,11, , , , , , , , , , , , , , , , , , , , 
24,83,127,Bi,1335.71,0.06,5, , , , , , , , , , , , , , , , , , , , 
25,83,127,Bi,1339.33,0.06,6, , , , , , , , , , , , , , , , , , , , 
26,83,127,Bi,1346,0.6,0, , , , , , , , , , , , , , , , , , , , 
27,83,127,Bi,1373.99,0.06,3, , , , , , , , , , , , , , , , , , , , 
28,83,127,Bi,1382.34,0.14,7, , , , , , , , , , , , , , , , , , , , 
29,83,127,Bi,1390,0.06,4, , , , , , , , , , , , , , , , , , , , 
30,83,127,Bi,1462.83,0.05,5, , , , , , , , , , , , , , , , , , , , 
31,83,127,Bi,1473.1,1.1,12, , , , , , , , , , , , , , , , , , , , 
32,83,127,Bi,1475.85,0.06,3, , , , , , , , , , , , , , , , , , , , 
33,83,127,Bi,1478.9,0.15,9, , , , , , , , , , , , , , , , , , , , 
34,83,127,Bi,1523.3,0.06,4, , , , , , , , , , , , , , , , , , , , 
35,83,127,Bi,1531.12,0.16,2, , , , , , , , , , , , , , , , , , , , 
36,83,127,Bi,1585.24,0.09,2, , , , , , , , , , , , , , , , , , , , 
37,83,127,Bi,1706.54,0.06,5, , , , , , , , , , , , , , , , , , , , 
38,83,127,Bi,1753.5,0.5,10, , , , , , , , , , , , , , , , , , , , 
39,83,127,Bi,1776.38,0.13,6, , , , , , , , , , , , , , , , , , , , 
40,83,127,Bi,1793.41,0.15,8, , , , , , , , , , , , , , , , , , , , 
41,83,127,Bi,1801, ,11, , , , , , , , , , , , , , , , , , , , 
42,83,127,Bi,1812, ,8, , , , , , , , , , , , , , , , , , , , 
43,83,127,Bi,1837.06,0.07,7, , , , , , , , , , , , , , , , , , , , 
44,83,127,Bi,1896.84,0.15,3, , , , , , , , , , , , , , , , , , , , 
45,83,127,Bi,1896.93,0.14,9, , , , , , , , , , , , , , , , , , , , 
46,83,127,Bi,1908,4,0, , , , , , , , , , , , , , , , , , , , 
47,83,127,Bi,1924.4,0.09,2, , , , , , , , , , , , , , , , , , , , 
48,83,127,Bi,1980.33,0.12,7, , , , , , , , , , , , , , , , , , , , 
49,83,127,Bi,1984.71,0.08,3, , , , , , , , , , , , , , , , , , , , 
50,83,127,Bi,1987,4,0, , , , , , , , , , , , , , , , , , , , 
51,83,127,Bi,1990.18,0.09,3, , , , , , , , , , , , , , , , , , , , 
52,83,127,Bi,2005.99,0.14,8, , , , , , , , , , , , , , , , , , , , 
53,83,127,Bi,2006.25,0.07,4, , , , , , , , , , , , , , , , , , , , 
54,83,127,Bi,2015.55,0.14,6, , , , , , , , , , , , , , , , , , , , 
55,83,127,Bi,2026.69,0.1,1, , , , , , , , , , , , , , , , , , , , 
56,83,127,Bi,2034.27,0.05,5, , , , , , , , , , , , , , , , , , , , 
57,83,127,Bi,2072.51,0.16,9, , , , , , , , , , , , , , , , , , , , 
58,83,127,Bi,2079.18,0.08,4, , , , , , , , , , , , , , , , , , , , 
59,83,127,Bi,2099.3,0.13,5, , , , , , , , , , , , , , , , , , , , 
60,83,127,Bi,2099.4,0.5,11, , , , , , , , , , , , , , , , , , , , 
61,83,127,Bi,2108.33,0.17,6, , , , , , , , , , , , , , , , , , , , 
62,83,127,Bi,2135.14,0.05,7, , , , , , , , , , , , , , , , , , , , 
63,83,127,Bi,2138,3,5, , , , , , , , , , , , , , , , , , , , 
64,83,127,Bi,2143,4,0, , , , , , , , , , , , , , , , , , , , 
65,83,127,Bi,2177.25,0.06,4, , , , , , , , , , , , , , , , , , , , 
66,83,127,Bi,2237.81,0.13,6, , , , , , , , , , , , , , , , , , , , 
67,83,127,Bi,2258.88,0.13,7, , , , , , , , , , , , , , , , , , , , 
68,83,127,Bi,2280,5,0, , , , , , , , , , , , , , , , , , , , 
69,83,127,Bi,2314.14,0.15,6, , , , , , , , , , , , , , , , , , , , 
70,83,127,Bi,2464, ,0, , , , , , , , , , , , , , , , , , , , 
