,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,89,135,Ac,0, ,0, ,2.78,16,h,10008,576,EC,90.9, ,A,9.1, , , , , , , , , 
2,89,135,Ac,17.6,0.15,1, , , , , , , , , , , , , , , , , , , , 
3,89,135,Ac,23.4,0.11,2, , , , , , , , , , , , , , , , , , , , 
4,89,135,Ac,29.83,0.09,1, , , , , , , , , , , , , , , , , , , , 
5,89,135,Ac,34.2,0.8,0, , , , , , , , , , , , , , , , , , , , 
6,89,135,Ac,37.17,0.09,2, , , , , , , , , , , , , , , , , , , , 
7,89,135,Ac,44.2,0.3,0, , , , , , , , , , , , , , , , , , , , 
8,89,135,Ac,45.8,0.4,0, , , , , , , , , , , , , , , , , , , , 
9,89,135,Ac,47.4,0.4,0, , , , , , , , , , , , , , , , , , , , 
10,89,135,Ac,49.08,0.13,3, , , , , , , , , , , , , , , , , , , , 
11,89,135,Ac,52.2,0.11,2, , , , , , , , , , , , , , , , , , , , 
12,89,135,Ac,64.47,0.14,3, , , , , , , , , , , , , , , , , , , , 
13,89,135,Ac,65.2,0.6,0, , , , , , , , , , , , , , , , , , , , 
14,89,135,Ac,75.9,0.6,0, , , , , , , , , , , , , , , , , , , , 
15,89,135,Ac,78.51,0.12,3, , , , , , , , , , , , , , , , , , , , 
16,89,135,Ac,80.49,0.1,3, , , , , , , , , , , , , , , , , , , , 
17,89,135,Ac,84.1,0.4,0, , , , , , , , , , , , , , , , , , , , 
18,89,135,Ac,90.56,0.13,0, , , , , , , , , , , , , , , , , , , , 
19,89,135,Ac,92.6,0.4,0, , , , , , , , , , , , , , , , , , , , 
20,89,135,Ac,100.44,0.23,0, , , , , , , , , , , , , , , , , , , , 
21,89,135,Ac,103.31,0.13,4, , , , , , , , , , , , , , , , , , , , 
22,89,135,Ac,105.1,0.6,0, , , , , , , , , , , , , , , , , , , , 
23,89,135,Ac,109.33,0.17,4, , , , , , , , , , , , , , , , , , , , 
24,89,135,Ac,110.53,0.15,0, , , , , , , , , , , , , , , , , , , , 
25,89,135,Ac,116.46,0.13,4, , , , , , , , , , , , , , , , , , , , 
26,89,135,Ac,130.3,0.11,4, , , , , , , , , , , , , , , , , , , , 
27,89,135,Ac,133.4,0.4,0, , , , , , , , , , , , , , , , , , , , 
28,89,135,Ac,142.5,0.3,5, , , , , , , , , , , , , , , , , , , , 
29,89,135,Ac,146.6,0.4,0, , , , , , , , , , , , , , , , , , , , 
30,89,135,Ac,159.3,0.4,0, , , , , , , , , , , , , , , , , , , , 
31,89,135,Ac,169,2,0, , , , , , , , , , , , , , , , , , , , 
32,89,135,Ac,176.72,0.14,5, , , , , , , , , , , , , , , , , , , , 
33,89,135,Ac,183.4,0.13,5, , , , , , , , , , , , , , , , , , , , 
34,89,135,Ac,212,2,0, , , , , , , , , , , , , , , , , , , , 
35,89,135,Ac,219.7,0.4,0, , , , , , , , , , , , , , , , , , , , 
36,89,135,Ac,236.5,0.4,6, , , , , , , , , , , , , , , , , , , , 
37,89,135,Ac,252.68,0.17,6, , , , , , , , , , , , , , , , , , , , 
38,89,135,Ac,283.48,0.13,3, , , , , , , , , , , , , , , , , , , , 
39,89,135,Ac,300,2,0, , , , , , , , , , , , , , , , , , , , 
40,89,135,Ac,317.2,0.5,0, , , , , , , , , , , , , , , , , , , , 
41,89,135,Ac,333.04,0.12,3, , , , , , , , , , , , , , , , , , , , 
42,89,135,Ac,353.89,0.11,3, , , , , , , , , , , , , , , , , , , , 
43,89,135,Ac,360.25,0.11,3, , , , , , , , , , , , , , , , , , , , 
44,89,135,Ac,380.8,0.16,0, , , , , , , , , , , , , , , , , , , , 
45,89,135,Ac,395.84,0.19,4, , , , , , , , , , , , , , , , , , , , 
46,89,135,Ac,402.92,0.16,4, , , , , , , , , , , , , , , , , , , , 
47,89,135,Ac,448.08,0.2,5, , , , , , , , , , , , , , , , , , , , 
48,89,135,Ac,452.1,0.4,5, , , , , , , , , , , , , , , , , , , , 
