,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,88,138,Ra,0, ,0, ,1600,7,Y,50491081559.3472,220898481.822144,A,100, ,14C,0.0000000032,0.0000000016, , , , , , , , 
2,88,138,Ra,67.67,0.01,2, ,0.63,2,ns,0.00000000063,0.00000000002, , , , , , , , , , , , , , 
3,88,138,Ra,211.54,0.02,4,AP,0.17, ,ns,0.00000000017, , , , , , , , , , , , , , , 
4,88,138,Ra,253.73,0.01,1, , , , , , , , , , , , , , , , , , , , 
5,88,138,Ra,321.54,0.06,3, , , , , , , , , , , , , , , , , , , , 
6,88,138,Ra,416.5,0.3,6, , , , , , , , , , , , , , , , , , , , 
7,88,138,Ra,446.3,0.2,5, , , , , , , , , , , , , , , , , , , , 
8,88,138,Ra,626.7,0.2,7, , , , , , , , , , , , , , , , , , , , 
9,88,138,Ra,650, ,0, , , , , , , , , , , , , , , , , , , , 
10,88,138,Ra,669.4,0.3,8, , , , , , , , , , , , , , , , , , , , 
11,88,138,Ra,824.6,0.1,0, , , , , , , , , , , , , , , , , , , , 
12,88,138,Ra,857.6,0.3,9, , , , , , , , , , , , , , , , , , , , 
13,88,138,Ra,873.7,0.1,2, , , , , , , , , , , , , , , , , , , , 
14,88,138,Ra,959.9,0.3,10, , , , , , , , , , , , , , , , , , , , 
15,88,138,Ra,1048.8,0.1,1, , , , , , , , , , , , , , , , , , , , 
16,88,138,Ra,1070.5,0.2,2, , , , , , , , , , , , , , , , , , , , 
17,88,138,Ra,1077.2,0.2,1 2, , , , , , , , , , , , , , , , , , , , 
18,88,138,Ra,1107,3,2 3, , , , , , , , , , , , , , , , , , , , 
19,88,138,Ra,1122.4,0.3,2, , , , , , , , , , , , , , , , , , , , 
20,88,138,Ra,1133.1,0.3,11, , , , , , , , , , , , , , , , , , , , 
21,88,138,Ra,1140, ,0, , , , , , , , , , , , , , , , , , , , 
22,88,138,Ra,1156.2,0.1,2, , , , , , , , , , , , , , , , , , , , 
23,88,138,Ra,1220, ,0, , , , , , , , , , , , , , , , , , , , 
24,88,138,Ra,1238.9,0.5,2, , , , , , , , , , , , , , , , , , , , 
25,88,138,Ra,1280.5,0.4,12, , , , , , , , , , , , , , , , , , , , 
26,88,138,Ra,1330, ,0, , , , , , , , , , , , , , , , , , , , 
27,88,138,Ra,1390,0.1,2, , , , , , , , , , , , , , , , , , , , 
28,88,138,Ra,1420, ,0, , , , , , , , , , , , , , , , , , , , 
29,88,138,Ra,1422.5,1,0 1 2, , , , , , , , , , , , , , , , , , , , 
30,88,138,Ra,1437.8,0.7,1 2, , , , , , , , , , , , , , , , , , , , 
31,88,138,Ra,1446, ,13, , , , , , , , , , , , , , , , , , , , 
32,88,138,Ra,1540, ,0, , , , , , , , , , , , , , , , , , , , 
33,88,138,Ra,1587.3,0.5,1 2, , , , , , , , , , , , , , , , , , , , 
34,88,138,Ra,1621.3,0.5,1 2, , , , , , , , , , , , , , , , , , , , 
35,88,138,Ra,1625, ,14, , , , , , , , , , , , , , , , , , , , 
36,88,138,Ra,1723.4,0.3,2, , , , , , , , , , , , , , , , , , , , 
37,88,138,Ra,1738.5,1,1 2, , , , , , , , , , , , , , , , , , , , 
38,88,138,Ra,1756.2,1,1 2, , , , , , , , , , , , , , , , , , , , 
39,88,138,Ra,1767.1,1,0 1 2, , , , , , , , , , , , , , , , , , , , 
40,88,138,Ra,1778.4,1,0 1 2, , , , , , , , , , , , , , , , , , , , 
41,88,138,Ra,1786.1,1,1 2, , , , , , , , , , , , , , , , , , , , 
42,88,138,Ra,1793, ,15, , , , , , , , , , , , , , , , , , , , 
43,88,138,Ra,1865,1,1 2, , , , , , , , , , , , , , , , , , , , 
44,88,138,Ra,1882.3,0.7,0 1 2, , , , , , , , , , , , , , , , , , , , 
45,88,138,Ra,1888.4,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , 
46,88,138,Ra,1897.4,1,1 2, , , , , , , , , , , , , , , , , , , , 
47,88,138,Ra,1907.8,1,1 2, , , , , , , , , , , , , , , , , , , , 
48,88,138,Ra,1945.6,1,1 2, , , , , , , , , , , , , , , , , , , , 
49,88,138,Ra,1951,1,1 2, , , , , , , , , , , , , , , , , , , , 
50,88,138,Ra,1970.8,0.5,1 2, , , , , , , , , , , , , , , , , , , , 
51,88,138,Ra,1982.7,1,0 1, , , , , , , , , , , , , , , , , , , , 
52,88,138,Ra,1993, ,16, , , , , , , , , , , , , , , , , , , , 
53,88,138,Ra,2006.7,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , 
54,88,138,Ra,2015.2,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , 
55,88,138,Ra,2056.8,0.5,1 2, , , , , , , , , , , , , , , , , , , , 
56,88,138,Ra,2086.1,1,1 2, , , , , , , , , , , , , , , , , , , , 
57,88,138,Ra,2170, ,17, , , , , , , , , , , , , , , , , , , , 
58,88,138,Ra,2182.3,1.5,0 1 2, , , , , , , , , , , , , , , , , , , , 
59,88,138,Ra,2189.4,1,2, , , , , , , , , , , , , , , , , , , , 
60,88,138,Ra,2269.7,1,1 2, , , , , , , , , , , , , , , , , , , , 
61,88,138,Ra,2382, ,18, , , , , , , , , , , , , , , , , , , , 
