,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,90,140,Th,0, ,0, ,7.54E+4,3,Y,2379392218484.237,9467077792.3776,A,100, ,24NE,0.000000000058,0.000000000013,SF,0.000000000004, , , , , , 
2,90,140,Th,53.227,0.011,2, ,0.354,9,ns,0.000000000354,0.000000000009, , , , , , , , , , , , , , 
3,90,140,Th,174.111,0.017,4, ,0.166,5,ns,0.000000000166,0.000000000005, , , , , , , , , , , , , , 
4,90,140,Th,356.47,0.14,6, , , , , , , , , , , , , , , , , , , , 
5,90,140,Th,508.15,0.013,1, , , , , , , , , , , , , , , , , , , , 
6,90,140,Th,571.756,0.015,3, , , , , , , , , , , , , , , , , , , , 
7,90,140,Th,593.79,0.2,8, , , , , , , , , , , , , , , , , , , , 
8,90,140,Th,634.919,0.018,0, , , , , , , , , , , , , , , , , , , , 
9,90,140,Th,677.515,0.018,2, ,15,2,ps,0.000000000015,0.000000000002, , , , , , , , , , , , , , 
10,90,140,Th,686.6,0.3,5, , , , , , , , , , , , , , , , , , , , 
11,90,140,Th,769.6,0.6,4, , , , , , , , , , , , , , , , , , , , 
12,90,140,Th,775.5,0.3,4, , , , , , , , , , , , , , , , , , , , 
13,90,140,Th,781.375,0.013,2, ,3.3,5,ps,0.0000000000033,0.0000000000005, , , , , , , , , , , , , , 
14,90,140,Th,825.664,0.021,3, , , , , , , , , , , , , , , , , , , , 
15,90,140,Th,852.14,0.21,7, , , , , , , , , , , , , , , , , , , , 
16,90,140,Th,879.3,0.3,10, , , , , , , , , , , , , , , , , , , , 
17,90,140,Th,883.6,0.6,4, , , , , , , , , , , , , , , , , , , , 
18,90,140,Th,922.95,0.2,6, , , , , , , , , , , , , , , , , , , , 
19,90,140,Th,951.898,0.014,1, , , , , , , , , , , , , , , , , , , , 
20,90,140,Th,955.04,0.23,5, , , , , , , , , , , , , , , , , , , , 
21,90,140,Th,971.726,0.017,2, , , , , , , , , , , , , , , , , , , , 
22,90,140,Th,1009.601,0.014,2,GE,0.8, ,ps,0.0000000000008, , , , , , , , , , , , , , , 
23,90,140,Th,1012.46,0.03,3, , , , , , , , , , , , , , , , , , , , 
24,90,140,Th,1022,2,0, , , , , , , , , , , , , , , , , , , , 
25,90,140,Th,1039.45,0.23,6, , , , , , , , , , , , , , , , , , , , 
26,90,140,Th,1052.14,0.1,3, , , , , , , , , , , , , , , , , , , , 
27,90,140,Th,1065.3,0.4,9, , , , , , , , , , , , , , , , , , , , 
28,90,140,Th,1079.216,0.015,2, , , , , , , , , , , , , , , , , , , , 
29,90,140,Th,1089,2,0, , , , , , , , , , , , , , , , , , , , 
30,90,140,Th,1108.2,0.7,4, , , , , , , , , , , , , , , , , , , , 
31,90,140,Th,1108.9,0.7,5, , , , , , , , , , , , , , , , , , , , 
32,90,140,Th,1117.4,0.3,8, , , , , , , , , , , , , , , , , , , , 
33,90,140,Th,1125.6,0.5,1 0, , , , , , , , , , , , , , , , , , , , 
34,90,140,Th,1127.789,0.015,3, , , , , , , , , , , , , , , , , , , , 
35,90,140,Th,1134.2,0.3,7, , , , , , , , , , , , , , , , , , , , 
36,90,140,Th,1144,2,0, , , , , , , , , , , , , , , , , , , , 
37,90,140,Th,1148,0.9,0, , , , , , , , , , , , , , , , , , , , 
38,90,140,Th,1176,0.3,5, , , , , , , , , , , , , , , , , , , , 
39,90,140,Th,1184.8,0.9,0, , , , , , , , , , , , , , , , , , , , 
40,90,140,Th,1196.8,1,4, , , , , , , , , , , , , , , , , , , , 
41,90,140,Th,1206.6,0.5,12, , , , , , , , , , , , , , , , , , , , 
42,90,140,Th,1241.2,0.9,0, , , , , , , , , , , , , , , , , , , , 
43,90,140,Th,1243,0.3,8, , , , , , , , , , , , , , , , , , , , 
44,90,140,Th,1251.2,0.8,8, , , , , , , , , , , , , , , , , , , , 
45,90,140,Th,1255.4,0.4,6, , , , , , , , , , , , , , , , , , , , 
46,90,140,Th,1259.2,0.6,3, , , , , , , , , , , , , , , , , , , , 
47,90,140,Th,1283.6,0.6,5, , , , , , , , , , , , , , , , , , , , 
48,90,140,Th,1297.14,0.08,0, , , , , , , , , , , , , , , , , , , , 
49,90,140,Th,1322,0.5,11, , , , , , , , , , , , , , , , , , , , 
