,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,91,140,Pa,0, ,3/2, ,3.276E4,11,Y,1033804894927.6339,3471261857.20512,A,100, ,SF,0.0000000003, , , , , ,2.01, ,-1.72, 
2,91,140,Pa,9.206,0.025,1/2, , , , , , , , , , , , , , , , , , , , 
3,91,140,Pa,58.5699,0.0024,7/2, ,274,10,ps,0.000000000274,0.00000000001, , , , , , , , , , , , , , 
4,91,140,Pa,77.685,0.017,5/2, , , , , , , , , , , , , , , , , , , , 
5,91,140,Pa,84.2148,0.0013,5/2, ,45.1,13,ns,0.0000000451,0.0000000013, , , , , , , , , , , , ,0.7, 
6,91,140,Pa,101.4092,0.0021,7/2,LE,0.7, ,ns,0.0000000007, , , , , , , , , , , , , , , 
7,91,140,Pa,102.2692,0.0013,3/2,LE,0.7, ,ns,0.0000000007, , , , , , , , , , , , , , , 
8,91,140,Pa,111.653,0.012,9/2, , , , , , , , , , , , , , , , , , , , 
9,91,140,Pa,134,5,11/2, , , , , , , , , , , , , , , , , , , , 
10,91,140,Pa,168.6,0.2,11/2, , , , , , , , , , , , , , , , , , , , 
11,91,140,Pa,171.5,0.2,11/2, , , , , , , , , , , , , , , , , , , , 
12,91,140,Pa,174.161,0.004,5/2, , , , , , , , , , , , , , , , , , , , 
13,91,140,Pa,183.4962,0.0017,5/2,LE,0.19, ,ns,0.00000000019, , , , , , , , , , , , , , , 
14,91,140,Pa,188.9,0.2,13/2, , , , , , , , , , , , , , , , , , , , 
15,91,140,Pa,193.5,0.2,9/2, , , , , , , , , , , , , , , , , , , , 
16,91,140,Pa,218.24,0.013,7/2, , , , , , , , , , , , , , , , , , , , 
17,91,140,Pa,247.32,0.005,7/2, , , , , , , , , , , , , , , , , , , , 
18,91,140,Pa,273.8,0.2,1/2, , , , , , , , , , , , , , , , , , , , 
19,91,140,Pa,274.8,0.3,9/2, , , , , , , , , , , , , , , , , , , , 
20,91,140,Pa,296.6,0.4,0, , , , , , , , , , , , , , , , , , , , 
21,91,140,Pa,300.7,0.2,15/2, , , , , , , , , , , , , , , , , , , , 
22,91,140,Pa,304.5,0.4,9/2, , , , , , , , , , , , , , , , , , , , 
23,91,140,Pa,311.5,0.1,5/2, , , , , , , , , , , , , , , , , , , , 
24,91,140,Pa,316.8,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
25,91,140,Pa,317.95,0.04,3/2, , , , , , , , , , , , , , , , , , , , 
26,91,140,Pa,320.209,0.018,3/2, , , , , , , , , , , , , , , , , , , , 
27,91,140,Pa,328.7,0.2,15/2, , , , , , , , , , , , , , , , , , , , 
28,91,140,Pa,344.5,0.3,11/2, , , , , , , , , , , , , , , , , , , , 
29,91,140,Pa,351.5,0.2,13/2, , , , , , , , , , , , , , , , , , , , 
30,91,140,Pa,351.84,0.04,5/2, , , , , , , , , , , , , , , , , , , , 
31,91,140,Pa,385,5,0, , , , , , , , , , , , , , , , , , , , 
32,91,140,Pa,391.7,0.2,9/2, , , , , , , , , , , , , , , , , , , , 
33,91,140,Pa,395.74,0.22,7/2, , , , , , , , , , , , , , , , , , , , 
34,91,140,Pa,406.1,0.3,11/2, , , , , , , , , , , , , , , , , , , , 
35,91,140,Pa,409,0.2,7/2, , , , , , , , , , , , , , , , , , , , 
36,91,140,Pa,424.89,0.22,13/2, , , , , , , , , , , , , , , , , , , , 
37,91,140,Pa,443,0.5,0, , , , , , , , , , , , , , , , , , , , 
38,91,140,Pa,450.5,0.22,9/2, , , , , , , , , , , , , , , , , , , , 
39,91,140,Pa,487.5,0.3,19/2, , , , , , , , , , , , , , , , , , , , 
40,91,140,Pa,495,0.3,21/2, , , , , , , , , , , , , , , , , , , , 
41,91,140,Pa,507,3,0, , , , , , , , , , , , , , , , , , , , 
42,91,140,Pa,513.5,1.2,0, , , , , , , , , , , , , , , , , , , , 
43,91,140,Pa,520.5,0.3,15/2, , , , , , , , , , , , , , , , , , , , 
44,91,140,Pa,525.2,0.2,13/2, , , , , , , , , , , , , , , , , , , , 
45,91,140,Pa,535.7,0.2,19/2, , , , , , , , , , , , , , , , , , , , 
46,91,140,Pa,543.3,0.2,11/2, , , , , , , , , , , , , , , , , , , , 
47,91,140,Pa,551.3,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
48,91,140,Pa,567.5,0.5,0, , , , , , , , , , , , , , , , , , , , 
49,91,140,Pa,583.5,0.8,0, , , , , , , , , , , , , , , , , , , , 
50,91,140,Pa,590,5,0, , , , , , , , , , , , , , , , , , , , 
51,91,140,Pa,604,0.3,3/2, , , , , , , , , , , , , , , , , , , , 
52,91,140,Pa,631.9,0.3,5/2, , , , , , , , , , , , , , , , , , , , 
53,91,140,Pa,677.8,0.4,7/2, , , , , , , , , , , , , , , , , , , , 
54,91,140,Pa,700,3,0, , , , , , , , , , , , , , , , , , , , 
55,91,140,Pa,705.1,0.2,17/2, , , , , , , , , , , , , , , , , , , , 
56,91,140,Pa,716.9,0.2,15/2, , , , , , , , , , , , , , , , , , , , 
57,91,140,Pa,722.1,0.3,25/2, , , , , , , , , , , , , , , , , , , , 
58,91,140,Pa,728.5,0.3,23/2, , , , , , , , , , , , , , , , , , , , 
59,91,140,Pa,750,2,0, , , , , , , , , , , , , , , , , , , , 
60,91,140,Pa,785.5,0.2,23/2, , , , , , , , , , , , , , , , , , , , 
61,91,140,Pa,788,0.2,21/2, , , , , , , , , , , , , , , , , , , , 
62,91,140,Pa,801,3,11/2, , , , , , , , , , , , , , , , , , , , 
63,91,140,Pa,815,3,0, , , , , , , , , , , , , , , , , , , , 
64,91,140,Pa,857.3,1,0, , , , , , , , , , , , , , , , , , , , 
65,91,140,Pa,874,0.6,0, , , , , , , , , , , , , , , , , , , , 
66,91,140,Pa,901.6,0.8,0, , , , , , , , , , , , , , , , , , , , 
67,91,140,Pa,917.6,1.2,0, , , , , , , , , , , , , , , , , , , , 
68,91,140,Pa,927.4,0.2,19/2, , , , , , , , , , , , , , , , , , , , 
69,91,140,Pa,930.1,0.4,21/2, , , , , , , , , , , , , , , , , , , , 
70,91,140,Pa,945.8,0.5,19/2, , , , , , , , , , , , , , , , , , , , 
71,91,140,Pa,967.9,0.6,0, , , , , , , , , , , , , , , , , , , , 
72,91,140,Pa,994.8,0.4,29/2, , , , , , , , , , , , , , , , , , , , 
