,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,94,145,Pu,0, ,1/2, ,24110,30,Y,760837485247.4131,946707779.23776,A,100, ,SF,0.00000000031,0.00000000006, , , , ,0.203, , , 
2,94,145,Pu,7.861,0.002,3/2, ,36,3,ps,0.000000000036,0.000000000003, , , , , , , , , , , , ,-2.319, 
3,94,145,Pu,57.275,0.002,5/2, ,101,5,ps,0.000000000101,0.000000000005, , , , , , , , , , , , ,-3.345, 
4,94,145,Pu,75.705,0.003,7/2, , , , , , , , , , , , , , , , , , ,-3.83, 
5,94,145,Pu,163.76,0.03,9/2, ,73,4,ps,0.000000000073,0.000000000004, , , , , , , , , , , , , , 
6,94,145,Pu,192.8,1,11/2, , , , , , , , , , , , , , , , , , , , 
7,94,145,Pu,285.46,0.002,5/2, ,1.12,5,ns,0.00000000112,0.00000000005, , , , , , , , , , ,-1.3, , , 
8,94,145,Pu,318.5,0.7,13/2, , , , , , , , , , , , , , , , , , , , 
9,94,145,Pu,330.124,0.004,7/2, , , , , , , , , , , , , , , , , , , , 
10,94,145,Pu,358.1,0.1,15/2, , , , , , , , , , , , , , , , , , , , 
11,94,145,Pu,387.42,0.02,9/2, , , , , , , , , , , , , , , , , , , , 
12,94,145,Pu,391.584,0.003,7/2, ,193,4,ns,0.000000193,0.000000004, , , , , , , , , , , , , , 
13,94,145,Pu,434,3,9/2, , , , , , , , , , , , , , , , , , , , 
14,94,145,Pu,462,3,11/2, , , , , , , , , , , , , , , , , , , , 
15,94,145,Pu,469.8,0.4,1/2, , , , , , , , , , , , , , , , , , , , 
16,94,145,Pu,487,3,11/2, , , , , , , , , , , , , , , , , , , , 
17,94,145,Pu,492.1,0.3,3/2, , , , , , , , , , , , , , , , , , , , 
18,94,145,Pu,505.6,0.2,5/2, , , , , , , , , , , , , , , , , , , , 
19,94,145,Pu,511.838,0.013,7/2, , , , , , , , , , , , , , , , , , , , 
20,94,145,Pu,519.3,0.6,17/2, , , , , , , , , , , , , , , , , , , , 
21,94,145,Pu,538,3,0, , , , , , , , , , , , , , , , , , , , 
22,94,145,Pu,556.2,0.5,7/2, , , , , , , , , , , , , , , , , , , , 
23,94,145,Pu,565, ,9/2, , , , , , , , , , , , , , , , , , , , 
24,94,145,Pu,570.6,0.7,19/2, , , , , , , , , , , , , , , , , , , , 
25,94,145,Pu,583,3,9/2, , , , , , , , , , , , , , , , , , , , 
26,94,145,Pu,620, ,15/2, , , , , , , , , , , , , , , , , , , , 
27,94,145,Pu,634, ,11/2, , , , , , , , , , , , , , , , , , , , 
28,94,145,Pu,661.1,1.1,11/2, , , , , , , , , , , , , , , , , , , , 
29,94,145,Pu,698.7,1,13/2, , , , , , , , , , , , , , , , , , , , 
30,94,145,Pu,716, ,0, , , , , , , , , , , , , , , , , , , , 
31,94,145,Pu,752.5,0.5, 3/2, , , , , , , , , , , , , , , , , , , , 
32,94,145,Pu,756,3,0, , , , , , , , , , , , , , , , , , , , 
33,94,145,Pu,763,3,0, , , , , , , , , , , , , , , , , , , , 
34,94,145,Pu,764.6,0.6,21/2, , , , , , , , , , , , , , , , , , , , 
35,94,145,Pu,779,3,0, , , , , , , , , , , , , , , , , , , , 
36,94,145,Pu,798.2,0.5, 3/2, , , , , , , , , , , , , , , , , , , , 
37,94,145,Pu,805.1,0.5, 3/2, , , , , , , , , , , , , , , , , , , , 
38,94,145,Pu,806.7,1.5,15/2, , , , , , , , , , , , , , , , , , , , 
39,94,145,Pu,813,3,0, , , , , , , , , , , , , , , , , , , , 
40,94,145,Pu,825.5,1, 3/2, , , , , , , , , , , , , , , , , , , , 
41,94,145,Pu,828,0.7,23/2, , , , , , , , , , , , , , , , , , , , 
42,94,145,Pu,854,2,0, , , , , , , , , , , , , , , , , , , , 
