,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,11,12,Na,0, ,0.0, , ,1.5,1,STABLE, , , , , , , , , , , , , , , ,2.2175, ,0.104, ,2021-06-11
1,1,11,12,Na,1, ,440.2,0.4, ,2.5,1,1.14, ,7,ps,0.00000000000114,0.00000000000007, , , , , , , , , , , , , , ,2021-06-11
2,2,11,12,Na,2, ,2076.2,0.4, ,3.5,1,27, ,3,fs,0.000000000000027,0.000000000000003, , , , , , , , , , , , , , ,2021-06-11
3,3,11,12,Na,3, ,2390.9,0.3, ,0.5,1,0.60, ,14,ps,0.0000000000006,0.00000000000014, , , , , , , , , , , , , , ,2021-06-11
4,4,11,12,Na,4, ,2640.5,0.6, ,0.5,1,76, ,9,fs,0.000000000000076,0.000000000000009, , , , , , , , , , , , , , ,2021-06-11
5,5,11,12,Na,5, ,2703.8,0.5, ,4.5,1,88, ,7,fs,0.000000000000088,0.000000000000007, , , , , , , , , , , , , , ,2021-06-11
6,6,11,12,Na,6, ,2982.0,0.5, ,1.5,2,3.3, ,4,fs,0.0000000000000033,4e-16, , , , , , , , , , , , , , ,2021-06-11
7,7,11,12,Na,7, ,3677.9,0.5, ,1.5,1,21, ,3,fs,0.000000000000021,0.000000000000003, , , , , , , , , , , , , , ,2021-06-11
8,8,11,12,Na,8, ,3847.9,0.5, ,2.5,1,87, ,21,fs,0.000000000000087,0.000000000000021, , , , , , , , , , , , , , ,2021-06-11
9,9,11,12,Na,9, ,3914.6,0.4, ,2.5,2,6.9, ,14,fs,0.0000000000000069,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-11
10,10,11,12,Na,10, ,4429.63,0.16, ,0.5,2,0.21, ,2,fs,2.1e-16,2e-17, , , , , , , , , , , , , , ,2021-06-11
11,11,11,12,Na,11, ,4775.2,0.5, ,3.5,2,1.4,LT, ,fs,0.0000000000000014, , , , , , , , , , , , , , , ,2021-06-11
12,12,11,12,Na,12, ,5378.56,0.15, ,2.5,3,143, ,21,as,1.43e-16,2.1e-17, , , , , , , , , , , , , , ,2021-06-11
13,13,11,12,Na,13, ,5534.2,0.6, ,5.5,1,10.4, ,6,fs,0.0000000000000104,6e-16, , , , , , , , , , , , , , ,2021-06-11
14,14,11,12,Na,14, ,5741.0,1.5, ,2.5,4,394, ,27,as,3.94e-16,2.7e-17, , , , , , , , , , , , , , ,2021-06-11
15,15,11,12,Na,15, ,5766.03,0.16, ,1.5,3,351, ,41,as,3.51e-16,4.1e-17, , , , , , , , , , , , , , ,2021-06-11
16,16,11,12,Na,16, ,5776.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
17,17,11,12,Na,17, ,5925.8,0.5, ,3.5,3,13, ,5,fs,0.000000000000013,0.000000000000005, , , , , , , , , , , , , , ,2021-06-11
18,18,11,12,Na,18, ,5965.9,0.9, ,1.5,2,11,LT, ,fs,0.000000000000011, , , , , , , , , , , , , , , ,2021-06-11
19,19,11,12,Na,19, ,6041.9,0.6, ,3.5,1,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-11
20,20,11,12,Na,20, ,6115.1,0.6, ,5.5,1,35, ,9,fs,0.000000000000035,0.000000000000009, , , , , , , , , , , , , , ,2021-06-11
21,21,11,12,Na,21, ,6194.6,0.2, ,2.5,2,70,LT, ,fs,0.00000000000007, , , , , , , , , , , , , , , ,2021-06-11
22,22,11,12,Na,22, ,6235.4,0.6, ,6.5,1,16, ,8,fs,0.000000000000016,0.000000000000008, , , , , , , , , , , , , , ,2021-06-11
23,23,11,12,Na,23, ,6305.6,0.6, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-11
24,24,11,12,Na,24, ,6354.2,0.5, ,4.5,1,21, ,5,fs,0.000000000000021,0.000000000000005, , , , , , , , , , , , , , ,2021-06-11
25,25,11,12,Na,25, ,6578.0,0.6, ,4.5,1,11,LT, ,fs,0.000000000000011, , , , , , , , , , , , , , , ,2021-06-11
26,26,11,12,Na,26, ,6618.3,0.8, ,3.5,1,0.7,LT, ,fs,7e-16, , , , , , , , , , , , , , , ,2021-06-11
27,27,11,12,Na,27, ,6735.5,0.2, ,1.5,4,415, ,50,as,4.15e-16,5e-17, , , , , , , , , , , , , , ,2021-06-11
28,28,11,12,Na,28, ,6820.2,0.8, ,2.5,3,8,LT, ,fs,0.000000000000008, , , , , , , , , , , , , , , ,2021-06-11
29,29,11,12,Na,29, ,6867.7,0.2, ,2.5,1,6,LT, ,fs,0.000000000000006, , , , , , , , , , , , , , , ,2021-06-11
30,30,11,12,Na,30, ,6881.2,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
31,31,11,12,Na,31, ,6920.6,0.2, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-11
32,32,11,12,Na,32, ,6947.4,0.2, ,1.5,1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-11
33,33,11,12,Na,33, ,7055.3,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
34,34,11,12,Na,34, ,7070.8,0.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
35,35,11,12,Na,35, ,7081.9,0.3, ,1.5,4,258, ,31,as,2.58e-16,3.1e-17, , , , , , , , , , , , , , ,2021-06-11
36,36,11,12,Na,36, ,7125.8,0.7, ,4.5,1,13, ,5,fs,0.000000000000013,0.000000000000005, , , , , , , , , , , , , , ,2021-06-11
37,37,11,12,Na,37, ,7133.5,0.9, ,1.5,1,200, ,26,as,2e-16,2.6e-17, , , , , , , , , , , , , , ,2021-06-11
38,38,11,12,Na,38, ,7150.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
39,39,11,12,Na,39, ,7185.3,0.6, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
40,40,11,12,Na,40, ,7268.1,0.6, ,6.5,1,18, ,6,fs,0.000000000000018,0.000000000000006, , , , , , , , , , , , , , ,2021-06-11
41,41,11,12,Na,41, ,7280.3,1.1, ,3.5,1,9, ,6,fs,0.000000000000009,0.000000000000006, , , , , , , , , , , , , , ,2021-06-11
42,42,11,12,Na,42, ,7385.0,5, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
43,43,11,12,Na,43, ,7393.4,0.7, ,5.5,1,18, ,11,fs,0.000000000000018,0.000000000000011, , , , , , , , , , , , , , ,2021-06-11
44,44,11,12,Na,44, ,7412.4,0.3, ,4.5,1,35,LT, ,fs,0.000000000000035, , , , , , , , , , , , , , , ,2021-06-11
45,45,11,12,Na,45, ,7451.5,0.9, ,1.5,2,3,LT, ,fs,0.000000000000003, , , , , , , , , , , , , , , ,2021-06-11
46,46,11,12,Na,46, ,7477.4,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
47,47,11,12,Na,47, ,7488.9,0.7, ,1.5,2,3,LT, ,fs,0.000000000000003, , , , , , , , , , , , , , , ,2021-06-11
48,48,11,12,Na,48, ,7563.9,1.1, ,2.5,1,0.26, ,18,fs,2.6e-16,1.8e-16, , , , , , , , , , , , , , ,2021-06-11
49,49,11,12,Na,49, ,7687.0,0.7, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
50,50,11,12,Na,50, ,7724.4,0.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
51,51,11,12,Na,51, ,7750.6,1.1, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
52,52,11,12,Na,52, ,7835.7,0.7, ,2.5,1,3.5,LT, ,fs,0.0000000000000035, , , , , , , , , , , , , , , ,2021-06-11
53,53,11,12,Na,53, ,7872.6,0.8, ,2.5,1,3.5,LT, ,fs,0.0000000000000035, , , , , , , , , , , , , , , ,2021-06-11
54,54,11,12,Na,54, ,7876.2,0.9, ,2.5,1,12,LT, ,fs,0.000000000000012, , , , , , , , , , , , , , , ,2021-06-11
55,55,11,12,Na,55, ,7891.2,0.3, ,2.5,5,162, ,12,as,1.62e-16,1.2e-17, , , , , , , , , ,3/2, , , , ,2021-06-11
56,56,11,12,Na,56, ,7964.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
57,57,11,12,Na,57, ,7974.0,1.1, ,0.5, ,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-11
58,58,11,12,Na,58, ,7991.5,0.6, ,5.5,1,19, ,8,fs,0.000000000000019,0.000000000000008, , , , , , , , , , , , , , ,2021-06-11
59,59,11,12,Na,59, ,8061.0,3, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
60,60,11,12,Na,60, ,8100.0,9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
61,61,11,12,Na,61, ,8122.0,7, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
62,62,11,12,Na,62, ,8149.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
63,63,11,12,Na,63, ,8173.0,7, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
64,64,11,12,Na,64, ,8220.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
65,65,11,12,Na,65, ,8261.0,0.5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
66,66,11,12,Na,66, ,8301.6,1.1, ,3.5,2,59,LT, ,fs,0.000000000000059, , , , , , , , , , , , , , , ,2021-06-11
67,67,11,12,Na,67, ,8319.5,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
68,68,11,12,Na,68, ,8360.0,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
69,69,11,12,Na,69, ,8417.4,0.2, ,1.5,5,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-11
70,70,11,12,Na,70, ,8432.6,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
71,71,11,12,Na,71, ,8475.7,0.5, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
72,72,11,12,Na,72, ,8503.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
73,73,11,12,Na,73, ,8558.0,2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
74,74,11,12,Na,74, ,8611.1,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
75,75,11,12,Na,75, ,8631.0,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
76,76,11,12,Na,76, ,8651.2,1.1, ,0.5,4,0.53, ,7,fs,5.3e-16,7e-17, , , , , , , , , , , , , , ,2021-06-11
77,77,11,12,Na,77, ,8665.0,1.8, ,0.5,5,128, ,22,as,1.28e-16,2.2e-17, , , , , , , , , ,3/2, , , , ,2021-06-11
78,78,11,12,Na,78, ,8721.0,2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
79,79,11,12,Na,79, ,8798.7,0.8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
80,80,11,12,Na,80, ,8820.8,0.7, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
81,81,11,12,Na,81, ,8827.9,1.1, ,0.5,6,211, ,70,as,2.11e-16,7e-17, , , , , , , , , , , , , , ,2021-06-11
82,82,11,12,Na,82, ,8862.0, , ,0.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-11
83,83,11,12,Na,83, ,8894.0, , ,0.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-11
84,84,11,12,Na,84, ,8945.1,0.8, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
85,85,11,12,Na,85, ,8946.8,0.6, ,3.5,1,21, ,10,fs,0.000000000000021,0.00000000000001, , , , , , , , , , , , , , ,2021-06-11
86,86,11,12,Na,86, ,8963.9,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
87,87,11,12,Na,87, ,8975.3,0.7, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-11
88,88,11,12,Na,88, ,9000.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
89,89,11,12,Na,89, ,9039.5,0.8, ,7.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
90,90,11,12,Na,90, ,9042.6,0.8, ,4.5,1,10, ,5,fs,0.00000000000001,0.000000000000005, , , , , , , , , , , , , , ,2021-06-11
91,91,11,12,Na,91, ,9072.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
92,92,11,12,Na,92, ,9101.5,0.7, ,6.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
93,93,11,12,Na,93, ,9113.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
94,94,11,12,Na,94, ,9172.8,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
95,95,11,12,Na,95, ,9210.4,0.6, ,5.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
96,96,11,12,Na,96, ,9211.0,0.8, ,1.5,5,4.1, ,15,fs,0.0000000000000041,0.0000000000000015, , , , , , , , , , , , , , ,2021-06-11
97,97,11,12,Na,97, ,9212.9,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
98,98,11,12,Na,98, ,9252.1,0.1, ,0.5,9, , , , , , , , , , , , , , , , , , , , ,2021-06-11
99,99,11,12,Na,99, ,9285.4,1.1, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-11
100,100,11,12,Na,100, ,9292.7,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
101,101,11,12,Na,101, ,9325.8,1.1, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
102,102,11,12,Na,102, ,9396.4,0.3, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
103,103,11,12,Na,103, ,9401.0,0.7, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
104,104,11,12,Na,104, ,9404.8,0.5, ,0.5,1,65, , ,eV,7.019041770329e-18, , , , , , , , , , , , , , , ,2021-06-11
105,105,11,12,Na,105, ,9426.1,0.5, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-11
106,106,11,12,Na,106, ,9475.0,4, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
107,107,11,12,Na,107, ,9487.7,0.8, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
108,108,11,12,Na,108, ,9541.5,1.2, ,6.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-11
109,109,11,12,Na,109, ,9582.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
110,110,11,12,Na,110, ,9608.2,0.2, ,1.5,6,6, , ,eV,7.60396191785643e-17, , , , , , , , , , , , , , , ,2021-06-11
111,111,11,12,Na,111, ,9626.0,3, ,0.5,10,2.2, ,8,fs,0.0000000000000022,8e-16, , , , , , , , , , , , , , ,2021-06-11
112,112,11,12,Na,112, ,9628.3,0.9, ,5.5,1,2.8, ,14,fs,0.0000000000000028,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-11
113,113,11,12,Na,113, ,9652.2,1, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
114,114,11,12,Na,114, ,9655.6,1, ,0.5,1,105, , ,eV,4.345121095918e-18, , , , , , , , , , , , , , , ,2021-06-11
115,115,11,12,Na,115, ,9674.1,1, ,2.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-11
116,116,11,12,Na,116, ,9682.7,0.4, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-11
117,117,11,12,Na,117, ,9700.9,1, ,1.5,7,29, , ,eV,1.57323350024616e-17, , , , , , , , , , , , , , , ,2021-06-11
118,118,11,12,Na,118, ,9732.53,0.13, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
119,119,11,12,Na,119, ,9738.0,3, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-11
120,120,11,12,Na,120, ,9755.5, , ,1.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-11
121,121,11,12,Na,121, ,9802.9,0.8, ,7.5,1,4.2, ,14,fs,0.0000000000000042,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-11
122,122,11,12,Na,122, ,9815.7,0.4, ,2.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-11
123,123,11,12,Na,123, ,9835.4,1, ,1.5,9,47, , ,eV,9.7071854270508e-18, , , , , , , , , , , , , , , ,2021-06-11
124,124,11,12,Na,124, ,9850.1,0.5, ,0.5,11,150, , ,eV,3.0415847671426e-18, , , , , , , , , , , , , , , ,2021-06-11
125,125,11,12,Na,125, ,9875.6,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
126,126,11,12,Na,126, ,9890.9,0.6, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
127,127,11,12,Na,127, ,9917.5,1.1, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
128,128,11,12,Na,128, ,9924.3,1.1, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
129,129,11,12,Na,129, ,9939.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
130,130,11,12,Na,130, ,9964.6,1.2, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
131,131,11,12,Na,131, ,9988.2,1.2, ,5.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
132,132,11,12,Na,132, ,10003.2,0.6, ,0.5,2,475, , ,eV,9.605004527819e-19, , , , , , , , , , , , , , , ,2021-06-11
133,133,11,12,Na,133, ,10017.4,1, ,2.5,7,69, , ,eV,6.612140798136e-18, , , , , , , , , , , , , , , ,2021-06-11
134,134,11,12,Na,134, ,10033.8,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
135,135,11,12,Na,135, ,10036.4,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
136,136,11,12,Na,136, ,10049.1,0.6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
137,137,11,12,Na,137, ,10070.9, , ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
138,138,11,12,Na,138, ,10075.9,0.5, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
139,139,11,12,Na,139, ,10085.3,0.5, ,0.5,12,1270, , ,eV,3.592422953318e-19, , , , , , , , , , , , , , , ,2021-06-11
140,140,11,12,Na,140, ,10114.8,0.5, ,0.5,13,4200, , ,eV,1.086280273979e-19, , , , , , , , , , , , , , , ,2021-06-11
141,141,11,12,Na,141, ,10125.9,0.5, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-11
142,142,11,12,Na,142, ,10156.4,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
143,143,11,12,Na,143, ,10164.2,0.5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
144,144,11,12,Na,144, ,10169.6,0.2, ,2.5,8,65, , ,eV,7.019041770329e-18, , , , , , , , , , , , , , , ,2021-06-11
145,145,11,12,Na,145, ,10183.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
146,146,11,12,Na,146, ,10212.9,1.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
147,147,11,12,Na,147, ,10221.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
148,148,11,12,Na,148, ,10231.7,0.4, ,2.5,9,4, , ,eV,1.140594287678464e-16, , , , , , , , , , , , , , , ,2021-06-11
149,149,11,12,Na,149, ,10237.8,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
150,150,11,12,Na,150, ,10243.7,1.4, ,0.5,14,2450, , ,eV,1.862194755393e-19, , , , , , , , , , , , , , , ,2021-06-11
151,151,11,12,Na,151, ,10281.5,0.6, ,1.5,10, , , , , , , , , , , , , , , , , , , , ,2021-06-11
152,152,11,12,Na,152, ,10296.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
153,153,11,12,Na,153, ,10318.0,0.6, ,1.5,7,2000, , ,eV,2.281188575357e-19, , , , , , , , , , , , , , , ,2021-06-11
154,154,11,12,Na,154, ,10333.8,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
155,155,11,12,Na,155, ,10338.7,0.7, ,0.5,1,190, , ,eV,2.4012511319547e-18, , , , , , , , , , , , , , , ,2021-06-11
156,156,11,12,Na,156, ,10346.1,0.7, ,2.5,10, , , , , , , , , , , , , , , , , , , , ,2021-06-11
157,157,11,12,Na,157, ,10353.8,0.7, ,1.5,11,210, , ,eV,2.172560547959e-18, , , , , , , , , , , , , , , ,2021-06-11
158,158,11,12,Na,158, ,10354.0,0.7, ,6.5,1,0.69,LT, ,fs,6.9e-16, , , , , , , , , , , , , , , ,2021-06-11
159,159,11,12,Na,159, ,10404.8,1.2, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
160,160,11,12,Na,160, ,10408.8,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
161,161,11,12,Na,161, ,10438.5,1.1, ,2.5,11,25, , ,eV,1.82495086028554e-17, , , , , , , , , , , , , , , ,2021-06-11
162,162,11,12,Na,162, ,10448.7,1.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
163,163,11,12,Na,163, ,10478.8,0.7, ,1.5,12,470, , ,eV,9.707185427051e-19, , , , , , , , , , , , , , , ,2021-06-11
164,164,11,12,Na,164, ,10496.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
165,165,11,12,Na,165, ,10501.9,0.7, ,1.5,8,920, , ,eV,4.959105598602e-19, , , , , , , , , , , , , , , ,2021-06-11
166,166,11,12,Na,166, ,10507.8,0.7, ,0.5,15,560, , ,eV,8.147102054846e-19, , , , , , , , , , , , , , , ,2021-06-11
167,167,11,12,Na,167, ,10519.1,0.7, ,2.5,12,100, , ,eV,4.5623771507139e-18, , , , , , , , , , , , , , , ,2021-06-11
168,168,11,12,Na,168, ,10534.1,0.7, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
169,169,11,12,Na,169, ,10549.2,0.9, ,2.5,13,540, , ,eV,8.448846575396e-19, , , , , , , , , , , , , , , ,2021-06-11
170,170,11,12,Na,170, ,10574.6,0.8, ,1.5,9,1100, , ,eV,4.147615591558e-19, , , , , , , , , , , , , , , ,2021-06-11
171,171,11,12,Na,171, ,10590.7,0.7, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
172,172,11,12,Na,172, ,10616.9,0.8, ,1.5,3,425, , ,eV,1.0735005060503e-18, , , , , , , , , , , , , , , ,2021-06-11
173,173,11,12,Na,173, ,10665.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
174,174,11,12,Na,174, ,10677.0,3, ,1.5,1,23, , ,keV,1.98364223944081e-20, , , , , , , , , , , , , , , ,2021-06-11
175,175,11,12,Na,175, ,10698.0,0.9, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-11
176,176,11,12,Na,176, ,10701.0,3, ,1.5,2,400, , ,eV,1.1405942876785e-18, , , , , , , , , , , , , , , ,2021-06-11
177,177,11,12,Na,177, ,10759.8,1.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
178,178,11,12,Na,178, ,10770.0,3, ,2.5,6,5,LT, ,eV,9.12475430142771e-17, , , , , , , , , , , , , , , ,2021-06-11
179,179,11,12,Na,179, ,10798.0,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-11
180,180,11,12,Na,180, ,10824.0,4, ,1.5,4,1700, , ,eV,2.683751265126e-19, , , , , , , , , , , , , , , ,2021-06-11
181,181,11,12,Na,181, ,10826.0,3, ,1.5,3,26000, , ,eV,1.75476044258e-20, , , , , , , , , , , , , , , ,2021-06-11
