,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,96,149,Cm,0, ,7/2, ,8423,74,Y,265803987483.9884,2335212522.119808,A,100, ,SF,0.00000061,0.00000009, , , , ,0.4, , , 
2,96,149,Cm,54.789,0.013,9/2,LE,0.10, ,ns,0.0000000001, , , , , , , , , , , , , , , 
3,96,149,Cm,121.584,0.018,11/2, , , , , , , , , , , , , , , , , , , , 
4,96,149,Cm,197.4,2,13/2, , , , , , , , , , , , , , , , , , , , 
5,96,149,Cm,252.84,0.017,5/2, , , , , , , , , , , , , , , , , , , , 
6,96,149,Cm,295.708,0.014,7/2, , , , , , , , , , , , , , , , , , , , 
7,96,149,Cm,350.66,0.03,9/2, , , , , , , , , , , , , , , , , , , , 
8,96,149,Cm,355.92,0.1,1/2, ,0.29,2,us,0.00000029,0.00000002, , , , , , , , , , , , , , 
9,96,149,Cm,361.4,0.4,3/2, , , , , , , , , , , , , , , , , , , , 
10,96,149,Cm,388.181,0.013,9/2, ,0.450,20,ns,0.00000000045,0.00000000002, , , , , , , , , , , , , , 
11,96,149,Cm,416.61,0.04,11/2, , , , , , , , , , , , , , , , , , , , 
12,96,149,Cm,418.7,0.4,5/2, , , , , , , , , , , , , , , , , , , , 
13,96,149,Cm,431,2,7/2, , , , , , , , , , , , , , , , , , , , 
14,96,149,Cm,442.918,0.021,11/2, , , , , , , , , , , , , , , , , , , , 
15,96,149,Cm,497.6,1,13/2, , , , , , , , , , , , , , , , , , , , 
16,96,149,Cm,508.87,0.03,13/2, , , , , , , , , , , , , , , , , , , , 
17,96,149,Cm,532,2,9/2, , , , , , , , , , , , , , , , , , , , 
18,96,149,Cm,545,3,0, , , , , , , , , , , , , , , , , , , , 
19,96,149,Cm,554.7,0.3,11/2, , , , , , , , , , , , , , , , , , , , 
20,96,149,Cm,587.9,1,15/2, , , , , , , , , , , , , , , , , , , , 
21,96,149,Cm,597.6,1.5,15/2, , , , , , , , , , , , , , , , , , , , 
22,96,149,Cm,633.64,0.11,3/2, , , , , , , , , , , , , , , , , , , , 
23,96,149,Cm,638, ,0, , , , , , , , , , , , , , , , , , , , 
24,96,149,Cm,643.64,0.02,7/2, , , , , , , , , , , , , , , , , , , , 
25,96,149,Cm,660,5,0, , , , , , , , , , , , , , , , , , , , 
26,96,149,Cm,661.53,0.08,5/2, , , , , , , , , , , , , , , , , , , , 
27,96,149,Cm,672,3,17/2, , , , , , , , , , , , , , , , , , , , 
28,96,149,Cm,701.817,0.021,9/2, , , , , , , , , , , , , , , , , , , , 
29,96,149,Cm,722,3,7/2, , , , , , , , , , , , , , , , , , , , 
30,96,149,Cm,736.3,0.5,0, , , , , , , , , , , , , , , , , , , , 
31,96,149,Cm,740.97,0.12,1/2, , , , , , , , , , , , , , , , , , , , 
32,96,149,Cm,769.2,0.4,3/2, , , , , , , , , , , , , , , , , , , , 
33,96,149,Cm,771.86,0.04,11/2, , , , , , , , , , , , , , , , , , , , 
34,96,149,Cm,774.3,0.7,11/2, , , , , , , , , , , , , , , , , , , , 
35,96,149,Cm,785.23,0.09,9/2, , , , , , , , , , , , , , , , , , , , 
36,96,149,Cm,791,4,5/2, , , , , , , , , , , , , , , , , , , , 
37,96,149,Cm,841.1,0.5,0, , , , , , , , , , , , , , , , , , , , 
38,96,149,Cm,849.2,0.3,0, , , , , , , , , , , , , , , , , , , , 
39,96,149,Cm,852.59,0.1,11/2, , , , , , , , , , , , , , , , , , , , 
40,96,149,Cm,856,3,7/2, , , , , , , , , , , , , , , , , , , , 
41,96,149,Cm,866, ,13/2, , , , , , , , , , , , , , , , , , , , 
42,96,149,Cm,890.61,0.09,9/2, , , , , , , , , , , , , , , , , , , , 
43,96,149,Cm,900.1,0.5,0, , , , , , , , , , , , , , , , , , , , 
44,96,149,Cm,906.6,0.6,0, , , , , , , , , , , , , , , , , , , , 
45,96,149,Cm,913,3,1/2, , , , , , , , , , , , , , , , , , , , 
46,96,149,Cm,936, ,0, , , , , , , , , , , , , , , , , , , , 
47,96,149,Cm,942,3,0, , , , , , , , , , , , , , , , , , , , 
48,96,149,Cm,956,2, 5/2, , , , , , , , , , , , , , , , , , , , 
49,96,149,Cm,971.38,0.02,0, , , , , , , , , , , , , , , , , , , , 
50,96,149,Cm,980,5,0, , , , , , , , , , , , , , , , , , , , 
51,96,149,Cm,995,5,0, , , , , , , , , , , , , , , , , , , , 
52,96,149,Cm,1009, ,0, , , , , , , , , , , , , , , , , , , , 
53,96,149,Cm,1017,4,0, , , , , , , , , , , , , , , , , , , , 
54,96,149,Cm,1042,5,0, , , , , , , , , , , , , , , , , , , , 
55,96,149,Cm,1050,5,0, , , , , , , , , , , , , , , , , , , , 
56,96,149,Cm,1054.7,0.8,0, , , , , , , , , , , , , , , , , , , , 
57,96,149,Cm,1083,3,0, , , , , , , , , , , , , , , , , , , , 
58,96,149,Cm,1102.3,0.5,0, , , , , , , , , , , , , , , , , , , , 
59,96,149,Cm,1259,5,0, , , , , , , , , , , , , , , , , , , , 
60,96,149,Cm,1271,2,0, , , , , , , , , , , , , , , , , , , , 
61,96,149,Cm,1473,3,0, , , , , , , , , , , , , , , , , , , , 
62,96,149,Cm,2100,300,0, ,13.2,18,ns,0.0000000132,0.0000000018,SF,100, , , , , , , , , , , , 
