,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,12,12,Mg,0, ,0.0, , ,0+,1,STABLE, , , , , , , , , , , , , , , , , , , ,2021-06-10
1,12,12,Mg,1, ,1368.672,0.005, ,2,1,1.33, ,6,ps,0.00000000000133,0.00000000000006, , , , , , , , , , ,1.02, ,-0.166, ,2021-06-10
2,12,12,Mg,2, ,4122.889,0.012, ,4,1,22, ,2,fs,0.000000000000022,0.000000000000002, , , , , , , , , , ,1.6, , , ,2021-06-10
3,12,12,Mg,3, ,4238.24,0.03, ,2,2,41, ,4,fs,0.000000000000041,0.000000000000004, , , , , , , , , , ,1.2, , , ,2021-06-10
4,12,12,Mg,4, ,5235.12,0.04, ,3,1,61, ,7,fs,0.000000000000061,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
5,12,12,Mg,5, ,6010.84,0.04, ,4,2,49, ,5,fs,0.000000000000049,0.000000000000005, , , , , , , , , , ,2, , , ,2021-06-10
6,12,12,Mg,6, ,6432.3,0.11, ,0,2,53, ,8,fs,0.000000000000053,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
7,12,12,Mg,7, ,7349.0,0.03, ,2,3,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
8,12,12,Mg,8, ,7555.04,0.15, ,1,1,270, ,55,fs,0.00000000000027,0.000000000000055, , , , , , , , , , , , , , ,2021-06-10
9,12,12,Mg,9, ,7616.47,0.04, ,3,1,890, ,140,fs,0.00000000000089,0.00000000000014, , , , , , , , , , , , , , ,2021-06-10
10,12,12,Mg,10, ,7747.51,0.09, ,1,1,10, ,3,fs,0.00000000000001,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
11,12,12,Mg,11, ,7812.35,0.11, ,5,1,20, ,4,fs,0.00000000000002,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
12,12,12,Mg,12, ,8114.2,2, ,6,1,3.6, ,10,fs,0.0000000000000036,0.000000000000001, , , , , , , , , , , , , , ,2021-06-10
13,12,12,Mg,13, ,8357.98,0.13, ,3,2,56, ,8,fs,0.000000000000056,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
14,12,12,Mg,14, ,8437.31,0.15, ,1,2,10, ,2,fs,0.00000000000001,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
15,12,12,Mg,15, ,8439.36,0.04, ,4,3,3.8, ,11,fs,0.0000000000000038,0.0000000000000011, , , , , , , , , , , , , , ,2021-06-10
16,12,12,Mg,16, ,8654.53,0.15, ,2,4,8.2, ,21,fs,0.0000000000000082,0.0000000000000021, , , , , , , , , , , , , , ,2021-06-10
17,12,12,Mg,17, ,8864.29,0.09, ,2,1,4.4, ,15,fs,0.0000000000000044,0.0000000000000015, , , , , , , , , , , , , , ,2021-06-10
18,12,12,Mg,18, ,9003.34,0.09, ,2,5,7.6, ,14,fs,0.0000000000000076,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-10
19,12,12,Mg,19, ,9145.99,0.15, ,1,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,12,12,Mg,20, ,9284.22,0.14, ,2,6,11, ,2,fs,0.000000000000011,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
21,12,12,Mg,21, ,9299.77,0.24, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,12,12,Mg,22, ,9301.15,0.08, ,2 3 4,1,7, ,2,fs,0.000000000000007,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
23,12,12,Mg,23, ,9305.39,0.24, ,0,3,173, ,35,fs,0.000000000000173,0.000000000000035, , , , , , , , , , , , , , ,2021-06-10
24,12,12,Mg,24, ,9457.81,0.04, ,3,1,4, ,2,fs,0.000000000000004,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
25,12,12,Mg,25, ,9516.28,0.04, ,4,1,10, ,5,fs,0.00000000000001,0.000000000000005, , , , , , , , , ,1, , , , ,2021-06-10
26,12,12,Mg,26, ,9527.8,2.1, ,6,1,9, ,3,fs,0.000000000000009,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
27,12,12,Mg,27, ,9532.48,0.1, ,2 3 4,2,11, ,5,fs,0.000000000000011,0.000000000000005, , , , , , , , , ,0, , , , ,2021-06-10
