,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,25,30,Mn,0, ,0.0, , ,5/2-,1,STABLE, , , , , , , , , , , , , , , ,3.4532, ,0.33, ,2021-06-10
1,25,30,Mn,1, ,125.949,0.01, ,7/2,1,259, ,8,ps,0.000000000259,0.000000000008, , , , , , , , , , ,4.4, , , ,2021-06-10
2,25,30,Mn,2, ,984.26,0.06, ,9/2,1,0.28, ,3,ps,0.00000000000028,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
3,25,30,Mn,3, ,1289.1,1.5, ,11/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
4,25,30,Mn,4, ,1292.11,0.07, ,11/2,1,1.1, ,1,ps,0.0000000000011,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
5,25,30,Mn,5, ,1293.0,2, ,1/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
6,25,30,Mn,6, ,1528.35,0.06, ,3/2,1,62, ,13,fs,0.000000000000062,0.000000000000013, , , , , , , , , , , , , , ,2021-06-10
7,25,30,Mn,7, ,1884.09,0.08, ,7/2,1,12, ,3,fs,0.000000000000012,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
8,25,30,Mn,8, ,2015.2,1.5, ,7/2,2,0.51,AP, ,fs,5.1e-16, , , , , , , , , , , , , , , ,2021-06-10
9,25,30,Mn,9, ,2198.43,0.09, ,7/2,3,18, ,6,fs,0.000000000000018,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
10,25,30,Mn,10, ,2215.0,1, , 7/2,1,0.38, ,+8-6,ps,0.00000000000038, , , , , , , , , , , , , , , ,2021-06-10
11,25,30,Mn,11, ,2252.46,0.09, ,3/2,2,23, ,2,fs,0.000000000000023,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
12,25,30,Mn,12, ,2266.81,0.16, ,5/2,1,125, ,21,fs,0.000000000000125,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
13,25,30,Mn,13, ,2281.0,10, ,1/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,25,30,Mn,14, ,2311.45,0.14, ,13/2,1,0.15, ,3,ps,0.00000000000015,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
15,25,30,Mn,15, ,2365.83,0.09, ,5/2,2,23, ,2,fs,0.000000000000023,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
16,25,30,Mn,16, ,2380.0,40, , 3/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,25,30,Mn,17, ,2398.4,0.12, , 9/2,1,17, ,4,fs,0.000000000000017,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
18,25,30,Mn,18, ,2426.52,0.11, ,1/2,1,1.4, ,+10-7,ps,0.0000000000014, , , , , , , , , , , , , , , ,2021-06-10
19,25,30,Mn,19, ,2563.16,0.09, ,3/2,3,7.7, ,14,fs,0.0000000000000077,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-10
20,25,30,Mn,20, ,2582.0,5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,25,30,Mn,21, ,2621.7,1, ,1/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,25,30,Mn,22, ,2694.6,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,25,30,Mn,23, ,2727.31,0.08, ,7/2,4,0.98, ,27,ps,0.00000000000098,0.00000000000027, , , , , , , , , , , , , , ,2021-06-10
24,25,30,Mn,24, ,2741.0,2, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
25,25,30,Mn,25, ,2752.7,0.1, , 9/2,1,25, ,5,fs,0.000000000000025,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
26,25,30,Mn,26, ,2822.1,0.7, ,9/2,1,94, ,+24-31,fs,0.000000000000094, , , , , , , , , , , , , , , ,2021-06-10
