,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,32,38,Ge,0, ,0, ,STABLE, , , , , , , , , , , , , , , , , , 
2,32,38,Ge,1039.506,0.009,2, ,1.31,2,ps,0.00000000000131,0.00000000000002, , , , , , , , , , ,0.91, ,0.04, 
3,32,38,Ge,1215.621,0.015,0, ,3.7,2,ns,0.0000000037,0.0000000002, , , , , , , , , , , , , , 
4,32,38,Ge,1707.689,0.014,2, ,1.94,28,ps,0.00000000000194,0.00000000000028, , , , , , , , , , ,1.3, ,-0.07, 
5,32,38,Ge,2153.084,0.02,4, ,0.76,14,ps,0.00000000000076,0.00000000000014, , , , , , , , , , ,1.7, ,0.22, 
6,32,38,Ge,2156.744,0.021,2, , , , , , , , , , , , , , , , , , ,0.26, 
7,32,38,Ge,2160, ,0, , , , , , , , , , , , , , , , , , , , 
8,32,38,Ge,2307,0.5,0,LE,40, ,ps,0.00000000004, , , , , , , , , , , , , , , 
9,32,38,Ge,2451.313,0.021,3, ,1.7,+10-3,ps,0.0000000000017, , , , , , , , , , , , , , , 
10,32,38,Ge,2534.95,0.04,2, ,0.6,2,ps,0.0000000000006,0.0000000000002, , , , , , , , , , , , , , 
11,32,38,Ge,2562.049,0.02,3, ,0.50,7,ps,0.0000000000005,0.00000000000007, , , , , , , , , , ,0.3, , , 
12,32,38,Ge,2806.25,0.03,4, ,0.6,2,ps,0.0000000000006,0.0000000000002, , , , , , , , , , , , , , 
13,32,38,Ge,2887.4,0.7,0, , , , , , , , , , , , , , , , , , , , 
14,32,38,Ge,2945,1,2, , , , , , , , , , , , , , , , , , , , 
15,32,38,Ge,3046.439,0.02,3, , , , , , , , , , , , , , , , , , , , 
16,32,38,Ge,3058.695,0.016,4, ,1.4,3,ps,0.0000000000014,0.0000000000003, , , , , , , , , , , , , , 
17,32,38,Ge,3105.7,0.7,0, , , , , , , , , , , , , , , , , , , , 
18,32,38,Ge,3130,10,0, , , , , , , , , , , , , , , , , , , , 
19,32,38,Ge,3180.6,1,2, ,0.015,6,ps,0.000000000000015,0.000000000000006, , , , , , , , , , , , , , 
20,32,38,Ge,3194.2,0.6,4, , , , , , , , , , , , , , , , , , , , 
21,32,38,Ge,3240.5,1,1, , , , , , , , , , , , , , , , , , , , 
22,32,38,Ge,3294.79,0.08,3 4, , , , , , , , , , , , , , , , , , , , 
23,32,38,Ge,3296.98,0.03,6, ,0.5,1,ps,0.0000000000005,0.0000000000001, , , , , , , , , , , , , , 
24,32,38,Ge,3308, ,0, , , , , , , , , , , , , , , , , , , , 
25,32,38,Ge,3314.5,0.7,1, , , , , , , , , , , , , , , , , , , , 
26,32,38,Ge,3334.8,1,0  3, , , , , , , , , , , , , , , , , , , , 
27,32,38,Ge,3345,2,0, , , , , , , , , , , , , , , , , , , , 
28,32,38,Ge,3351,2,0, , , , , , , , , , , , , , , , , , , , 
29,32,38,Ge,3371.57,0.1,3 4, ,0.3,2,ps,0.0000000000003,0.0000000000002, , , , , , , , , , , , , , 
30,32,38,Ge,3416.32,0.04,5, ,13.7,10,ps,0.0000000000137,0.000000000001, , , , , , , , , , , , , , 
31,32,38,Ge,3423,2,2, , , , , , , , , , , , , , , , , , , , 
32,32,38,Ge,3428,2,5, , , , , , , , , , , , , , , , , , , , 
33,32,38,Ge,3432,2,3, , , , , , , , , , , , , , , , , , , , 
34,32,38,Ge,3456,2,4, , , , , , , , , , , , , , , , , , , , 
35,32,38,Ge,3466,6,0, , , , , , , , , , , , , , , , , , , , 
36,32,38,Ge,3482.3,0.5,1 2 3, , , , , , , , , , , , , , , , , , , , 
37,32,38,Ge,3488.276,0.021,3 4, , , , , , , , , , , , , , , , , , , , 
38,32,38,Ge,3517,6,0, , , , , , , , , , , , , , , , , , , , 
39,32,38,Ge,3540, ,0, , , , , , , , , , , , , , , , , , , , 
40,32,38,Ge,3562.7,0.6,0, , , , , , , , , , , , , , , , , , , , 
41,32,38,Ge,3570.44,0.07,3, , , , , , , , , , , , , , , , , , , , 
42,32,38,Ge,3580.7,1,4, ,0.6,2,ps,0.0000000000006,0.0000000000002, , , , , , , , , , , , , , 
43,32,38,Ge,3590.3,0.5,0, , , , , , , , , , , , , , , , , , , , 
44,32,38,Ge,3631.5,1,2, ,0.5,1,ps,0.0000000000005,0.0000000000001, , , , , , , , , , , , , , 
45,32,38,Ge,3637,10,0, , , , , , , , , , , , , , , , , , , , 
46,32,38,Ge,3666.78,0.06,6, ,35,3,ps,0.000000000035,0.000000000003, , , , , , , , , , , , , , 
47,32,38,Ge,3669.4,1,5, ,1,1,ps,0.000000000001,0.000000000001, , , , , , , , , , , , , , 
48,32,38,Ge,3675.76,0.07,4, , , , , , , , , , , , , , , , , , , , 
49,32,38,Ge,3683,3,0, , , , , , , , , , , , , , , , , , , , 
50,32,38,Ge,3687,3,1 2 3, , , , , , , , , , , , , , , , , , , , 
51,32,38,Ge,3708.5,0.9,0, , , , , , , , , , , , , , , , , , , , 
52,32,38,Ge,3733,3,1 2 3, , , , , , , , , , , , , , , , , , , , 
53,32,38,Ge,3740,3,0, , , , , , , , , , , , , , , , , , , , 
54,32,38,Ge,3753.2,0.4,6, ,1.6,5,ps,0.0000000000016,0.0000000000005, , , , , , , , , , , , , , 
55,32,38,Ge,3776,2,3, , , , , , , , , , , , , , , , , , , , 
56,32,38,Ge,3782,2,2, , , , , , , , , , , , , , , , , , , , 
57,32,38,Ge,3850,3,0, , , , , , , , , , , , , , , , , , , , 
58,32,38,Ge,3856,2,2, , , , , , , , , , , , , , , , , , , , 
59,32,38,Ge,3870,2,3, , , , , , , , , , , , , , , , , , , , 
60,32,38,Ge,3890,3,1 2 3, , , , , , , , , , , , , , , , , , , , 
61,32,38,Ge,3895.2,1,1, , , , , , , , , , , , , , , , , , , , 
62,32,38,Ge,3900.6,0.7,4 5 6 7, , , , , , , , , , , , , , , , , , , , 
63,32,38,Ge,3903.9,0.7,0, , , , , , , , , , , , , , , , , , , , 
64,32,38,Ge,3911,3,0, , , , , , , , , , , , , , , , , , , , 
65,32,38,Ge,3928,3,4, , , , , , , , , , , , , , , , , , , , 
66,32,38,Ge,3941,10,0, , , , , , , , , , , , , , , , , , , , 
67,32,38,Ge,3955.11,0.08,7, ,17.0,10,ps,0.000000000017,0.000000000001, , , , , , , , , , , , , , 
68,32,38,Ge,3964,3,2, , , , , , , , , , , , , , , , , , , , 
69,32,38,Ge,3976,3,1 2 3, , , , , , , , , , , , , , , , , , , , 
70,32,38,Ge,3990,3,0, , , , , , , , , , , , , , , , , , , , 
71,32,38,Ge,4003,2,0, , , , , , , , , , , , , , , , , , , , 
72,32,38,Ge,4024,3,4, , , , , , , , , , , , , , , , , , , , 
73,32,38,Ge,4037,3,4, , , , , , , , , , , , , , , , , , , , 
74,32,38,Ge,4053.3,1,0, , , , , , , , , , , , , , , , , , , , 
75,32,38,Ge,4054,3,0, , , , , , , , , , , , , , , , , , , , 
76,32,38,Ge,4061,2,1 2 3, , , , , , , , , , , , , , , , , , , , 
77,32,38,Ge,4080,3,1 2 3, , , , , , , , , , , , , , , , , , , , 
78,32,38,Ge,4086,3,4, , , , , , , , , , , , , , , , , , , , 
79,32,38,Ge,4096.1,2,3, , , , , , , , , , , , , , , , , , , , 
80,32,38,Ge,4101.45,0.05,3 4, , , , , , , , , , , , , , , , , , , , 
81,32,38,Ge,4103.5,0.5,6, , , , , , , , , , , , , , , , , , , , 
82,32,38,Ge,4119,3,0, , , , , , , , , , , , , , , , , , , , 
83,32,38,Ge,4131,2,2, , , , , , , , , , , , , , , , , , , , 
84,32,38,Ge,4144.7,2,1, , , , , , , , , , , , , , , , , , , , 
85,32,38,Ge,4155,2,1 2 3, , , , , , , , , , , , , , , , , , , , 
86,32,38,Ge,4166,3,0, , , , , , , , , , , , , , , , , , , , 
87,32,38,Ge,4180,3,2, , , , , , , , , , , , , , , , , , , , 
88,32,38,Ge,4203.5,0.4,8, ,8,2,ps,0.000000000008,0.000000000002, , , , , , , , , , , , , , 
89,32,38,Ge,4212,3,3 4 5, , , , , , , , , , , , , , , , , , , , 
90,32,38,Ge,4226,3,2, , , , , , , , , , , , , , , , , , , , 
91,32,38,Ge,4238,3,1 2 3, , , , , , , , , , , , , , , , , , , , 
92,32,38,Ge,4243.11,0.15,0, , , , , , , , , , , , , , , , , , , , 
