,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,40,54,Zr,0, ,0, ,STABLE, , , , , , , , , , , , , , , , , , 
2,40,54,Zr,918.75,0.05,2, ,6.9,15,ps,0.0000000000069,0.0000000000015, , , , , , , , , , ,-0.66, , , 
3,40,54,Zr,1300.19,0.12,0, ,0.291,11,ns,0.000000000291,0.000000000011, , , , , , , , , , , , , , 
4,40,54,Zr,1469.62,0.1,4, ,0.500,13,ns,0.0000000005,0.000000000013, , , , , , , , , , , , , , 
5,40,54,Zr,1671.41,0.07,2, , , , , , , , , , , , , , , , , , , , 
6,40,54,Zr,2057.63,0.1,3, , , , , , , , , , , , , , , , , , , , 
7,40,54,Zr,2151.31,0.2,2, , , , , , , , , , , , , , , , , , , , 
8,40,54,Zr,2329.9,0.4,4, , , , , , , , , , , , , , , , , , , , 
9,40,54,Zr,2366.12,0.14,2, , , , , , , , , , , , , , , , , , , , 
10,40,54,Zr,2401,6,0, , , , , , , , , , , , , , , , , , , , 
11,40,54,Zr,2507.7,0.5,3, , , , , , , , , , , , , , , , , , , , 
12,40,54,Zr,2605,0.5,5, , , , , , , , , , , , , , , , , , , , 
13,40,54,Zr,2698.5,1,1 2 3, , , , , , , , , , , , , , , , , , , , 
14,40,54,Zr,2719, ,0, , , , , , , , , , , , , , , , , , , , 
15,40,54,Zr,2769, ,0, , , , , , , , , , , , , , , , , , , , 
16,40,54,Zr,2826,0.6,2 3, , , , , , , , , , , , , , , , , , , , 
17,40,54,Zr,2846.3,0.3,1, , , , , , , , , , , , , , , , , , , , 
